year,mean,unc,,,,,,
1850,285.2,0.6,,321.7959,,285.2,,1.521278672
1851,285.1,0.6,,321.8851,,285.3356981,,
1852,285,0.6,,321.96677,,285.4599409,,
1853,285,0.6,,322.05725,,285.5975862,,
1854,284.9,0.6,,322.15527,,285.7467019,,
1855,285.1,0.6,,322.25327,,285.8957872,,
1856,285.4,0.6,,322.35132,,286.0449486,,
1857,285.6,0.6,,322.4581,,286.2073907,,
1858,285.9,0.6,,322.57248,,286.3813946,,
1859,286.1,0.6,,322.678,,286.5419199,,
1860,286.4,0.6,,322.776,,286.6910052,,
1861,286.6,0.6,,322.86523,,286.8267489,,
1862,286.7,0.6,,322.94687,,286.9509461,,
1863,286.8,0.6,,323.03738,,287.088637,,
1864,286.9,0.6,,323.12656,,287.2243047,,
1865,287.1,0.6,,323.19946,,,,
1866,287.2,0.6,,323.26477,,,,
1867,287.3,0.6,,323.33896,,,,
1868,287.4,0.6,,323.42944,,,,
1869,287.5,0.6,,323.52744,,,,
1870,287.7,0.6,,323.63425,,,,
1871,287.9,0.6,,323.75745,,,,
1872,288,0.6,,323.8969,,,,
1873,288.2,0.6,,324.06155,,,,
1874,288.4,0.6,,324.2501,,,,
1875,288.6,0.6,,324.45486,,,,
1876,288.7,0.6,,324.6849,,,,
1877,288.9,0.6,,324.93872,,,,
1878,289.5,0.6,,325.2089,,,,
1879,290.1,0.6,,325.50424,,,,
1880,290.8,0.6,,325.8234,,,,
1881,291.4,0.6,,326.14133,,,,
1882,292,0.6,,326.44287,,,,
1883,292.5,0.6,,326.7369,,,,
1884,292.9,0.6,,327.01334,,,,
1885,293.3,0.6,,327.24823,,,,
1886,293.8,0.6,,327.44296,,,,
1887,294,0.6,,327.605,,,,
1888,294.1,0.6,,327.74323,,,,
1889,294.2,0.6,,327.86508,,,,
1890,294.4,0.6,,327.97064,,,,
1891,294.6,0.6,,328.06866,,,,
1892,294.8,0.6,,328.15787,,,,
1893,294.7,0.6,,328.2307,,,,
1894,294.8,0.6,,328.29605,,,,
1895,294.8,0.6,,328.36142,,,,
1896,294.9,0.6,,328.43555,,,,
1897,294.9,0.6,,328.54364,,,,
1898,294.9,0.6,,328.70078,,,,
1899,295.3,0.6,,328.88928,,,,
1900,295.7,0.6,,329.09415,,,,
1901,296.2,0.6,,329.31528,,,,
1902,296.6,0.6,,329.54398,,,,
1903,297,0.6,,329.78152,,,,
1904,297.5,0.6,,330.04416,,,,
1905,298,0.6,,330.3307,,,,
1906,298.4,0.6,,330.61588,,,,
1907,298.8,0.6,,330.88477,,,,
1908,299.3,0.6,,331.14615,,,,
1909,299.7,0.6,,331.4075,,,,
1910,300.1,0.6,,331.66006,,,,
1911,300.6,0.6,,331.89627,,,,
1912,301,0.6,,332.12497,,,,
1913,301.3,0.6,,332.34488,,,,
1914,301.4,0.6,,332.54843,,,,
1915,301.6,0.6,,332.7532,,,,
1916,302,0.6,,332.9744,,,,
1917,302.4,0.6,,333.1943,,,,
1918,302.8,0.6,,333.39783,,,,
1919,303,0.6,,333.6027,,,,
1920,303.4,0.6,,333.83267,,,,
1921,303.7,0.6,,334.07767,,,,
1922,304.1,0.6,,334.3139,,,,
1923,304.5,0.6,,334.56027,,,,
1924,304.9,0.6,,334.83926,,,,
1925,305.3,0.6,,335.12442,,,,
1926,305.8,0.6,,335.40216,,,,
1927,306.2,0.6,,335.69748,,,,
1928,306.6,0.6,,336.00784,,,,
1929,307.2,0.6,,336.30942,,,,
1930,307.5,0.6,,336.61227,,,,
1931,308,0.6,,336.9226,,,,
1932,308.3,0.6,,337.21536,,,,
1933,308.9,0.6,,337.48425,,,,
1934,309.3,0.6,,337.7456,,,,
