Time,Anomaly,Lower,Upper
1850,-0.894,-1.0655450700000002,-0.7224549
1851,-0.8306,-1.00911812,-0.652081887
1852,-0.7773,-0.95728336,-0.59731665
1853,-0.7944,-0.95405489,-0.634745084
1854,-0.854,-0.9951906699999999,-0.7128093599999998
1855,-0.601,-0.7434020299999999,-0.45859798999999996
1856,-0.8774,-1.0251394999999999,-0.72966048
1857,-1.03,-1.17909211,-0.88090789
1858,-0.7583,-0.9064203399999999,-0.61017962
1859,-0.663,-0.8056556700000002,-0.5203443300000001
1860,-0.9355,-1.0843114200000001,-0.78668857
1861,-1.049,-1.21688806,-0.8811119000000001
1862,-1.026,-1.19329055,-0.8587094000000001
1863,-0.8267,-1.0164927,-0.63690735
1864,-0.8926,-1.0752279699999998,-0.70997205
1865,-0.8354,-1.02737558,-0.6434244600000001
1866,-0.752,-0.9325133999999999,-0.57148664
1867,-0.699,-0.89502908,-0.5029709199999999
1868,-0.6865,-0.86415156,-0.5088484600000001
1869,-0.666,-0.8258714,-0.50612861
1870,-0.806,-0.9467719300000002,-0.6652280400000001
1871,-0.79,-0.9355704000000001,-0.64442959
1872,-0.737,-0.8720594400000001,-0.6019405600000001
1873,-0.7925,-0.9237047399999999,-0.66129527
1874,-0.7666,-0.9004913999999998,-0.6327085999999998
1875,-0.848,-0.9864150600000001,-0.70958491
1876,-0.8364,-0.9751612600000001,-0.6976387800000001
1877,-0.4412,-0.56991117,-0.31248882
1878,-0.3425,-0.4623973880000001,-0.222602608
1879,-0.6846,-0.8150300399999999,-0.55416998
1880,-0.823,-0.9473188699999999,-0.69868116
1881,-0.6685,-0.7941894599999999,-0.54281054
1882,-0.7544,-0.87902002,-0.6297799799999999
1883,-0.7964,-0.9107433,-0.6820567200000001
1884,-0.988,-1.09834854,-0.8776514799999999
1885,-0.8804,-0.9923446199999999,-0.76845538
1886,-0.9604,-1.06203458,-0.85876541
1887,-1.015,-1.1327740999999998,-0.8972258999999998
1888,-0.7944,-0.9083448799999999,-0.6804551099999999
1889,-0.654,-0.77632537,-0.53167461
1890,-0.939,-1.06455133,-0.81344863
1891,-0.8584,-0.9944549599999999,-0.72234504
1892,-0.9116,-1.04837003,-0.7748299999999999
1893,-0.8804,-1.0173121799999998,-0.7434877999999999
1894,-0.8594,-1.00120417,-0.71759581
1895,-0.871,-1.00426904,-0.7377309999999999
1896,-0.6904,-0.8237941800000002,-0.5570057900000001
1897,-0.7363,-0.8750240799999999,-0.59757589
1898,-0.891,-1.0228570700000001,-0.7591429
1899,-0.7163,-0.8472633,-0.58533672
1900,-0.6064,-0.738376,-0.47442400000000007
1901,-0.727,-0.8618559299999999,-0.5921440899999999
1902,-0.8525,-0.98685164,-0.71814837
1903,-0.9707,-1.0954665399999999,-0.8459334499999999
1904,-1.053,-1.1804451,-0.9255549299999999
1905,-0.841,-0.9636363199999998,-0.71836368
1906,-0.7056,-0.83141682,-0.5797832
1907,-0.9263,-1.04218395,-0.81041603
1908,-0.9297,-1.0459952000000001,-0.8134047799999999
1909,-0.9966,-1.1047686,-0.88843143
1910,-0.9414,-1.0559619000000002,-0.8268380999999999
1911,-0.9497,-1.0616775,-0.83772255
1912,-0.8984,-1.0011868600000002,-0.7956131299999999
1913,-0.842,-0.9522077999999999,-0.7317922
1914,-0.66,-0.76757586,-0.55242415
1915,-0.596,-0.71353236,-0.47846765999999996
1916,-0.853,-0.9783107599999998,-0.72768926
1917,-0.959,-1.09342323,-0.82457675
1918,-0.89,-1.03191555,-0.7480844600000001
1919,-0.7944,-0.9327747800000001,-0.6560252099999999
1920,-0.74,-0.8727256300000001,-0.6072743899999999
1921,-0.6484,-0.77246449,-0.5243355000000001
1922,-0.7583,-0.8689693000000001,-0.64763068
1923,-0.761,-0.8693822199999999,-0.65261776
1924,-0.679,-0.7876096000000001,-0.5703904
1925,-0.699,-0.8118094499999999,-0.58619055
1926,-0.5264,-0.63469209,-0.418107918
1927,-0.6367,-0.73978416,-0.53361586
1928,-0.679,-0.7899710600000001,-0.5680289300000001
1929,-0.822,-0.9324169699999999,-0.71158299
1930,-0.583,-0.6966060199999999,-0.46939396
1931,-0.615,-0.724293925,-0.505706073
1932,-0.5723,-0.67879347,-0.46580653000000005
1933,-0.773,-0.8777559799999999,-0.6682440000000001
1934,-0.633,-0.7326671,-0.5333328900000001
1935,-0.687,-0.7844381100000001,-0.5895619
1936,-0.656,-0.74999832,-0.56200169
1937,-0.4297,-0.530259823,-0.329140173
1938,-0.4607,-0.5588030079999999,-0.362596993
1939,-0.4883,-0.5942074860000001,-0.382392506
1940,-0.3418,-0.45968550599999997,-0.22391449000000002
1941,-0.5723,-0.77268322,-0.37191678
1942,-0.5913,-0.787918488,-0.394681508
1943,-0.463,-0.669004692,-0.256995302
1944,-0.386,-0.58459997,-0.18740004000000002
1945,-0.4995,-0.699871254,-0.299128744
1946,-0.4836,-0.63073643,-0.336463576
1947,-0.4707,-0.6112848599999999,-0.33011513400000003
1948,-0.4856,-0.6200720999999999,-0.351127883
1949,-0.5938,-0.7040752299999999,-0.48352473399999996
1950,-0.662,-0.76803518,-0.5559648260000001
1951,-0.4966,-0.58579627,-0.407403731
1952,-0.421,-0.519290528,-0.322709468
1953,-0.309,-0.40716036099999997,-0.21083964
1954,-0.5635,-0.6552524900000001,-0.47174750000000004
1955,-0.5864,-0.6735200299999999,-0.49927997
1956,-0.71,-0.7859600400000001,-0.63403996
1957,-0.4446,-0.509833695,-0.37936630699999996
1958,-0.4292,-0.49464199700000006,-0.36375799700000006
1959,-0.4607,-0.523058927,-0.398341076
1960,-0.4602,-0.51887798,-0.401522025
1961,-0.4307,-0.48148006100000007,-0.379919934
1962,-0.4883,-0.541566515,-0.43503347800000003
