year,aer_p5,aer_p17,aer_p83,aer_p95,aer_p50,ghg_p5,ghg_p17,ghg_p83,ghg_p95,ghg_p50,ohf_p5,ohf_p17,ohf_p83,ohf_p95,ohf_p50,ant_p5,ant_p17,ant_p83,ant_p95,ant_p50,nat_p5,nat_p17,nat_p83,nat_p95,nat_p50,tot_p5,tot_p17,tot_p83,tot_p95,tot_p50
1850,285.01131665261516,285.70200502642047,287.61033553271284,288.30102390651814,286.65617027956665,285.01131665261516,285.70200502642047,287.61033553271284,288.30102390651814,286.65617027956665,285.01131665261516,285.70200502642047,287.61033553271284,288.30102390651814,286.65617027956665,285.01131665261516,285.70200502642047,287.61033553271284,288.30102390651814,286.65617027956665,285.01131665261516,285.70200502642047,287.61033553271284,288.30102390651814,286.65617027956665,285.01131665261516,285.70200502642047,287.61033553271284,288.30102390651814,286.65617027956665
1851,286.9033480717751,286.9045518384146,286.90787777336266,286.90908154000215,286.9062148058886,286.9033480717751,286.9045518384146,286.90787777336266,286.90908154000215,286.9062148058886,286.9112858598837,286.91248971330583,286.9158158880291,286.9170197414512,286.91415280066747,286.9033480717751,286.9045518384146,286.90787777336266,286.90908154000215,286.9062148058886,286.9033480717751,286.9045518384146,286.90787777336266,286.90908154000215,286.9062148058886,286.8375458048031,286.86638051684884,286.9460490949284,286.97488380697416,286.9062148058886
1852,287.07371811827295,287.0754117312873,287.0800910823575,287.0817846953719,287.0777514068224,287.07371811827295,287.0754117312873,287.0800910823575,287.0817846953719,287.0777514068224,287.11387834976284,287.1155719916397,287.1202514224554,287.12194506433224,287.11791170704754,287.07371811827295,287.0754117312873,287.0800910823575,287.0817846953719,287.0777514068224,287.07371811827295,287.0754117312873,287.0800910823575,287.0817846953719,287.0777514068224,286.99630274453284,287.0305037477003,287.1249990659445,287.159200069112,287.0777514068224
1853,287.21199674458484,287.2137667704523,287.21865724564765,287.2204272715151,287.21621200805,287.21199674458484,287.2137667704523,287.21865724564765,287.2204272715151,287.21621200805,287.2689627687871,287.2707328042102,287.275623305807,287.2773933412301,287.2731780550086,287.21199674458484,287.2137667704523,287.21865724564765,287.2204272715151,287.21621200805,287.21199674458484,287.2137667704523,287.21865724564765,287.2204272715151,287.21621200805,287.13294393774754,287.1679089261968,287.26451508990317,287.2994800783524,287.21621200805
1854,287.28004391187466,287.2817086004306,287.28630803495884,287.28797272351477,287.2840083176947,287.28004391187466,287.2817086004306,287.28630803495884,287.28797272351477,287.2840083176947,287.3839279234105,287.38559262211015,287.39019208466505,287.3918567833647,287.3878923533876,287.28004391187466,287.2817086004306,287.28630803495884,287.28797272351477,287.2840083176947,287.28004391187466,287.2817086004306,287.28630803495884,287.28797272351477,287.2840083176947,287.2032410803871,287.23715594726565,287.3308606881238,287.3647755550023,287.2840083176947
1855,287.3349834994981,287.33654053750655,287.34084254003557,287.342399578044,287.33869153877106,287.3349834994981,287.33654053750655,287.34084254003557,287.342399578044,287.33869153877106,287.41276270537605,287.4143198249169,287.41862205271525,287.4201791722561,287.4164709388161,287.3349834994981,287.33654053750655,287.34084254003557,287.342399578044,287.33869153877106,287.3349834994981,287.33654053750655,287.34084254003557,287.342399578044,287.33869153877106,287.26052027566396,287.2933450703503,287.3840380071918,287.41686280187815,287.33869153877106
1856,287.35025951609646,287.35171955158796,287.35575354198704,287.35721357747855,287.3537365467875,287.35025951609646,287.35171955158796,287.35575354198704,287.35721357747855,287.3537365467875,287.452324285352,287.45378529429007,287.4578219742635,287.45928298320155,287.4558036342768,287.35025951609646,287.35171955158796,287.35575354198704,287.35721357747855,287.3537365467875,287.35025951609646,287.35171955158796,287.35575354198704,287.35721357747855,287.3537365467875,287.277896679664,287.30974250085734,287.39773059271766,287.429576413911,287.3537365467875
1857,287.35520845932297,287.3565750143415,287.3603507238066,287.36171727882515,287.35846286907406,287.35520845932297,287.3565750143415,287.3603507238066,287.36171727882515,287.35846286907406,287.4809971645829,287.48236555399666,287.4861463317856,287.4875147211994,287.48425594289114,287.35520845932297,287.3565750143415,287.3603507238066,287.36171727882515,287.35846286907406,287.35520845932297,287.3565750143415,287.3603507238066,287.36171727882515,287.35846286907406,287.2848425551167,287.3157563665909,287.4011693715572,287.4320831830314,287.35846286907406
1858,287.39274630492065,287.3940269973537,287.39756547365056,287.3988461660836,287.39579623550213,287.39274630492065,287.3940269973537,287.39756547365056,287.3988461660836,287.39579623550213,287.504414258712,287.5056963568895,287.5092387171737,287.51052081535113,287.5074675370316,287.39274630492065,287.3940269973537,287.39756547365056,287.3988461660836,287.39579623550213,287.39274630492065,287.3940269973537,287.39756547365056,287.3988461660836,287.39579623550213,287.3241646477787,287.3542433757744,287.4373490952299,287.4674278232256,287.39579623550213
1859,287.443252935315,287.44445349990565,287.44777058778493,287.4489711523756,287.4461120438453,287.443252935315,287.44445349990565,287.44777058778493,287.4489711523756,287.4461120438453,287.5231734869773,287.5243747333241,287.5276937048547,287.5288949512015,287.5260342190894,287.443252935315,287.44445349990565,287.44777058778493,287.4489711523756,287.4461120438453,287.443252935315,287.44445349990565,287.44777058778493,287.4489711523756,287.4461120438453,287.3763071360874,287.40561882524497,287.4866052624456,287.5159169516032,287.4461120438453
1860,287.4629435812185,287.4640853374544,287.46723994138057,287.46838169761645,287.4656626394175,287.4629435812185,287.4640853374544,287.46723994138057,287.46838169761645,287.4656626394175,287.5513100844539,287.5524519623475,287.55560690240657,287.55674878030015,287.55402943237704,287.4629435812185,287.4640853374544,287.46723994138057,287.46838169761645,287.4656626394175,287.4629435812185,287.4640853374544,287.46723994138057,287.46838169761645,287.4656626394175,287.39700862878794,287.4258370462106,287.5054882326244,287.534316650047,287.4656626394175
1861,287.4755950811566,287.47670238714653,287.4797618071115,287.48086911310145,287.478232097129,287.4755950811566,287.47670238714653,287.4797618071115,287.48086911310145,287.478232097129,287.5660283385654,287.5671354282628,287.5701942506245,287.57130134032195,287.56866483944367,287.4755950811566,287.47670238714653,287.4797618071115,287.48086911310145,287.478232097129,287.4755950811566,287.47670238714653,287.4797618071115,287.48086911310145,287.478232097129,287.40985473669326,287.4385669862884,287.51789720796967,287.5466094575648,287.478232097129
1862,287.4762832960876,287.4773573098134,287.4803247452515,287.48139875897726,287.47884102753244,287.4762832960876,287.4773573098134,287.4803247452515,287.48139875897726,287.47884102753244,287.5859843280122,287.5870581306402,287.59002498282763,287.5910987854556,287.5885415567339,287.4762832960876,287.4773573098134,287.4803247452515,287.48139875897726,287.47884102753244,287.4762832960876,287.4773573098134,287.4803247452515,287.48139875897726,287.47884102753244,287.41071109643997,287.43931944829734,287.51836260676754,287.5469709586249,287.47884102753244
1863,287.48703882376117,287.4880956500727,287.4910155977173,287.49207242402883,287.489555623895,287.48703882376117,287.4880956500727,287.4910155977173,287.49207242402883,287.489555623895,287.593376629335,287.59443318449604,287.59735238296804,287.59840893812907,287.59589278373204,287.48703882376117,287.4880956500727,287.4910155977173,287.49207242402883,287.489555623895,287.48703882376117,287.4880956500727,287.4910155977173,287.49207242402883,287.489555623895,287.4210303567223,287.4498047136454,287.5293065341446,287.5580808910677,287.489555623895
1864,287.5119207076138,287.51295579683085,287.5158156861884,287.51685077540543,287.5143857415096,287.5119207076138,287.51295579683085,287.5158156861884,287.51685077540543,287.5143857415096,287.5897772745206,287.5908119687407,287.5936707667455,287.5947054609656,287.5922413677431,287.5119207076138,287.51295579683085,287.5158156861884,287.51685077540543,287.5143857415096,287.5119207076138,287.51295579683085,287.5158156861884,287.51685077540543,287.5143857415096,287.4457402351283,287.474565081543,287.5542064014762,287.5830312478909,287.5143857415096
