variable,OHF,OHF,OHF,OHF,OHF,GHG,GHG,GHG,GHG,GHG,OHFa,OHFa,OHFa,OHFa,OHFa,Ant,Ant,Ant,Ant,Ant,Nat,Nat,Nat,Nat,Nat,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,-1.644853627,-0.954165253,0.954165253,1.644853627,0,-1.644853627,-0.954165253,0.954165253,1.644853627,0,-1.644853627,-0.954165253,0.954165253,1.644853627,0,-1.644853627,-0.954165253,0.954165253,1.644853627,0,-1.644853627,-0.954165253,0.954165253,1.644853627,0,-1.644853627,-0.954165253,0.954165253,1.644853627,0
1851,0.044254557,0.045458429,0.048784655,0.049988527,0.047121542,0.039828921,0.041032795,0.044359026,0.0455629,0.042695911,0.044907753,0.046111626,0.049437856,0.050641729,0.047774741,0.029132132,0.030336006,0.033662238,0.034866112,0.031999122,0.048017762,0.049221549,0.052547541,0.053751328,0.050884545,-0.027093392,0.00174132,0.081409898,0.11024461,0.041575609
1852,0.09373102,0.095424555,0.100103692,0.101797227,0.097764123,0.021049513,0.022743047,0.027422179,0.029115712,0.025082613,0.09165675,0.093350282,0.09802941,0.099722942,0.095689846,0.041488089,0.043181616,0.047860729,0.049554256,0.045521172,0.067669684,0.06936319,0.074042246,0.075735753,0.071702718,-0.00772434,0.026476664,0.120971982,0.155172985,0.073724323
1853,0.10567349,0.107443304,0.112333194,0.114103008,0.109888249,-0.043754242,-0.041984478,-0.037094726,-0.035324962,-0.039539602,0.114538586,0.116308388,0.121198247,0.122968049,0.118753317,0.038034033,0.039803799,0.044693555,0.046463321,0.042248677,0.090685925,0.092455719,0.097345553,0.099115346,0.094900636,0.001545831,0.036510819,0.133116983,0.168081971,0.084813901
1854,0.144593703,0.14625809,0.150856691,0.152521079,0.148557391,-0.060731889,-0.059067607,-0.054469297,-0.052805015,-0.056768452,0.147964105,0.149628483,0.154227059,0.155891437,0.151927771,0.027918987,0.02958329,0.034181658,0.035845961,0.031882474,0.076017347,0.077681723,0.082280291,0.083944666,0.079981007,0.004243657,0.038158524,0.131863265,0.165778132,0.085010895
1855,0.166073399,0.167630152,0.171931366,0.173488119,0.169780759,-0.077681853,-0.076125265,-0.071824506,-0.070267919,-0.073974886,0.141991709,0.143548439,0.147849591,0.149406321,0.145699015,0.019306184,0.020862784,0.025163576,0.026720176,0.02301318,0.071754915,0.073311561,0.077612482,0.079169128,0.075462022,0.004160468,0.036985263,0.1276782,0.160502994,0.082331731
1856,0.152866585,0.15432725,0.158362982,0.159823648,0.156345116,-0.09399006,-0.092529594,-0.088494413,-0.087033947,-0.090512004,0.132262482,0.133723092,0.137758671,0.139219281,0.135740881,0.002781497,0.004241962,0.008277136,0.0097376,0.006259549,0.0436934,0.045153005,0.049185808,0.050645413,0.047169407,-0.040582902,-0.008737081,0.079251011,0.111096832,0.035256965
1857,0.166086,0.16745407,0.171233967,0.172602037,0.169344018,-0.081612875,-0.080244993,-0.076465615,-0.075097732,-0.078355304,0.13618704,0.137555046,0.141334764,0.14270277,0.139444905,-0.023144152,-0.021776274,-0.017996909,-0.016629031,-0.019886592,0.016576212,0.017942344,0.021716885,0.023083017,0.019829615,-0.122217884,-0.091304072,-0.005891067,0.025022744,-0.04859757
1858,0.149761204,0.151043027,0.154584628,0.155866451,0.152813828,-0.071642324,-0.070360658,-0.06681949,-0.065537824,-0.068590074,0.12697249,0.128254245,0.131795656,0.133077411,0.13002495,-0.008570365,-0.007288701,-0.00374754,-0.002465876,-0.005518121,0.029823615,0.031103918,0.034641318,0.035921621,0.032872618,-0.128811424,-0.098732696,-0.015626977,0.014451751,-0.057179837
1859,0.111598113,0.112799125,0.116117449,0.117318462,0.114458287,-0.060046746,-0.05884584,-0.05552781,-0.054326904,-0.057186825,0.107899395,0.109100346,0.112418502,0.113619453,0.110759424,0.016729279,0.017930212,0.021248318,0.022449251,0.019589265,0.062332029,0.063532255,0.066848407,0.068048633,0.065190331,-0.092381284,-0.063069595,0.017916842,0.047228531,-0.022576377
1860,0.107478511,0.108620182,0.111774552,0.112916223,0.110197367,-0.054007938,-0.052866317,-0.049712087,-0.048570466,-0.051289202,0.112366094,0.113507715,0.116661946,0.117803567,0.115084831,0.011768685,0.012910357,0.016064725,0.017206397,0.014487541,0.067508976,0.06865044,0.071804234,0.072945698,0.070227337,-0.074180825,-0.045352407,0.034298779,0.063127197,-0.005526814
1861,0.104794702,0.105901616,0.108959953,0.110066867,0.107430785,-0.0501688,-0.049061895,-0.046003584,-0.044896679,-0.047532739,0.111715348,0.112822216,0.115880424,0.116987291,0.11435132,0.000463869,0.001570818,0.004629254,0.005736203,0.003100036,0.06734042,0.068447468,0.071506177,0.072613225,0.069976822,-0.065099566,-0.036387316,0.042942905,0.071655155,0.003277795
1862,0.094708902,0.095782575,0.098749072,0.099822746,0.097265824,-0.039634905,-0.038561209,-0.035594653,-0.034520958,-0.037077931,0.111844778,0.112918403,0.115884763,0.116958388,0.114401583,-0.022389356,-0.02131564,-0.018349027,-0.017275311,-0.019832334,0.058895662,0.059969459,0.062936294,0.064010091,0.061452877,-0.086747586,-0.058139234,0.020903924,0.049512276,-0.018617655
1863,0.084771698,0.085828173,0.088747151,0.089803626,0.087287662,-0.027542302,-0.026485777,-0.023566661,-0.022510135,-0.025026219,0.106176359,0.107232779,0.110151602,0.111208021,0.10869219,-0.018946898,-0.017890385,-0.014971304,-0.013914791,-0.016430845,0.061251288,0.06230793,0.06522737,0.066284012,0.06376765,-0.077512158,-0.048737801,0.030764019,0.059538376,-0.008986891
1864,0.085014825,0.086049491,0.088908212,0.089942878,0.087478852,-0.029439183,-0.028404442,-0.025545514,-0.024510773,-0.026974978,0.10178739,0.102821994,0.105680541,0.106715145,0.104251268,-0.026762153,-0.025727449,-0.022868625,-0.021833921,-0.024298037,0.08088163,0.081916572,0.084776055,0.085810997,0.083346314,-0.077595394,-0.048770547,0.030870773,0.059695619,-0.008949887
1865,0.086087208,0.087106277,0.089921902,0.090940971,0.088514089,-0.03587609,-0.03485692,-0.032041014,-0.031021843,-0.033448967,0.097324707,0.098343707,0.101159145,0.102178146,0.099751426,-0.023521373,-0.022502266,-0.019686534,-0.018667427,-0.0210944,0.095993803,0.097013246,0.099829906,0.100849349,0.098421576,-0.061357924,-0.032400754,0.047606169,0.07656334,0.007602708
1866,0.088070759,0.089069896,0.091830451,0.092829588,0.090450173,-0.034163266,-0.033164011,-0.030403128,-0.029403873,-0.03178357,0.093689046,0.094688111,0.097448468,0.098447533,0.096068289,-0.023014578,-0.022015405,-0.019254749,-0.018255576,-0.020635077,0.098386521,0.099386083,0.102147811,0.103147373,0.100766947,-0.0484833,-0.019548602,0.060396233,0.089330932,0.020423816
1867,0.090433122,0.091421809,0.094153491,0.095142178,0.09278765,-0.039250623,-0.038261798,-0.035529731,-0.034540905,-0.036895764,0.091355563,0.092344174,0.095075648,0.096064259,0.093709911,-0.025043092,-0.024054371,-0.021322596,-0.020333876,-0.022688484,0.103880521,0.104869661,0.107602594,0.108591733,0.106236127,-0.04103584,-0.011959632,0.068376187,0.097452395,0.028208278
1868,0.078823483,0.079794703,0.082478124,0.083449343,0.081136413,-0.043834338,-0.042862965,-0.040179118,-0.039207745,-0.041521041,0.084734564,0.085705712,0.088388936,0.089360084,0.087047324,-0.025468241,-0.024496969,-0.021813402,-0.02084213,-0.023155186,0.1057081,0.106679786,0.109364495,0.11033618,0.10802214,-0.033754578,-0.004767819,0.075320858,0.104307618,0.03527652
1869,0.072007701,0.072957084,0.075580171,0.076529554,0.074268627,-0.038725722,-0.037776182,-0.035152661,-0.034203121,-0.036464421,0.078974978,0.079924297,0.082547209,0.083496528,0.081235753,-0.020722515,-0.019773048,-0.017149727,-0.01620026,-0.018461388,0.11798884,0.118938687,0.121563055,0.122512902,0.120250871,-0.022294097,0.006419894,0.085754925,0.114468915,0.046087409
1870,0.061772661,0.062692013,0.06523213,0.066151482,0.063962072,-0.018740689,-0.017821184,-0.015280647,-0.014361143,-0.016550916,0.070183936,0.071103231,0.07364319,0.074562485,0.072373211,-0.015793593,-0.014874119,-0.012333668,-0.011414194,-0.013603893,0.135468429,0.136388233,0.138929597,0.139849401,0.137658915,-0.013105001,0.015106973,0.093054961,0.121266935,0.054080967
1871,0.060580206,0.061481374,0.063971249,0.064872418,0.062726312,-0.013570365,-0.012669049,-0.010178769,-0.009277453,-0.011423909,0.063374302,0.064275419,0.066765148,0.067666264,0.065520283,-0.015979651,-0.015078345,-0.012588092,-0.011686787,-0.013833219,0.158334846,0.159236441,0.161727494,0.162629088,0.160481967,-0.012842795,0.01511337,0.092354574,0.120310739,0.053733972
1872,0.059178961,0.060066788,0.062519799,0.063407625,0.061293293,-0.021482367,-0.020594397,-0.01814099,-0.01725302,-0.019367693,0.055258112,0.056145888,0.058598758,0.059486533,0.057372323,-0.011750613,-0.010862635,-0.008409206,-0.007521228,-0.00963592,0.175295269,0.176183476,0.178637537,0.179525743,0.177410506,-0.009491302,0.018236218,0.094845692,0.122573212,0.056540955
