variable,Aer,Aer,Aer,Aer,Aer,GHG,GHG,GHG,GHG,GHG,OHF,OHF,OHF,OHF,OHF,Ant,Ant,Ant,Ant,Ant,Nat,Nat,Nat,Nat,Nat,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,-1.996875811,-1.306187437,0.60214307,1.292831443,-0.352022184,-1.996875811,-1.306187437,0.60214307,1.292831443,-0.352022184,-1.996875811,-1.306187437,0.60214307,1.292831443,-0.352022184,-1.996875811,-1.306187437,0.60214307,1.292831443,-0.352022184,-1.996875811,-1.306187437,0.60214307,1.292831443,-0.352022184,-1.996875811,-1.306187437,0.60214307,1.292831443,-0.352022184
1851,-0.104844391,-0.103640625,-0.10031469,-0.099110923,-0.101977657,-0.104844391,-0.103640625,-0.10031469,-0.099110923,-0.101977657,-0.096906603,-0.09570275,-0.092376575,-0.091172722,-0.094039662,-0.104844391,-0.103640625,-0.10031469,-0.099110923,-0.101977657,-0.104844391,-0.103640625,-0.10031469,-0.099110923,-0.101977657,-0.170646658,-0.141811946,-0.062143368,-0.033308656,-0.101977657
1852,0.065525655,0.067219268,0.071898619,0.073592232,0.069558944,0.065525655,0.067219268,0.071898619,0.073592232,0.069558944,0.105685887,0.107379528,0.112058959,0.113752601,0.109719244,0.065525655,0.067219268,0.071898619,0.073592232,0.069558944,0.065525655,0.067219268,0.071898619,0.073592232,0.069558944,-0.011889719,0.022311285,0.116806603,0.151007606,0.069558944
1853,0.203804281,0.205574307,0.210464782,0.212234808,0.208019545,0.203804281,0.205574307,0.210464782,0.212234808,0.208019545,0.260770306,0.262540341,0.267430843,0.269200878,0.264985592,0.203804281,0.205574307,0.210464782,0.212234808,0.208019545,0.203804281,0.205574307,0.210464782,0.212234808,0.208019545,0.124751475,0.159716463,0.256322627,0.291287615,0.208019545
1854,0.271851449,0.273516137,0.278115572,0.27978026,0.275815855,0.271851449,0.273516137,0.278115572,0.27978026,0.275815855,0.37573546,0.377400159,0.381999621,0.38366432,0.37969989,0.271851449,0.273516137,0.278115572,0.27978026,0.275815855,0.271851449,0.273516137,0.278115572,0.27978026,0.275815855,0.195048617,0.228963484,0.322668225,0.356583092,0.275815855
1855,0.326791036,0.328348074,0.332650077,0.334207115,0.330499076,0.326791036,0.328348074,0.332650077,0.334207115,0.330499076,0.404570242,0.406127362,0.41042959,0.411986709,0.408278476,0.326791036,0.328348074,0.332650077,0.334207115,0.330499076,0.326791036,0.328348074,0.332650077,0.334207115,0.330499076,0.252327812,0.285152607,0.375845544,0.408670339,0.330499076
1856,0.342067053,0.343527088,0.347561079,0.349021114,0.345544084,0.342067053,0.343527088,0.347561079,0.349021114,0.345544084,0.444131822,0.445592831,0.449629511,0.45109052,0.447611171,0.342067053,0.343527088,0.347561079,0.349021114,0.345544084,0.342067053,0.343527088,0.347561079,0.349021114,0.345544084,0.269704216,0.301550038,0.38953813,0.421383951,0.345544084
1857,0.347015996,0.348382551,0.352158261,0.353524816,0.350270406,0.347015996,0.348382551,0.352158261,0.353524816,0.350270406,0.472804701,0.474173091,0.477953869,0.479322258,0.47606348,0.347015996,0.348382551,0.352158261,0.353524816,0.350270406,0.347015996,0.348382551,0.352158261,0.353524816,0.350270406,0.276650092,0.307563903,0.392976908,0.42389072,0.350270406
1858,0.384553842,0.385834534,0.38937301,0.390653703,0.387603772,0.384553842,0.385834534,0.38937301,0.390653703,0.387603772,0.496221796,0.497503894,0.501046254,0.502328352,0.499275074,0.384553842,0.385834534,0.38937301,0.390653703,0.387603772,0.384553842,0.385834534,0.38937301,0.390653703,0.387603772,0.315972185,0.346050913,0.429156632,0.45923536,0.387603772
1859,0.435060472,0.436261037,0.439578125,0.440778689,0.437919581,0.435060472,0.436261037,0.439578125,0.440778689,0.437919581,0.514981024,0.51618227,0.519501242,0.520702488,0.517841756,0.435060472,0.436261037,0.439578125,0.440778689,0.437919581,0.435060472,0.436261037,0.439578125,0.440778689,0.437919581,0.368114673,0.397426362,0.478412799,0.507724488,0.437919581
1860,0.454751118,0.455892874,0.459047478,0.460189234,0.457470176,0.454751118,0.455892874,0.459047478,0.460189234,0.457470176,0.543117621,0.544259499,0.547414439,0.548556317,0.545836969,0.454751118,0.455892874,0.459047478,0.460189234,0.457470176,0.454751118,0.455892874,0.459047478,0.460189234,0.457470176,0.388816166,0.417644583,0.497295769,0.526124187,0.457470176
1861,0.467402618,0.468509924,0.471569344,0.47267665,0.470039634,0.467402618,0.468509924,0.471569344,0.47267665,0.470039634,0.557835875,0.558942965,0.562001787,0.563108877,0.560472376,0.467402618,0.468509924,0.471569344,0.47267665,0.470039634,0.467402618,0.468509924,0.471569344,0.47267665,0.470039634,0.401662274,0.430374523,0.509704745,0.538416994,0.470039634
1862,0.468090833,0.469164847,0.472132282,0.473206296,0.470648564,0.468090833,0.469164847,0.472132282,0.473206296,0.470648564,0.577791865,0.578865667,0.58183252,0.582906322,0.580349094,0.468090833,0.469164847,0.472132282,0.473206296,0.470648564,0.468090833,0.469164847,0.472132282,0.473206296,0.470648564,0.402518633,0.431126985,0.510170144,0.538778495,0.470648564
1863,0.478846361,0.479903187,0.482823135,0.483879961,0.481363161,0.478846361,0.479903187,0.482823135,0.483879961,0.481363161,0.585184166,0.586240721,0.58915992,0.590216475,0.587700321,0.478846361,0.479903187,0.482823135,0.483879961,0.481363161,0.478846361,0.479903187,0.482823135,0.483879961,0.481363161,0.412837894,0.44161225,0.521114071,0.549888428,0.481363161
1864,0.503728244,0.504763334,0.507623223,0.508658312,0.506193278,0.503728244,0.504763334,0.507623223,0.508658312,0.506193278,0.581584811,0.582619506,0.585478304,0.586512998,0.584048905,0.503728244,0.504763334,0.507623223,0.508658312,0.506193278,0.503728244,0.504763334,0.507623223,0.508658312,0.506193278,0.437547772,0.466372618,0.546013938,0.574838785,0.506193278
1865,0.522912025,0.523931581,0.526748552,0.527768108,0.525340067,0.522912025,0.523931581,0.526748552,0.527768108,0.525340067,0.575763444,0.576782494,0.579598066,0.580617116,0.57819028,0.522912025,0.523931581,0.526748552,0.527768108,0.525340067,0.522912025,0.523931581,0.526748552,0.527768108,0.525340067,0.456379435,0.485336605,0.565343528,0.594300699,0.525340067
1866,0.526827005,0.527826644,0.530588586,0.531588225,0.529207615,0.526827005,0.527826644,0.530588586,0.531588225,0.529207615,0.568024809,0.569023882,0.57178426,0.572783333,0.570404071,0.526827005,0.527826644,0.530588586,0.531588225,0.529207615,0.526827005,0.527826644,0.530588586,0.531588225,0.529207615,0.460300498,0.489235197,0.569180032,0.598114731,0.529207615
1867,0.533826458,0.534815643,0.5375487,0.538537884,0.536182171,0.533826458,0.534815643,0.5375487,0.538537884,0.536182171,0.562507911,0.563496493,0.566227884,0.567216465,0.564862188,0.533826458,0.534815643,0.5375487,0.538537884,0.536182171,0.533826458,0.534815643,0.5375487,0.538537884,0.536182171,0.466938054,0.496014262,0.576350081,0.605426289,0.536182171
1868,0.534722441,0.535694141,0.538378889,0.539350589,0.537036515,0.534722441,0.535694141,0.538378889,0.539350589,0.537036515,0.559839374,0.560810464,0.563493528,0.564464618,0.562151996,0.534722441,0.535694141,0.538378889,0.539350589,0.537036515,0.534722441,0.535694141,0.538378889,0.539350589,0.537036515,0.468005417,0.496992177,0.577080854,0.606067613,0.537036515
1869,0.544167886,0.545117719,0.547742051,0.548691885,0.546429885,0.544167886,0.545117719,0.547742051,0.548691885,0.546429885,0.552112451,0.553061691,0.555684385,0.556633625,0.554373038,0.544167886,0.545117719,0.547742051,0.548691885,0.546429885,0.544167886,0.545117719,0.547742051,0.548691885,0.546429885,0.478048379,0.506762369,0.586097401,0.614811391,0.546429885
1870,0.557211135,0.558130903,0.560672167,0.561591935,0.559401535,0.557211135,0.558130903,0.560672167,0.561591935,0.559401535,0.540060804,0.540980003,0.543519696,0.544438895,0.54224985,0.557211135,0.558130903,0.560672167,0.561591935,0.559401535,0.557211135,0.558130903,0.560672167,0.561591935,0.559401535,0.492215567,0.520427541,0.598375529,0.626587503,0.559401535
1871,0.57643077,0.577332309,0.579823206,0.580724744,0.578577757,0.57643077,0.577332309,0.579823206,0.580724744,0.578577757,0.523777627,0.52467863,0.527168048,0.528069051,0.525923339,0.57643077,0.577332309,0.579823206,0.580724744,0.578577757,0.57643077,0.577332309,0.579823206,0.580724744,0.578577757,0.51200099,0.539957155,0.61719836,0.645154524,0.578577757
1872,0.589016395,0.589904528,0.592358387,0.59324652,0.591131457,0.589016395,0.589904528,0.592358387,0.59324652,0.591131457,0.504354048,0.505241694,0.507694208,0.508581854,0.506467951,0.589016395,0.589904528,0.592358387,0.59324652,0.591131457,0.589016395,0.589904528,0.592358387,0.59324652,0.591131457,0.5250992,0.552826721,0.629436194,0.657163715,0.591131457
1873,0.577957223,0.578837988,0.581271489,0.582152254,0.580054738,0.577957223,0.578837988,0.581271489,0.582152254,0.580054738,0.50129421,0.502174556,0.504606899,0.505487245,0.503390727,0.577957223,0.578837988,0.581271489,0.582152254,0.580054738,0.577957223,0.578837988,0.581271489,0.582152254,0.580054738,0.514348004,0.541938835,0.618170642,0.645761473,0.580054738
