variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1850,-0.01841393445308,-0.0089799543190746,0.024950150096168,0.0333648065725961,0.0107539927897353,-0.0464612357939282,-0.0432402001197139,-0.0232572591615219,-0.0072630551255618,-0.0367625628908474,-0.134586260219415,-0.1018169700354337,-0.0068102895049377,0.0298291872255503,-0.0555051000167925
1851,-0.0077819402640064,-0.0013557622919324,0.0324495118235547,0.0418324736257394,0.0168050825595855,-0.0450087948391834,-0.0417618939901391,-0.0220157247409223,-0.006562776529851,-0.0352300119896729,-0.124610124528408,-0.0923958284407853,0.0019207188277504,0.0384246975183486,-0.0466107136259476
1852,-0.0005404737908974,0.0046235255881522,0.0375242289279897,0.0475544103110829,0.021303677620987,-0.0436159835507472,-0.0403307591502864,-0.0199200018122792,-0.0041652008541859,-0.0336397103965281,-0.1170222522070009,-0.0851216983050107,0.0089103083979958,0.0455184819797674,-0.0396742019802331
1853,0.0042420395261918,0.0096034908946603,0.041362894711395,0.051906357705593,0.0250788194437821,-0.0422547337288657,-0.0389782006169358,-0.0183713510384162,-0.0025982927317575,-0.0322580992554624,-0.1109543729573487,-0.0792966791490713,0.0142778322255859,0.050822874593238,-0.0342134063442547
1854,0.0076501188799738,0.0134060502269615,0.0440139170487721,0.0548073951154946,0.0278232585017879,-0.0410293838630119,-0.0378653520966568,-0.0186677692023416,-0.0041131653202076,-0.0314582309996088,-0.1065966359029213,-0.0752454094092051,0.0170878372962275,0.0529678179572025,-0.0307879246150453
1855,-0.0058244318390885,-0.002250519907878,0.0199321522936224,0.0273096289485692,0.0094575807452201,-0.0398176637167731,-0.0367701811095078,-0.0190316415826478,-0.0057777241182823,-0.0306997128451863,-0.1241524086644251,-0.0930634546776612,-0.0036929275805596,0.0310034482118983,-0.0499422618498404
1856,-0.0341340243816375,-0.0255028111922244,-0.0050961917918175,-0.0004369330694316,-0.0127934667592246,-0.038546549839278,-0.0355658804376919,-0.0182327668430903,-0.0053849795910839,-0.0296279943237701,-0.1478873456517855,-0.1160432092348734,-0.0270313677253822,0.0078311318609242,-0.0726997976501782
1857,-0.0281925004906951,-0.0201032961718737,-0.0019939254554143,0.0010639750224071,-0.0084164366126059,-0.0372218576570351,-0.0343387822310129,-0.0179149503198762,-0.0058937380866457,-0.0286391948660214,-0.1423156045377254,-0.1106955223033825,-0.0226714217041929,0.0116064182249828,-0.0679398688177267
