variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,0.069151684641838,0.0868872281908989,0.1538697689771652,0.1787242077291012,0.1187886968255043,0.1888227075338363,0.2272934593260288,0.3264538484811782,0.3483323082327842,0.2820381075143814,0.3267968669533729,0.3528640991449356,0.4348807010054588,0.4598217338323593,0.3884860426187515
1951,0.0651543393731117,0.0828219416737556,0.1490743897855281,0.1750148296356201,0.1142826937139034,0.1933742985129356,0.2338897110521793,0.33532843708992,0.3596594274044037,0.2887636572122574,0.3265631109476089,0.3582602429389954,0.4371032637357711,0.4668715581297874,0.3921834379434585
1952,0.0609024146571755,0.0781061557680368,0.1426919709146022,0.1699383862316608,0.1087822094559669,0.1936218276619911,0.2390042957663536,0.3388915687799453,0.3653569772839546,0.2913523912429809,0.3206074148416519,0.3515753942728042,0.4337781745195389,0.4684771165251732,0.3913287222385406
1953,0.0578844001516699,0.0746707559376955,0.1374929790198802,0.1651021122932434,0.1045295819640159,0.1922255098819732,0.2356520619988441,0.3323624581098556,0.3606453835964203,0.2858541905879974,0.3169008791446686,0.342596628665924,0.4241194254159927,0.459355491399765,0.3863992542028427
1954,0.0556958094239234,0.0720099309831857,0.133806168437004,0.1617620296776294,0.1014939844608306,0.1935153149068355,0.2343366062641143,0.3294378191232681,0.3598446294665336,0.2836269438266754,0.3131829723715782,0.3370119076967239,0.4204574292898178,0.4581596687436104,0.3805406093597412
1955,0.0564739909023046,0.0727538601309061,0.1338520847260951,0.1620720267295837,0.10191310942173,0.1899693764746189,0.2321783889830111,0.327805272936821,0.362268678843975,0.2791425585746765,0.3072793215513229,0.3343595018982887,0.4186417973041534,0.4609623849391937,0.384211853146553
1956,0.061015535891056,0.0781472591310739,0.1413753676414489,0.16798727363348,0.1080163978040218,0.186530964821577,0.2276653598248958,0.3218548330664634,0.353274704515934,0.2695100307464599,0.3105983629822731,0.3364199039340019,0.4181956753134727,0.4564033851027488,0.383139356970787
1957,0.0679416485130786,0.0871041306853294,0.15537741497159,0.1813171491026878,0.1197917982935905,0.189518441259861,0.2253030726313591,0.3179038333892822,0.3540752664208412,0.2697458565235138,0.3096422895789146,0.3462033393979072,0.433700286746025,0.4587883740663528,0.390584334731102
