variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,0.0378535334020853,0.0664409828186035,0.1501822753250599,0.1836248718202113,0.1065735258162021,0.0524294657632708,0.1123311898857355,0.2685882809758185,0.33007855117321,0.1896609663963318,0.1886893942952156,0.2316394338011741,0.359688305556774,0.4063146561384201,0.2959000617265701
1951,0.0361565273255109,0.0633670494705438,0.1446132387220859,0.1774922452867031,0.1020149327814579,0.0545852627605199,0.1151341012120246,0.2722684955596924,0.335874243080616,0.1922466158866882,0.1914730653166771,0.2316285800933838,0.3582568144798279,0.4039092570543289,0.293638676404953
1952,0.0340462600812315,0.059804527759552,0.1384188878536224,0.1709986068308352,0.0969047285616397,0.0557406710460782,0.1166403030604123,0.2737937626242637,0.3381044074892997,0.1945952475070953,0.1905185796320438,0.2297601455450058,0.3553096395730971,0.4017210751771925,0.2902799695730209
1953,0.0326168067753315,0.0574190543219447,0.1341079214215278,0.1665871635079383,0.0933849290013312,0.0606148300692438,0.1208629269897937,0.2762976497411727,0.3404334023594855,0.1979228928685188,0.192780591547489,0.2313556535542011,0.3544669422507286,0.4002692565321921,0.2902690917253494
1954,0.0314906828105449,0.0556118653342127,0.1306274807453155,0.163065132498741,0.0905775539577006,0.0667407248169183,0.1263739189505576,0.2787078437209128,0.3442931532859799,0.2020547613501548,0.1960729822516441,0.2342206950485706,0.354081512093544,0.3999823242425918,0.2924531251192093
1955,0.031706822104752,0.0558306101709604,0.130861354470253,0.1634341523051261,0.0908134579658507,0.0709052335470914,0.1305697682499885,0.2837121579051018,0.3476485669612884,0.2073874846100807,0.2000969126820564,0.2391006010770797,0.3583874487876892,0.4037168934941292,0.2980407029390335
1956,0.0338506761938333,0.0597942227870225,0.1381042335927486,0.1713085018098354,0.0966656245291233,0.0729023523628711,0.1340204328298568,0.286321220099926,0.3463542744517325,0.2114994749426841,0.2114470921456814,0.2512817269563674,0.3637000814080238,0.4064954683184624,0.3071391731500625
1957,0.0370251135900616,0.0665580485016107,0.1517820750176906,0.186616626381874,0.1074281744658947,0.0728410426527261,0.1361179894208907,0.2904510512948035,0.3483942657709121,0.2157236561179161,0.2231370106339454,0.2658341890573502,0.3773241049051284,0.4164344921708107,0.3221976906061172
