variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,0.0256541039484241,0.0492326552793382,0.125443238839507,0.1608678301175435,0.0847315117716788,0.0978969274709621,0.1474841418862342,0.2828511629501978,0.3308257376154264,0.2160456677277882,0.2048144283394018,0.2422249200940131,0.355800857146581,0.3958531742294629,0.2981121142705281
1951,0.0291423001637061,0.0531658273438612,0.1332138346632321,0.1707752322157224,0.0899684205651282,0.0931669041514396,0.1453997508684794,0.2867292182644208,0.3376062725981076,0.2170079176624615,0.2078217104077338,0.2464421639839808,0.3594797270496686,0.3982366343339284,0.3026843418677648
1952,0.0303696261718868,0.0544047852108875,0.135536090383927,0.1748376712203025,0.0912285484373569,0.1024309337139129,0.155872928549846,0.2993005332350731,0.3485307097434997,0.2296810050805409,0.2218506522476672,0.2608819603919982,0.3747276283303896,0.4136956050992012,0.3180057803789774
1953,0.0270625063218175,0.0531055074433485,0.1331948009133338,0.1693695701658725,0.090954840183258,0.1177474634100992,0.1714866533378759,0.3155690746506055,0.3666099518537521,0.2455250769853592,0.2359439278642336,0.274193416039149,0.3852001544833183,0.4223380302389463,0.3302391717831294
1954,0.0294062218007941,0.0550058461104829,0.1363802867134411,0.1747148692607879,0.0928050205111503,0.1193621688832838,0.1747520912686983,0.3226938463250795,0.3713621308406194,0.2513831506172816,0.2458163539568582,0.284468637506167,0.3952641024192174,0.4316933572292328,0.3406823873519897
1955,0.0299345718696713,0.0550090564911564,0.1419273076951503,0.1822234409550825,0.0955067699154217,0.1116597338269154,0.1677301228046416,0.3177223140001296,0.3673707763353983,0.2449537689487139,0.2420284735659758,0.2817222376664479,0.395603209733963,0.4350226044654846,0.3384744822978973
1956,0.0336426338801781,0.0579062240570783,0.1448652711510657,0.1865030450125535,0.0974484657247861,0.1008010055869817,0.1562995834648608,0.3043151449163754,0.3530767773588498,0.232380986213684,0.2303564036885897,0.2719636343916257,0.3815605276823043,0.4200879643360773,0.3282747467358907
1957,0.0368008612344662,0.0616324922566612,0.1493140955766041,0.191043626020352,0.1015515116353829,0.0989591029783089,0.1559726064403852,0.3062762121359507,0.3560840507348378,0.2332770675420761,0.2365900022288163,0.2772956887880961,0.3878772656122843,0.4278364986181259,0.333548958102862
