variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,-0.5021138191223145,-0.3736642599105835,-0.0447429306805132,0.056836050003767,-0.2010163962841034,0.0598228760063648,0.1862642467021942,0.5608062148094177,0.6904910206794739,0.3623664975166321,0.0796078145503997,0.1135754436254501,0.2057873457670211,0.2365391254425048,0.1562808901071548
1951,-0.5079847574234009,-0.376818895637989,-0.0572320013493313,0.039191834628582,-0.2116800546646118,0.0940636023879051,0.2074101269245147,0.5612727999687195,0.7007334232330322,0.3809607923030853,0.0881448239088058,0.1246479973196983,0.2102259695529937,0.2391466796398162,0.1648775488138198
1952,-0.4915598928928375,-0.3589146053791044,-0.0563545897603035,0.037052433937788,-0.2031350135803222,0.1001720577478408,0.2075817286968231,0.5466221570968628,0.6833799481391907,0.3756559193134308,0.0917415022850036,0.1281009018421173,0.2113437354564666,0.2396491467952728,0.1679538786411285
1953,-0.457334816455841,-0.3336620330810547,-0.0494231693446636,0.0610149905085579,-0.1896350681781768,0.0928242951631546,0.1976144313812255,0.5145088529586789,0.6420342922210693,0.3595130443572998,0.0934814363718032,0.1258736401796341,0.2061246633529663,0.2368410378694534,0.1660235673189163
1954,-0.4393717348575592,-0.3211358189582824,-0.0428103022277355,0.0654504895210266,-0.1838579922914505,0.0927666053175926,0.1916353404521942,0.5025150179862976,0.6267806887626648,0.3622015714645386,0.0998538881540298,0.1267370283603668,0.2081230580806732,0.2358926236629486,0.1693703234195709
1955,-0.4149175584316253,-0.3081012964248657,-0.0338022522628307,0.0717924192547801,-0.1709483861923217,0.0757190808653831,0.1800250113010406,0.4921934604644775,0.6057487726211548,0.350744754076004,0.0973105877637863,0.1253797858953476,0.2131289988756179,0.2391450405120849,0.1697688400745391
1956,-0.4207112789154053,-0.3170490860939026,-0.0286072436720132,0.0810232162475586,-0.1726551949977874,0.0650800466537475,0.1843831837177276,0.5048601031303406,0.616921603679657,0.3485505580902099,0.0975976139307022,0.1291782557964325,0.2196739166975021,0.2478812932968139,0.1721988767385482
1957,-0.4285878241062164,-0.3190070688724518,-0.025727828964591,0.0867268741130828,-0.1715411394834518,0.0573474764823913,0.187699869275093,0.5145597457885742,0.6264200210571289,0.34877809882164,0.0953154936432838,0.1314917355775833,0.224488690495491,0.2534582316875458,0.1773936301469802
