variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,-0.5619657844305038,-0.4467132490873337,-0.1330957414209843,-0.0444604845717549,-0.2838821560144424,0.2344708077609539,0.3077558353543281,0.6402138745784759,0.7531560152769082,0.4709080457687378,0.1242575496435165,0.1534822569787502,0.2173865419626235,0.2465541906654834,0.1864413619041443
1951,-0.5568909049034119,-0.4403649252653122,-0.1241901855915784,-0.0346159916371107,-0.2803018391132355,0.2214174017310142,0.2995480880141258,0.6341427564620972,0.7579978585243223,0.4685397893190384,0.124095369875431,0.1561278921365738,0.2183635510504245,0.24934598878026,0.1871386691927909
1952,-0.5502739608287811,-0.4143474596738815,-0.113077002838254,-0.018919004034251,-0.2630696296691894,0.2023152984678745,0.2877837336063385,0.6069531440734863,0.748655205965042,0.454552486538887,0.1239215955138206,0.1536272259056568,0.2183423213660717,0.2555046409368514,0.1877423524856567
1953,-0.5038469165563583,-0.3740834715962409,-0.0904817558079958,0.0153263371437786,-0.2351646795868872,0.1614731684327125,0.2618879726529122,0.5659414052963256,0.6901435077190395,0.4241324216127395,0.1216971714049577,0.1489558051526546,0.2157426767051219,0.2573038667440414,0.1849198266863823
1954,-0.4482340469956398,-0.3321338739991188,-0.0602746574953199,0.0482034686952827,-0.2069651260972023,0.1221108168363571,0.2170182584226131,0.5194212281703948,0.6448162436485291,0.3929562419652939,0.1154768280684948,0.1410705448687076,0.2094361665844917,0.2461104258894919,0.1796435862779617
1955,-0.4300258263945579,-0.3239348936080932,-0.0559676809236408,0.0475538318976757,-0.1958866715431213,0.1169679187238216,0.2168155460059642,0.5178171867132186,0.6296693325042723,0.3881706744432449,0.1149272501468658,0.1419878958165645,0.2146312364935874,0.2486266054213047,0.18197101354599
1956,-0.4464095413684845,-0.3440339729189873,-0.064835018441081,0.0335983812808988,-0.2119780927896498,0.1410590052604675,0.2509538602828979,0.5457631713151931,0.6530765652656554,0.4147674739360809,0.1259316027164459,0.1548565056920051,0.2256817533075809,0.2497359506785869,0.1939225867390631
1957,-0.450330039858818,-0.3445281347632408,-0.0639946492761373,0.0383489647880191,-0.2116196528077124,0.1391476042568683,0.2591873681545257,0.5439086318016052,0.6612175434827803,0.411698967218399,0.1252864375710487,0.1551999834179878,0.2265356661379337,0.2512919455766678,0.196213960647583
