variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,0.0270726037211715,0.0519517415761947,0.1335747209191322,0.1719994661708672,0.0897427921493847,0.1209700819104909,0.181021138181289,0.3494423843423525,0.4105390434463818,0.2656224320332209,0.2362109055121739,0.2829780445496241,0.4259020935495693,0.4768001859386762,0.3533697177966435
1951,0.0307423774773875,0.0560785893971721,0.1417343931396801,0.182399720698595,0.0952500725785891,0.1088234994560479,0.1710587242245674,0.3474900027116139,0.4118661299347878,0.2590421140193939,0.2313967632750669,0.2792898879448572,0.4241455313563347,0.4748013332486153,0.3507297337055206
1952,0.0319557119781772,0.0572712456310788,0.1440367417534191,0.1864888879160086,0.0964518499871094,0.1121390245854854,0.1760996124645074,0.3544714782635371,0.4165824269255002,0.2666761626799901,0.2401166804134845,0.288656188249588,0.4338902847965558,0.4847618555029233,0.3606659422318141
1953,0.027703490636001,0.0542714700723687,0.1386763652165731,0.177298924823602,0.0937904628614584,0.1216201795885959,0.1865032050013542,0.3656615234414736,0.42968913068374,0.2773985068003337,0.2438706445197264,0.2933542660872141,0.4378386173645655,0.487386139233907,0.3656281034151713
1954,0.0278465238399803,0.052170895859599,0.134690394848585,0.1742653022209803,0.0898644737899303,0.1163831325868764,0.1832772774497667,0.3664125419656435,0.4278015618522962,0.2768552005290985,0.2401409149169921,0.291014151374499,0.4365438389778137,0.4845110490918159,0.3646380106608072
1955,0.0253385824151336,0.0468239409352341,0.130301622947057,0.1705521849294503,0.0844858276347318,0.1034192708631356,0.1704573100805282,0.35415337651968,0.4165227025747299,0.264117623368899,0.2240359231829642,0.2749362869064013,0.4212746637066205,0.4711820383866627,0.3486398955186208
1956,0.0250287127370635,0.0441753733778992,0.1234080800414084,0.1631301266451676,0.0788171030580997,0.0904904636243978,0.1563672158122062,0.3367836824059486,0.3969571034113566,0.2483933667341868,0.2025288638969261,0.2539372195800145,0.3960305353005727,0.4446246127287547,0.3274771173795064
1957,0.0246739943822224,0.0425514131536086,0.1180363161116838,0.1560688232382138,0.0752108556528885,0.0817202591647704,0.1513980461160341,0.3370357967416444,0.3990293552478154,0.2465425431728362,0.1923033339281876,0.2463587321837742,0.3942004359761873,0.4436782211065292,0.322923148671786
