variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,-0.5157990455627441,-0.3823301196098327,-0.0455377511680126,0.0582139082252979,-0.2047641277313232,0.0673984140157699,0.2015843689441681,0.5999492406845093,0.7360761761665344,0.3903062343597412,0.094096153974533,0.1299943029880523,0.2342181205749511,0.2670408189296722,0.1799452602863311
1951,-0.5206178426742554,-0.3858958506584167,-0.0577628090977668,0.0398635379970073,-0.2159480303525924,0.1063110828399658,0.2256670445203781,0.5989269614219666,0.74708491563797,0.4088213890790939,0.1031953319907188,0.1439801752567291,0.2391523122787475,0.2701262116432191,0.1895433962345123
1952,-0.5045652985572815,-0.3668622076511383,-0.0568837709724903,0.0370684899389743,-0.2073494642972946,0.1160418391227722,0.228740781545639,0.5812581777572632,0.7288426756858826,0.403878390789032,0.1059855446219444,0.146792322397232,0.2410586178302765,0.2699155211448669,0.1930080354213714
1953,-0.4688250422477722,-0.3407805088162421,-0.0496171899139881,0.0629540234804153,-0.192891240119934,0.1109613627195358,0.2207306623458862,0.5470506250858299,0.6778994202613831,0.3864255845546722,0.1104573011398315,0.1447986811399459,0.2365402728319168,0.2680232524871826,0.1913635283708572
1954,-0.4492541253566742,-0.3281288146972656,-0.0423061624169349,0.0667694732546806,-0.1865545064210891,0.1169807910919189,0.215510681271553,0.5352104902267456,0.66505366563797,0.3881822526454925,0.1146236509084701,0.1471977084875106,0.2379844486713409,0.2682722806930542,0.1932100802659988
1955,-0.4239629209041595,-0.3140492439270019,-0.0336663499474525,0.0725751966238021,-0.1717117428779602,0.1017764583230018,0.2068599462509155,0.5254274606704712,0.6420871019363403,0.3777733445167541,0.112855315208435,0.1467855125665664,0.2421648055315017,0.275933176279068,0.1960150748491287
1956,-0.4254875063896181,-0.3200925588607788,-0.0283951722085475,0.0816161260008812,-0.1726833432912826,0.0912369266152381,0.2143558263778686,0.5340630412101746,0.6510593891143799,0.3769337832927704,0.1149641126394271,0.1510493606328964,0.2522059082984924,0.2839871346950531,0.2033897638320922
1957,-0.4303112626075744,-0.3182099461555481,-0.0244740284979342,0.0858446210622787,-0.169401153922081,0.0824584513902664,0.21746726334095,0.546346127986908,0.6659269332885742,0.380192220211029,0.1167900562286377,0.1564897447824478,0.2608912885189056,0.2935689389705658,0.2101751118898391
