variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,0.0378681041300296,0.0664449866116047,0.1501784273982048,0.1836248971521854,0.10657574608922,0.0524312674999237,0.1123207920789718,0.2685714328289031,0.3300377473235129,0.1896474286913871,0.1886864870786667,0.2316326566040515,0.3596754124760628,0.4062983766198156,0.2958887219429016
1951,0.0361603111028671,0.0633744581788778,0.1446154089272021,0.1774988368153571,0.1020219512283802,0.0545830877497792,0.1151280277967453,0.2722567304968833,0.3358688548207283,0.1922356709837912,0.191460183262825,0.2316248421370983,0.3582465362548827,0.4039036348462103,0.2936371117830276
1952,0.0340515684336423,0.0598045989871024,0.1384179207682609,0.1709997504949569,0.0969094410538673,0.0557463429868221,0.1166263365000486,0.2737747305631637,0.3381080046296118,0.1945861577987671,0.1904920563101767,0.2297535569965838,0.3552890837192535,0.4017081916332244,0.2902729511260986
1953,0.0326176907867193,0.0574261438846588,0.1341079130768775,0.1665840178728103,0.0933918580412864,0.0606124540790914,0.1208596337586641,0.2762857550382614,0.3404122591018676,0.1979105249047279,0.1927720852196215,0.2313612173497677,0.3544653084874153,0.4002755418419838,0.2902618646621704
1954,0.0314902389422059,0.0556125189736485,0.1306312523782253,0.1630696900188922,0.0905833132565021,0.0667370218783617,0.1263636295497417,0.2787032902240753,0.3442819803953169,0.2020488381385803,0.196057817339897,0.2342164914309977,0.354079443514347,0.3999779865145683,0.2924532741308212
1955,0.0317054655402898,0.0558310290053486,0.1308716961741447,0.1634326510131358,0.0908178165554999,0.0708955578505992,0.1305670109391212,0.2837001436948776,0.3476500257849693,0.2073863297700882,0.2000925257802009,0.2390951481461525,0.3583818024396896,0.4037159383296966,0.2980364710092544
1956,0.0338486224412918,0.0597985371574758,0.1381137654185295,0.1713138803839682,0.0966695807874202,0.0729149963706731,0.1340193577110767,0.286316473186016,0.3463454097509382,0.2114958837628363,0.2114565759897232,0.2512755182385445,0.363705941736698,0.4064982563257217,0.3071389347314834
1957,0.0370206182822585,0.0665636451542377,0.1517880868911743,0.1866201907396315,0.1074340343475341,0.0728477489203214,0.1361193761229515,0.2904474011063576,0.3483964011073112,0.2157228961586952,0.2231415003538131,0.2658382600545883,0.3773270654678344,0.416437990963459,0.3221984952688217
