variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,0.0294000067127247,0.0563546559462944,0.1433158169190088,0.1837728296717008,0.0968823209404945,0.1451683171093463,0.2046665880084038,0.3666356537739436,0.424676850438118,0.2868726849555968,0.2687604124347368,0.314076209962368,0.4499300553401311,0.4987135345737139,0.3812056730190913
1951,0.0321868614604075,0.058705853447318,0.1481153485178946,0.1901875247557957,0.0997202446063359,0.1342364234228928,0.1955635919670263,0.3626305296023686,0.4233150407671928,0.2800006220738093,0.2619399428367615,0.3083218219876289,0.4440734684467315,0.4910777121782302,0.3756992369890213
1952,0.032819800870493,0.0590566787496208,0.1477989567071199,0.1903668437153101,0.0993984807282685,0.1356790091842412,0.1980648375302552,0.3683263659477234,0.4274617321789264,0.2848654091358185,0.2668738946318626,0.3122756332159042,0.4483051027357578,0.4952312275767326,0.3800888136029243
1953,0.0269130734416345,0.0527036539589365,0.1359306897222995,0.1739784248173236,0.0915757765372593,0.1451598939796288,0.2078264272212982,0.3799569739898045,0.4415773977835973,0.2955446541309356,0.2658959115544955,0.3126107420523961,0.4498287356893221,0.4965152944127718,0.3813350101312001
1954,0.0280395793418089,0.0525152517606814,0.1345422425369421,0.1738805788258711,0.0900278873741626,0.1377949071427186,0.2021784161031245,0.3774943286180495,0.43663027236859,0.2923799256483714,0.2624516963958739,0.310088432431221,0.4476047870516777,0.4932598382234573,0.3798665950695674
1955,0.0280263354070484,0.0515995056554674,0.1371523564557234,0.1780254356563091,0.0907746305068333,0.1235437915970881,0.1878527733683586,0.3637575424710909,0.4242970873912176,0.2776753753423691,0.2504718055327733,0.2980469249685605,0.4369513889153798,0.4849790538350741,0.3675354570150375
1956,0.0323389390483498,0.0557661259174346,0.1419588940342266,0.1841360189020633,0.0944851525127887,0.1032336272299289,0.1656474262972672,0.3373180446028709,0.3954285815358161,0.2529549648364385,0.2302195670704047,0.2783523400624593,0.4117926955223083,0.4590781932075818,0.346790408094724
1957,0.0387708195485174,0.0648668253049254,0.1543992348760365,0.1984785210341215,0.1053033340722322,0.0867300622165202,0.1515614079684019,0.3260248354077338,0.3857771776616573,0.240627136081457,0.2286685537546872,0.2777773240208625,0.4124283343553543,0.4591599263250828,0.3465847074985504
