variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,0.0347500767558813,0.0609701631963253,0.1390460842847824,0.1710494920611381,0.0981309190392494,0.0613600015640258,0.1191566491127013,0.272056868970394,0.3259669557213782,0.1956295371055603,0.1915258102118969,0.2338862966001033,0.3507105934619903,0.3927811577916145,0.2922251522541046
1951,0.0353189952671526,0.0619056886807083,0.1409742172062397,0.1732381671667099,0.0995932519435882,0.0620939942076802,0.1212337613850832,0.2771962967514991,0.3333639651536941,0.1992082223296164,0.1963845632970333,0.2393181146681308,0.3561522871255874,0.3991366222500799,0.2972164750099182
1952,0.0353573704138398,0.0620726162567733,0.1416703072190284,0.174278637766838,0.0998758263885974,0.0622788557782769,0.1231689620018004,0.2804693582653999,0.3374464318156242,0.2018975764513015,0.2016614526510237,0.2430219723284243,0.3595590344071386,0.4027497351169585,0.3003316223621368
1953,0.0337771227583289,0.0593764017894864,0.1371550598740577,0.1695794962346553,0.0960432477295398,0.0656047437340021,0.1267087353765964,0.2846676006913185,0.3429712757468223,0.2056007832288742,0.2015947215259075,0.2438000105321406,0.3595017832517624,0.4047441318631172,0.3008125275373459
1954,0.0303243353031575,0.0535802992805838,0.1268700912594795,0.1585830792784691,0.0877272374927997,0.0714154336601495,0.1321484906971454,0.2883537158370018,0.3468325108289718,0.2103830650448799,0.1971978314220905,0.2417201514542101,0.3563995164632797,0.4010074913501738,0.2981227487325668
1955,0.0267975548282265,0.0473047407716512,0.1154231557995081,0.1461099453270435,0.0787577666342258,0.0742193359881639,0.1359176129102707,0.2946042320132255,0.3522935181856154,0.2153727635741233,0.1914321452379226,0.2362678360939026,0.3536050778627394,0.3981571078300475,0.2945112884044647
1956,0.0237867679446935,0.0423320803791284,0.105834876075387,0.1353666990995407,0.0714579671621322,0.0741764795035123,0.1385182435810566,0.2966826090216636,0.3548160254955291,0.2189704552292823,0.1859311424195765,0.2313180096447468,0.3482866555452347,0.3937984675168989,0.2899786829948425
1957,0.0211349482648074,0.0382368215546011,0.0976861073821782,0.1260783970355987,0.0652935579419136,0.0757999058812856,0.1406742623448371,0.29902825653553,0.3582986563444137,0.2224701792001724,0.1801056101918219,0.2275035846233368,0.34602085262537,0.3900908067822456,0.2870738208293915
