variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,0.079543479838792,0.0984863756153294,0.166140411118155,0.1902111206477617,0.1300845142344341,0.1352112030035214,0.1717597760742202,0.2701369354808156,0.2935520157327548,0.2217979354455191,0.2841858934556299,0.3139050372448915,0.3878552897296409,0.4198585666387398,0.3454004494911609
1951,0.0780662815059152,0.097205566464759,0.1654606847141814,0.1904583953047062,0.129017098888974,0.1204322336871615,0.1596201137387578,0.2614812741899753,0.2891213589567034,0.2133331760654555,0.2674457534490264,0.3010460549614887,0.3780317117120415,0.4102709187961678,0.3348870485582774
1952,0.0767102272770203,0.0958892447293243,0.1641597862432108,0.188924138905371,0.1272796590757721,0.1046822227893726,0.1504297696886694,0.2519170264154673,0.2803401736706934,0.2031532436170999,0.253025232063716,0.284615450397353,0.3665027820910602,0.4042392270310839,0.3223953602068565
1953,0.0753187038237229,0.094617228808758,0.1632291208021343,0.1891265525866081,0.1260110657552586,0.1064506875652382,0.1520264712677283,0.2527647049955148,0.2841199636568919,0.2052336956976967,0.2582719335332515,0.2828742953247447,0.3693343396725901,0.4009979870937327,0.3241863014066922
1954,0.0737965083187994,0.0934419517076629,0.1616050197151216,0.1882699126377702,0.1249341904733549,0.1169730404611019,0.1626378931642017,0.2646174838766457,0.2961896315655289,0.216961199143792,0.2677088673938724,0.2896650937572123,0.3785442858386567,0.4149830911418097,0.3348091787056013
1955,0.0727997810785275,0.0924969606474042,0.1608823574553518,0.1883246483555174,0.1245441195993301,0.1299229490570725,0.1777424774253194,0.2823857881479405,0.3150837455602254,0.2338548210066032,0.2770109131603557,0.3013208644880968,0.3935354876715472,0.4301519978462776,0.3533844175365042
1956,0.0733828935635221,0.0929362978616401,0.1611745781013195,0.1884638974223944,0.1253570232759503,0.1312305210651282,0.1808136382425095,0.2817435824608102,0.3157727571752143,0.2358553834149943,0.2828716005691712,0.3088606087797705,0.3980385403444664,0.4287969921989478,0.3603833144640223
1957,0.0750594887375722,0.0957324865307001,0.1648045944674488,0.1916595751036178,0.1279743245035848,0.141359951678554,0.1889243197758846,0.286642339205479,0.3260752408053071,0.2411608235253131,0.2938667954329184,0.3216583457260448,0.4056437765719261,0.4291668967727353,0.370942324947785
