variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,-0.5300625691957336,-0.3947443092132317,-0.0479187272105584,0.0600482887752792,-0.2130778713480516,0.0639947512296631,0.1964561838437529,0.5902670008294727,0.7256839126348499,0.3822734756943058,0.0823972393375109,0.1189419423394343,0.2156809373375247,0.2485960512695945,0.1656132921686068
1951,-0.5339378850424993,-0.395210685221588,-0.0601351811714909,0.0408338797004783,-0.2230404534322375,0.0987409133573665,0.2187573871410945,0.5924339355791319,0.7399729459601293,0.4017373772666736,0.0935184531571234,0.1322258885073311,0.2223400982633672,0.253856266684392,0.174834890948499
1952,-0.5118599264499022,-0.3723003156483176,-0.0578313824337195,0.0377582016620127,-0.2107779828502852,0.1055698196458466,0.218258940779111,0.5774928191128901,0.7240186246002425,0.3965762518346312,0.0985513906925916,0.1382857505232096,0.227672839537263,0.2597718935678987,0.1813323390396202
1953,-0.4692353698260644,-0.3417233561768253,-0.0488757686141659,0.062946591498878,-0.1927009495523046,0.0973309211652068,0.2079484241411967,0.5433281081564287,0.6774704798179518,0.3801599502125208,0.1054390217451488,0.1374185319770785,0.2256892299389138,0.2595150978030528,0.1821365830871989
1954,-0.4446816006127528,-0.3247496005805101,-0.0408375601777259,0.066210109000916,-0.1828932116794236,0.0979186547235311,0.202259390231441,0.5312459558686793,0.6618639151839651,0.3828013690517229,0.1138893662787536,0.1417105161749265,0.2307636725771077,0.260288969230126,0.1884725849856348
1955,-0.4157037360264975,-0.3078804666943411,-0.0320477481000125,0.0710990499047672,-0.1673532938036849,0.0803998810622622,0.1907344671952374,0.5204408775795911,0.6408134519177329,0.3710046857595444,0.1084062887410469,0.1421176702989375,0.237216140198357,0.267807824208456,0.1920821307336583
1956,-0.4200615534449326,-0.3131714886163966,-0.027030464987654,0.0801975177053143,-0.1685278670971885,0.0682904050575898,0.1955672697547605,0.534129874671207,0.652516929104048,0.3699458541677279,0.1031043229022008,0.1444080596351448,0.2485671773114625,0.2814049955238314,0.196955685996834
1957,-0.4301541230696091,-0.3183172925868456,-0.024590015397681,0.0862492864732357,-0.1702126762007966,0.0622686281088082,0.2003694269806147,0.5444513241596084,0.6626145221731243,0.3701789570862758,0.1040321562220068,0.1468287278514575,0.2494487473193338,0.2819922184023788,0.2010138761252165
