variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,0.0327187325805425,0.0573671726509928,0.1302890276908874,0.1597916454076766,0.0921868495643138,0.0563587851822376,0.1092157944291829,0.2494408020377159,0.2991751179099082,0.1792519986629486,0.1777738347649574,0.2163236232101917,0.3238736721873283,0.3623470410704613,0.2697980254888534
1951,0.0331479050219059,0.0582428044453263,0.1321627658605575,0.1620457500219343,0.0935280993580818,0.055936910957098,0.1105776149779558,0.2535390824079513,0.3070568293333053,0.1815043240785598,0.1812551431357859,0.2191762502491474,0.3292427861690521,0.3688254654407501,0.2740827202796936
1952,0.0334344498813152,0.0587774058803916,0.1336045809090137,0.1638672716915607,0.0944089330732822,0.0562266884371638,0.1111661699414253,0.2553596684336661,0.3113785848021506,0.1831237897276878,0.1860865272581577,0.2221140617132186,0.3332238501310348,0.374208928644657,0.2757594734430313
1953,0.0337061490863561,0.0593247817456722,0.1351306095719337,0.1660265542566776,0.0953617431223392,0.0583427425473928,0.1139558961987495,0.2579991364479065,0.316414850950241,0.1854135990142822,0.1903975501656531,0.2252270667254924,0.33744770437479,0.3784094855189323,0.2791297733783722
1954,0.0340101417154073,0.0598405692353843,0.1366101779043674,0.1680625215172767,0.0962853208184241,0.0626849148422479,0.1178799677640198,0.2597889378666878,0.3215514749288559,0.188420794904232,0.1955570705235004,0.2289945584535598,0.3409314903616905,0.3836203202605247,0.2840242832899093
1955,0.0342247081920504,0.0602200737595558,0.1378534322977066,0.1698013566434382,0.0970468632876873,0.0644185028970241,0.1203064592927694,0.2639387392997742,0.3252068310976028,0.1921757832169532,0.1968761689960955,0.2319577947258949,0.346158449947834,0.3875367879867552,0.2881132960319519
1956,0.0343081139028072,0.0606885055452584,0.139102520942688,0.1714669674634932,0.0978962853550911,0.0658503096550703,0.1216729418933391,0.263910853266716,0.3247586414217947,0.1945526972413063,0.2010872565209865,0.2357213862240314,0.3471443563699722,0.3879506453871725,0.2902810722589493
1957,0.0340684501454234,0.0611983242258429,0.1408168086409569,0.1735854260623454,0.0991450771689415,0.0674140218645334,0.1243290167301892,0.2653232383728026,0.3252730533480643,0.1967479959130287,0.2065161809325217,0.2413709975779056,0.3487862411141396,0.389165924489498,0.2939236462116241
