variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,0.0347526961937546,0.060972289405763,0.1390517951548099,0.1710462570190428,0.0981388613581657,0.0613655591383576,0.1191489259898662,0.2720460319519043,0.3259363546967505,0.1956217437982559,0.1915181592106819,0.2338855750858784,0.3507093474268913,0.3927761197090148,0.2922263443470001
1951,0.0353366080671547,0.0619177658855915,0.1409790337085724,0.173245246708393,0.0995987504720687,0.0620783828198909,0.1212275339663028,0.2771837675571441,0.3333568140864371,0.1992093548178672,0.1963790945708751,0.2393162085115908,0.3561446455121039,0.3991365656256675,0.2972198873758316
1952,0.0353614730760455,0.0620720680058002,0.1416718605160713,0.1742832265794277,0.0998744033277034,0.0622719779610633,0.1231642120331525,0.2804690343141556,0.3374440371990202,0.2018929123878479,0.2016667619347571,0.2430196510255337,0.3595738860964775,0.402756018936634,0.3003264516592026
1953,0.0337764799594879,0.0593754782527684,0.1371628913283348,0.1695777781307696,0.0960465781390667,0.0656094402074814,0.1267030887305736,0.284666511118412,0.3429695963859558,0.2056029289960861,0.2015934608876705,0.2437916439771652,0.3595070111751555,0.4047352626919746,0.3008137494325638
1954,0.0303291730582714,0.0535811336711048,0.1268712930381298,0.1585776433348655,0.0877319797873497,0.0714061427861452,0.1321474006772041,0.2883433026075363,0.3468329206109047,0.2103796973824501,0.1972042255103587,0.2417171677947043,0.35640389919281,0.4010088667273521,0.2981234937906265
1955,0.0268079870380461,0.0473105742782354,0.1154279343038797,0.1461133539676666,0.0787587910890579,0.0742237549275159,0.1359168609976768,0.294600575864315,0.3523013964295387,0.2153726741671562,0.1914363443851471,0.2362685306370258,0.3536120674014091,0.3981683120131491,0.2945079207420349
1956,0.0237917554564774,0.0423370571434497,0.1058388938754796,0.1353706240653991,0.0714610405266285,0.0741985797882079,0.1385147474706173,0.296683035492897,0.3548201084136962,0.2189728021621704,0.1859223157167434,0.2313216805458069,0.3482900878787041,0.3937946841120719,0.2899771630764007
1957,0.0211380654945968,0.0382388972863554,0.0976908492296934,0.1260725691914558,0.0652953274548053,0.0758016526699066,0.1406737145781517,0.2990292343497276,0.3583099454641342,0.2224737927317619,0.180119027197361,0.2275016731023788,0.3460232916474342,0.3900910168886184,0.2870758324861526
