variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,-0.0022754794675468,0.0263063987034062,0.1219665247450272,0.1679509364068507,0.0700037355224291,0.0520885255187749,0.1322269397477308,0.3407917868097622,0.4000199844439824,0.2452493160963058,0.1428728679815928,0.2148395337164401,0.3912091405193011,0.4472881555557251,0.3079807211955388
1951,-0.0034717973438091,0.0259859837529559,0.1252741859604914,0.172729099045197,0.0714831079045931,0.0511283555999398,0.136132246851921,0.3466326562563578,0.4061935062209764,0.2508650124073027,0.1480913589398065,0.2221325848499933,0.3974752726157506,0.4528426632285117,0.3146627942721049
1952,-0.0042309746932005,0.0259139603500564,0.1255642573535441,0.173022591571013,0.0717696572343508,0.0523670283456643,0.138015860368808,0.3507549878954887,0.4093718056877453,0.25409630437692,0.1510354903837044,0.2250994707147279,0.4010231727361679,0.4550737778345743,0.3182294021050135
1953,-0.0018906444466362,0.0273234447526434,0.1277769250174363,0.1776917206744352,0.0726906520624954,0.0616245225071906,0.1493967265387375,0.3656341069936752,0.4253299583991367,0.2672807872295379,0.1639129318296909,0.2392772303024928,0.4154235075910886,0.4690890729427336,0.3338912328084309
1954,-7.608302597266695e-05,0.0273189168485501,0.123520226975282,0.1718784910937149,0.0701658874750137,0.0527983631317813,0.1416754191120465,0.3616879400610924,0.4245386973023413,0.2619791825612386,0.1523414003352323,0.2281906181077162,0.4117619693279266,0.4680621455113092,0.3256108711163202
1955,0.0015338119167911,0.0266417876196403,0.1161679725348949,0.1618510010341802,0.066153078029553,0.0351938783501584,0.1247380452106396,0.350044262111187,0.4171014204621313,0.2457644293705622,0.1258447599907715,0.2054469957451025,0.3970683829983075,0.4562589436769485,0.3080025811990102
1956,0.0003280552914172,0.0232471821767587,0.109818154349923,0.1557915898660817,0.0605630272378523,0.0233665616561968,0.1133560217668612,0.3381782489021619,0.406510284046332,0.2330355321367581,0.113159234325091,0.1899560465912024,0.3791774346431096,0.4395593429605166,0.2909264614184697
1957,0.0007625815769036,0.0221986051214237,0.1045953669399022,0.1490174129605291,0.0574644990265368,0.0306710889562964,0.1241638778895139,0.3519155748685201,0.4190033674240109,0.2475223566095034,0.1133423928171396,0.1966886195043722,0.3923616343736648,0.4525386924544969,0.3029255618651708
