variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,-0.0237309267744421,0.0046647156076505,0.0767873115092515,0.1089866373687982,0.0399864874780178,0.2039584584534167,0.2488444621860981,0.3629920482635498,0.4021267160773277,0.311201274394989,0.2515957623720169,0.2866447785496712,0.3935775706171989,0.4333987027406693,0.3408982455730438
1951,-0.0228971040807664,0.0048836572840809,0.0760919085144996,0.108210676908493,0.0394864063709974,0.2019453458487986,0.2458985051512718,0.3605784359574318,0.3979678213596343,0.3087965697050094,0.2496301010251045,0.2828699350357055,0.3896025303006172,0.4246803104877472,0.3389859199523926
1952,-0.021898085437715,0.0046076412592083,0.0738955678045749,0.1055595118552446,0.0379644948989152,0.2048928871750831,0.2494985511898994,0.3682270646095276,0.4047223582863806,0.3158414959907532,0.2522070720791817,0.2882782518863678,0.395244735777378,0.4276625409722328,0.3440420627593994
1953,-0.0213151620700955,0.0040992599632591,0.0714754300564527,0.1027980230748653,0.0363936051726341,0.2124703288078308,0.2572308465838432,0.3806952187418937,0.4200185626745225,0.3263405710458755,0.2581340089440346,0.2968020308017731,0.4054506915807724,0.4401445269584654,0.3518757373094558
1954,-0.0194152488373219,0.0059381603403015,0.0718798417598009,0.1032978877425193,0.0371445715427398,0.2018424898386001,0.2451817865669727,0.370941013097763,0.4092504575848579,0.3153834044933319,0.2487313859164714,0.2861126661300659,0.396279364824295,0.4304692208766936,0.3425987213850021
1955,-0.0177208561450242,0.0080346412211656,0.073804789930582,0.1055397056043148,0.0390853155404329,0.1877380341291427,0.2300984016060829,0.3585871160030365,0.3969467237591742,0.3001621812582016,0.2356752961874008,0.2734542772173881,0.3844893276691437,0.4190641403198241,0.3304052054882049
1956,-0.0154728405177593,0.0106714392267167,0.0786273097991943,0.1116368446499109,0.042821442708373,0.1630311414599418,0.2065236626565456,0.3349273568391799,0.3722550958395004,0.2764158844947815,0.2152411013841629,0.2550993198156356,0.3636613190174103,0.3990426674485206,0.3124012649059295
1957,-0.0163939477875828,0.0116267661005257,0.0839200557768344,0.1185253053903579,0.0461701191961765,0.1597166530787944,0.2031610368192196,0.332147969007492,0.3736756816506386,0.2716668546199798,0.2130761206150055,0.2526686125993728,0.3636627197265625,0.4014782011508941,0.3125324845314026
