variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1950,-0.007632811134681,0.0188659182377159,0.0857838366925716,0.1147850319743156,0.0518239084631204,0.257862839102745,0.3071078759431839,0.4196956703066826,0.4559625670313834,0.3654750883579254,0.330067704617977,0.3636236009001732,0.4694372314214706,0.5023527920246125,0.416064590215683
1951,-0.0077378284651786,0.0190821094997227,0.0871424128115177,0.116663097590208,0.0525477360934019,0.2593645364046096,0.3082256069779396,0.4246134757995605,0.4598222568631172,0.3697715252637863,0.3322716772556305,0.3670448958873749,0.4742518961429596,0.5040873020887374,0.422145664691925
1952,-0.0077906608348712,0.0191316421516239,0.08821392968297,0.1183871038258075,0.052990874275565,0.2605195641517639,0.3112597399950027,0.4311285018920898,0.4669696763157844,0.3768753260374069,0.3376514717936514,0.3725221389532089,0.4789757132530212,0.5110680252313614,0.4296309351921081
1953,-0.0077881606062874,0.0185165395215153,0.0869428949803114,0.1172796331346034,0.0518752578645944,0.268888346850872,0.3208148232102394,0.4440111896395683,0.4798265352845192,0.386843204498291,0.3463180765509604,0.3816051003336906,0.48956298828125,0.5221778154373169,0.4393995404243469
1954,-0.0070606878492981,0.0182914316654205,0.0839633034914732,0.1138887356966733,0.0496743321418762,0.2668205708265304,0.3204651525616646,0.4469534456729889,0.4842699751257895,0.3870931416749954,0.3421689197421074,0.3817262998223305,0.4905988240242004,0.5237497866153717,0.4370900839567184
1955,-0.0055470193736255,0.0180661855451762,0.0804325382411479,0.1097076032310723,0.0472425241023302,0.2548879891633987,0.3094238755106926,0.4420234262943268,0.4833173751831054,0.3786716759204864,0.3259257033467291,0.3718187910318374,0.4831050220131874,0.518325486779213,0.4274173229932785
1956,-0.0030651701497844,0.0175946926325559,0.0768602141737937,0.1056670274585485,0.0447408445179462,0.2399223774671554,0.2973127233982086,0.4348335266113281,0.477747532725334,0.3689419031143188,0.3103309690952301,0.3585803923010826,0.4735412001609802,0.5128388196229935,0.4166966676712036
1957,-0.0024953076499514,0.0161764849722385,0.0720744078606367,0.0999245319515466,0.041361641138792,0.247779320925474,0.3045805394649505,0.4435274019837379,0.4882193267345427,0.3756749331951141,0.3141776829957962,0.3619621315598488,0.4799941480159759,0.5209078162908554,0.4213959127664566
