Year,Forecast RCP4.5 CGWL (degC),Forecast RCP4.5 CGWL uncertainty
1960,0.22,
1961,0.22,
1962,0.24,
1963,0.23,
1964,0.24,
1965,0.22,
1966,0.24,
1967,0.25,
1968,0.24,
1969,0.24,
1970,0.25,
1971,0.26,
1972,0.26,
1973,0.27,
1974,0.29,
1975,0.30,
1976,0.31,
1977,0.33,
1978,0.35,
1979,0.38,
1980,0.40,
1981,0.43,
1982,0.41,
1983,0.43,
1984,0.44,
1985,0.45,
1986,0.48,
1987,0.49,
1988,0.51,
1989,0.53,
1990,0.55,
1991,0.58,
1992,0.62,
1993,0.64,
1994,0.68,
1995,0.72,
1996,0.73,
1997,0.75,
1998,0.78,
1999,0.79,
2000,0.80,
2001,0.82,
2002,0.85,
2003,0.88,
2004,0.90,
2005,0.91,
2006,0.94,
2007,0.95,
2008,0.97,
2009,0.98,
2010,0.99,
2011,1.01,
2012,1.02,
2013,1.05,
2014,1.06,
2015,1.10,
2016,1.13,
2017,1.17,
2018,1.21,
2019,1.24,
2020,1.27,
2021,1.28,
2022,1.31,
