   Year   change(1e22J)   confidence(1e22J)
   1.9605000e+03   0.0000000e+00   7.6056681e+00
   1.9615000e+03   1.4228738e+00   7.0965424e+00
   1.9625000e+03   2.6901477e+00   6.7817006e+00
   1.9635000e+03   2.9456820e+00   6.1922078e+00
   1.9645000e+03   1.3816709e+00   5.6691108e+00
   1.9655000e+03   1.6588450e+00   5.5457397e+00
   1.9665000e+03   1.5068600e+00   5.3884897e+00
   1.9675000e+03   8.3298259e-01   5.2326140e+00
   1.9685000e+03  -1.1740957e+00   4.7689700e+00
   1.9695000e+03  -2.3537112e+00   4.5713782e+00
   1.9705000e+03  -1.0866549e+00   4.3564305e+00
   1.9715000e+03  -9.6677774e-01   4.4518862e+00
   1.9725000e+03   1.7888450e-01   4.4646325e+00
   1.9735000e+03  -1.6635283e-01   4.7908874e+00
   1.9745000e+03   6.8917200e-01   5.0027647e+00
   1.9755000e+03   1.4831235e-01   4.9909973e+00
   1.9765000e+03   1.7568160e+00   4.8630657e+00
   1.9775000e+03   1.8504901e+00   4.8261251e+00
   1.9785000e+03   3.6935424e+00   4.6388087e+00
   1.9795000e+03   5.0177259e+00   4.5569677e+00
   1.9805000e+03   6.9894707e+00   4.4263587e+00
   1.9815000e+03   8.1592440e+00   4.6633258e+00
   1.9825000e+03   7.3612676e+00   4.5045323e+00
   1.9835000e+03   6.3266320e+00   4.3929005e+00
   1.9845000e+03   5.6032219e+00   4.1060858e+00
   1.9855000e+03   6.5823357e+00   4.0603747e+00
   1.9865000e+03   7.8003995e+00   3.9111130e+00
   1.9875000e+03   9.9799708e+00   3.8188417e+00
   1.9885000e+03   1.1378944e+01   3.6942303e+00
   1.9895000e+03   1.2565616e+01   3.3212235e+00
   1.9905000e+03   1.3110193e+01   2.9441748e+00
   1.9915000e+03   1.2636449e+01   2.4524345e+00
   1.9925000e+03   1.2940537e+01   2.0013006e+00
   1.9935000e+03   1.2877723e+01   1.7689618e+00
   1.9945000e+03   1.3169709e+01   1.6582221e+00
   1.9955000e+03   1.4138129e+01   1.7954371e+00
   1.9965000e+03   1.5369433e+01   1.8279064e+00
   1.9975000e+03   1.5637406e+01   1.8280087e+00
   1.9985000e+03   1.4940487e+01   1.8437232e+00
   1.9995000e+03   1.4971278e+01   2.0723388e+00
   2.0005000e+03   1.6011503e+01   2.3190062e+00
   2.0015000e+03   1.7981230e+01   2.4157188e+00
   2.0025000e+03   1.9034381e+01   2.1581602e+00
   2.0035000e+03   2.1056225e+01   1.7645299e+00
   2.0045000e+03   2.2393747e+01   1.2778138e+00
   2.0055000e+03   2.3247063e+01   1.0024691e+00
   2.0065000e+03   2.3365905e+01   8.4064198e-01
   2.0075000e+03   2.3616791e+01   8.8657570e-01
   2.0085000e+03   2.4708799e+01   8.7918782e-01
   2.0095000e+03   2.5749136e+01   8.8189369e-01
   2.0105000e+03   2.7058334e+01   8.5778493e-01
   2.0115000e+03   2.8322578e+01   8.3588815e-01
   2.0125000e+03   2.9680999e+01   8.3147854e-01
   2.0135000e+03   3.0421173e+01   8.5619700e-01
   2.0145000e+03   3.1334270e+01   9.2959762e-01
   2.0155000e+03   3.2420673e+01   9.0996838e-01
   2.0165000e+03   3.3711544e+01   8.5069239e-01
   2.0175000e+03   3.4371237e+01   7.8187656e-01
   2.0185000e+03   3.5392481e+01   8.0687124e-01
   2.0195000e+03   3.6480763e+01   8.1114274e-01
   2.0205000e+03   3.8299653e+01   7.9380769e-01
   2.0215000e+03   3.9866223e+01   8.5889363e-01
   2.0225000e+03   4.1477071e+01   9.2668533e-01
   2.0235000e+03   4.2835826e+01   1.0085819e+00
