year,0-700m_allLat,0-700m_allLat_se
1960,-34.468653,75.2134282
1961,-23.963984,71.4317474
1962,-12.198755,67.2298799
1963,-11.778568,61.7674522
1964,-27.745665,55.8848377
1965,-27.325478,55.3706646
1966,-30.686972,54.6242775
1967,-41.191641,55.0444642
1968,-62.200978,49.1618497
1969,-72.28546,44.9599822
1970,-61.780791,43.699422
1971,-61.780791,43.699422
1972,-52.536683,44.5397955
1973,-57.405168,47.7275335
1974,-51.696309,52.0004503
1975,-56.318364,48.3214762
1976,-43.292574,48.741663
1977,-41.611827,46.2205425
1978,-24.804357,44.5397955
1979,-13.879502,44.5397955
1980,3.76834149,42.7840992
1981,11.7518897,45.8003557
1982,-1.2738995,47.9012895
1983,-11.778568,44.1196087
1984,-20.60249,40.337928
1985,-14.719876,41.1612385
1986,-2.5344598,37.3966207
1987,15.5335705,36.1360605
1988,25.6180525,36.1360605
1989,34.862161,32.7745665
1990,37.3832815,29.4130725
1991,30.6602935,23.530458
1992,31.500667,19.092502
1993,28.139173,17.6478435
1994,28.9795465,15.9670965
1995,35.7025345,16.8590493
1996,45.3668297,17.2276567
1997,44.1062695,18.488217
1998,35.2823477,18.0680302
1999,33.181414,20.168964
2000,40.7447755,22.4749616
2001,58.3926189,23.530458
2002,65.5357937,21.4295242
2003,81.9230769,18.843887
2004,93.6883059,12.6056025
2005,99.5709204,9.88389295
2006,97.8901734,8.40373499
2007,97.8901734,9.24410849
2008,106.293908,9.24410849
2009,113.85727,9.24410849
2010,123.521565,10.0529399
2011,135.286794,7.98354824
2012,145.371276,8.82392174
2013,151.674077,7.56336149
2014,158.397065,8.40373499
2015,167.641174,6.72298799
2016,176.465096,8.16351253
2017,181.08715,7.40461379
2018,188.650511,6.72298799
2019,195.793686,7.98354824
2020,212.601156,6.70706518
2021,226.047132,7.14317474
2022,239.072921,9.24410849
2023,249.997777,10.084482
