Default Dataset,,,,
X,0-700m OHC,X,Y,uncertainty
1960,-3.446865273,1960,4.074477545575807,7.521342819
1961,-2.396398399,1961,4.746776345042239,7.143174744
1962,-1.2198755,1962,5.503112494441968,6.722987995
1963,-1.177856825,1963,4.998888394842151,6.17674522
1964,-2.774566474,1964,2.813917297,5.588483771
1965,-2.732547799,1965.0687622789785,2.8045186640471513,5.537066463
1966,-3.068697199,1966,2.393730546909733,5.462427746
1967,-4.119164073,1967,1.385282347710092,5.504446421
1968,-6.220097821,1968,-1.30391285,4.916184971
1969,-7.22854602,1969,-2.732547799,4.495998221
1970,-6.178079146,1970,-1.80813695,4.369942197
1971,-6.178079146,1971,-1.80813695,4.369942197
1972,-5.253668297,1972,-0.799688751,4.453979546
1973,-5.7405168,1973,-0.96776345,4.77275335
1974,-5.169630947,1974.0275049115914,0.030414084932747443,5.200045032
1975,-5.631836372,1975,-0.799688751,4.832147621
1976,-4.329257448,1976,0.5449088483770481,4.874166296
1977,-4.161182748,1977,0.4608714984437512,4.622054246
1978,-2.480435749,1978,1.9735437972432202,4.453979546
1979,-1.3879502,1979,3.0660293463761654,4.453979546
1980,0.37683414851044716,1979.9214145383105,4.655244068308903,4.27840992
1981,1.1751889728768319,1981,5.755224544241884,4.580035571
1982,-0.127389951,1982,4.662738995108935,4.790128946
1983,-1.177856825,1983,3.234104046242777,4.411960871
1984,-2.060249,1984,1.9735437972432202,4.033792797
1985,-1.47198755,1985,2.6441363,4.11612385
1986,-0.253445976,1986,3.486216096042682,3.739662072
1987,1.553357048,1987,5.166963094708759,3.613606047
1988,2.561805246776345,1988,6.175411293908404,3.613606047
1989,3.4862160960426856,1989,6.763672743441532,3.277456647
1990,3.7383281458425905,1990,6.679635393508221,2.941307248
1991,3.0660293463761654,1991,5.419075144508668,2.353045798
1992,3.1500666963094694,1992,5.0593169,1.909250204
1993,2.813917297,1993,4.578701645175627,1.764784349
1994,2.897954646509561,1994,4.494664295242327,1.596709649
1995,3.570253445975986,1994.8919449901769,5.256158379930479,1.685904934
1996,4.536682970208979,1996,6.259448643841708,1.722765674
1997,4.410626945309023,1997,6.259448643841701,1.848821699
1998,3.5282347710093376,1998,5.335037794575367,1.806803024
1999,3.3181413961760775,1999,5.335037794575367,2.016896398
2000,4.074477546,1999.9607072691551,6.321973704095509,2.247496159
2001,5.839261894175184,2001,8.192307692,2.353045798
2002,6.553579368608268,2002,8.696531791907514,2.142952423
2003,8.192307692307686,2002.9076620825147,10.076696388091275,1.884388696
2004,9.368830591373946,2004,10.62939084,1.260560249
2005,9.957092040907067,2005.0294695481336,10.945481335952845,0.988389295
2006,9.789017341,2006,10.629390840373496,0.840373499
2007,9.789017341040463,2007,10.713428190306807,0.924410849
2008,10.62939084,2008,11.55380168963984,0.924410849
2009,11.385726989773236,2009,12.310137839039577,0.924410849
2010,12.352156514006218,2010.098231827112,13.357450506271721,1.005293992
2011,13.528679413072474,2011,14.327034237438859,0.798354824
2012,14.53712761227212,2012,15.419519786571811,0.882392174
2013,15.16740774,2013,15.92374388617163,0.756336149
2014,15.83970653623833,2014,16.680080035571365,0.840373499
2015,16.76411738550466,2015,17.436416184971094,0.672298799
2016,17.646509559804354,2015.8742632612966,18.462860813057272,0.816351253
2017,18.108714984437526,2016.935166994106,18.849176363911134,0.740461379
2018,18.865051133837262,2018,19.537349933303688,0.672298799
2019,19.579368608270343,2019,20.377723432636728,0.798354824
2020,21.260115606936417,2019.8821218074656,21.93082212482998,0.670706518
2021,22.604713205869274,2021,23.319030680302355,0.714317474
2022,23.907292129835483,2022,24.831702979101824,0.924410849
2023,24.999777678968428,2023,26.008225878168076,1.008448199
