yyyymm,temperature_volw_mean,temperature_uncert,temperature_uncer_percentVariance
196001,3.76473,0.1249,99
196002,3.76549,0.123706,99
196003,3.76536,0.123615,99
196004,3.77102,0.123268,99
196005,3.77125,0.124107,99
196006,3.77239,0.123852,99
196007,3.76532,0.123494,99
196008,3.76527,0.12333,99
196009,3.76574,0.124017,99
196010,3.7667,0.124396,99
196011,3.7643,0.123634,99
196012,3.76327,0.124317,99
196101,3.76551,0.124557,99
196102,3.76555,0.12436,99
196103,3.7642,0.124248,99
196104,3.76978,0.123923,99
196105,3.77127,0.12363,99
196106,3.77277,0.124047,99
196107,3.7666,0.124208,99
196108,3.76754,0.123902,99
196109,3.76774,0.123927,99
196110,3.76645,0.123703,99
196111,3.76611,0.123623,99
196112,3.76479,0.124382,99
196201,3.76503,0.124136,99
196202,3.76435,0.12386,99
196203,3.76365,0.123401,99
196204,3.7699,0.123392,99
196205,3.77386,0.122917,99
196206,3.77684,0.12348,99
196207,3.76792,0.122822,99
196208,3.76825,0.122757,99
196209,3.76851,0.123119,99
196210,3.76836,0.123023,99
196211,3.76709,0.123775,99
196212,3.76489,0.124139,99
196301,3.766,0.124191,99
196302,3.76554,0.12324,99
196303,3.76353,0.12227,99
196304,3.76873,0.122057,98
196305,3.77137,0.12239,99
196306,3.77425,0.12316,99
196307,3.76682,0.122651,99
196308,3.76703,0.121454,98
196309,3.76868,0.121276,98
196310,3.76835,0.122312,99
196311,3.76539,0.122801,99
196312,3.76498,0.123232,99
196401,3.76694,0.123097,99
196402,3.76614,0.121641,99
196403,3.76771,0.121739,99
196404,3.77249,0.122496,99
196405,3.77144,0.12261,99
196406,3.77382,0.121565,99
196407,3.76638,0.121756,99
196408,3.76787,0.121844,99
196409,3.76866,0.122606,99
196410,3.768,0.122812,99
196411,3.76545,0.122812,99
196412,3.76302,0.122927,99
196501,3.76527,0.123169,99
196502,3.76594,0.122199,99
196503,3.76663,0.121889,99
196504,3.77339,0.121109,98
196505,3.77404,0.120939,98
196506,3.77475,0.121754,99
196507,3.76764,0.121936,99
196508,3.76825,0.121224,99
196509,3.7675,0.122199,99
196510,3.76556,0.122908,99
196511,3.76593,0.122362,99
196512,3.76591,0.122842,99
196601,3.76696,0.12217,99
196602,3.76769,0.120873,98
196603,3.76735,0.1214,99
196604,3.7733,0.121772,99
196605,3.77437,0.121618,99
196606,3.77533,0.121627,99
196607,3.76709,0.121846,99
196608,3.76854,0.121874,99
196609,3.76941,0.122401,99
196610,3.76848,0.122815,99
196611,3.76611,0.122801,99
196612,3.76634,0.123213,99
196701,3.76633,0.122879,99
196702,3.76638,0.120442,98
196703,3.76668,0.121122,98
196704,3.77252,0.121521,99
196705,3.77541,0.120942,99
196706,3.77475,0.121603,99
196707,3.76546,0.122133,99
196708,3.76607,0.121634,99
196709,3.76646,0.121139,99
196710,3.7669,0.121714,99
196711,3.76581,0.122162,99
196712,3.76357,0.123387,99
196801,3.76376,0.122316,99
196802,3.76299,0.120681,99
196803,3.7643,0.120801,98
196804,3.7704,0.120807,98
196805,3.7722,0.12043,98
196806,3.7738,0.120657,99
196807,3.76432,0.119912,98
196808,3.76491,0.120009,99
196809,3.76621,0.120456,99
196810,3.76459,0.120278,99
196811,3.76288,0.119895,99
196812,3.76185,0.1217,99
196901,3.76356,0.120356,98
196902,3.76515,0.119187,98
196903,3.76551,0.120257,98
196904,3.77083,0.120539,98
196905,3.77209,0.120595,99
196906,3.77406,0.121125,99
196907,3.76506,0.121267,99
196908,3.76633,0.120932,99
196909,3.76822,0.120803,99
196910,3.76633,0.120296,99
196911,3.76467,0.119959,99
196912,3.76251,0.121926,99
197001,3.76307,0.121202,99
197002,3.76402,0.120488,99
197003,3.76468,0.120581,99
197004,3.76957,0.120047,99
197005,3.77166,0.119592,98
197006,3.77367,0.119791,98
197007,3.76645,0.119939,98
197008,3.76582,0.119721,99
197009,3.76729,0.119748,99
197010,3.76874,0.119001,98
197011,3.76826,0.119402,98
197012,3.76804,0.119966,98
197101,3.76932,0.119031,98
197102,3.76704,0.118712,98
197103,3.76696,0.11837,98
197104,3.7717,0.118426,98
197105,3.77194,0.118229,98
197106,3.77281,0.118457,98
197107,3.76607,0.118443,98
197108,3.7666,0.117872,98
197109,3.76799,0.118992,98
197110,3.76824,0.11935,98
197111,3.7665,0.119161,98
197112,3.76502,0.119958,98
197201,3.76863,0.118912,98
197202,3.7698,0.117749,98
197203,3.76859,0.11878,98
197204,3.77452,0.117631,98
197205,3.77403,0.118906,98
197206,3.7729,0.118986,98
197207,3.76466,0.119143,98
197208,3.7658,0.119021,98
197209,3.76621,0.118878,98
197210,3.7673,0.11864,98
197211,3.76484,0.118326,98
197212,3.76286,0.119842,98
197301,3.76633,0.119905,98
197302,3.76879,0.117654,98
197303,3.76768,0.117367,98
197304,3.77247,0.119593,98
197305,3.77415,0.119357,98
197306,3.77792,0.118892,98
197307,3.76883,0.119003,98
197308,3.76978,0.119787,99
197309,3.77169,0.119161,98
197310,3.77246,0.119742,98
197311,3.76848,0.119962,98
197312,3.76699,0.120077,98
197401,3.76932,0.119723,98
