yyyymm,temperature_volw_mean,temperature_uncert,temperature_uncer_percentVariance
196001,2.38136,0.0507199,99
196002,2.38209,0.0503412,99
196003,2.38222,0.0504096,99
196004,2.3858,0.0502393,99
196005,2.38572,0.0506197,100
196006,2.38581,0.0504421,99
196007,2.38431,0.0503999,99
196008,2.38395,0.0503498,99
196009,2.38368,0.050549,99
196010,2.38368,0.0507762,100
196011,2.38371,0.0505813,99
196012,2.38352,0.0506793,99
196101,2.38186,0.0507326,99
196102,2.38188,0.0507671,99
196103,2.38143,0.0507429,99
196104,2.38501,0.0507122,99
196105,2.38492,0.0506801,99
196106,2.38502,0.0506885,99
196107,2.38464,0.0506416,100
196108,2.38524,0.0505971,100
196109,2.3845,0.0506578,99
196110,2.38349,0.0507353,99
196111,2.38374,0.0506918,99
196112,2.3835,0.050881,100
196201,2.38143,0.0508158,100
196202,2.38167,0.0507042,99
196203,2.38176,0.0505179,99
196204,2.38566,0.0505793,99
196205,2.38602,0.0505629,99
196206,2.38641,0.0506341,99
196207,2.38473,0.0503085,99
196208,2.38442,0.0502784,99
196209,2.3848,0.0503732,99
196210,2.38453,0.0503615,99
196211,2.38446,0.0506924,99
196212,2.38384,0.0507718,100
196301,2.38202,0.0506846,99
196302,2.38178,0.0505192,99
196303,2.38107,0.05026,99
196304,2.38481,0.0501466,99
196305,2.38512,0.0503802,99
196306,2.38574,0.0505812,99
196307,2.38465,0.0504279,99
196308,2.38452,0.0501403,99
196309,2.38498,0.050069,99
196310,2.38465,0.0503331,99
196311,2.38435,0.0504361,99
196312,2.384,0.0506061,99
196401,2.38219,0.0504949,99
196402,2.38265,0.0502944,99
196403,2.38342,0.0502413,99
196404,2.38674,0.0502849,99
196405,2.38607,0.0503022,99
196406,2.38624,0.0501441,99
196407,2.38471,0.0502598,99
196408,2.38542,0.0501759,99
196409,2.38568,0.0503318,99
196410,2.38436,0.0506044,99
196411,2.38408,0.0506147,99
196412,2.38392,0.0505479,99
196501,2.3822,0.0505895,99
196502,2.3825,0.0504861,99
196503,2.38325,0.0502986,99
196504,2.38753,0.0499794,99
196505,2.38714,0.0500056,99
196506,2.38686,0.0502278,99
196507,2.38617,0.0501722,99
196508,2.38587,0.0501765,99
196509,2.38501,0.0505247,99
196510,2.3838,0.0507266,100
196511,2.3838,0.0507112,100
196512,2.38405,0.0508302,100
196601,2.38283,0.0505579,99
196602,2.38361,0.0502975,99
196603,2.38348,0.0504377,99
196604,2.38663,0.0505403,99
196605,2.38652,0.05051,99
196606,2.38704,0.0504557,99
196607,2.38574,0.0503804,99
196608,2.38536,0.0504537,99
196609,2.38496,0.0505973,99
196610,2.38431,0.0507633,100
196611,2.38403,0.050791,100
196612,2.38358,0.050963,100
196701,2.38244,0.0506335,99
196702,2.38327,0.0500244,99
196703,2.38289,0.0501368,99
196704,2.38682,0.0504049,99
196705,2.38717,0.0503475,99
196706,2.38647,0.0503748,99
196707,2.38494,0.0503886,99
196708,2.38494,0.0504979,99
196709,2.38514,0.0504949,99
196710,2.38476,0.0505091,99
196711,2.3843,0.0506997,100
196712,2.38369,0.0508751,100
196801,2.38141,0.0507805,100
196802,2.38181,0.0504646,99
196803,2.38219,0.0503728,99
196804,2.38655,0.0503952,99
196805,2.38678,0.0503027,99
196806,2.38634,0.0504599,99
196807,2.3848,0.0503793,99
196808,2.38492,0.0504,99
196809,2.38469,0.0504862,99
196810,2.384,0.0505085,99
196811,2.38373,0.05045,99
196812,2.38387,0.0505924,99
196901,2.38217,0.0503798,99
196902,2.38286,0.0499809,99
196903,2.38323,0.0501305,99
196904,2.38655,0.0502334,99
196905,2.38589,0.0503085,99
196906,2.38578,0.0503759,99
196907,2.38435,0.0504701,99
196908,2.38478,0.050429,99
196909,2.38584,0.0503765,99
196910,2.38518,0.0503043,99
196911,2.38479,0.0504303,99
196912,2.38406,0.0505036,99
197001,2.38193,0.0503135,99
197002,2.3825,0.0502419,99
197003,2.38238,0.050584,99
197004,2.38659,0.0505015,99
197005,2.38663,0.0503428,99
197006,2.38635,0.0502802,99
197007,2.38498,0.0501792,99
197008,2.3847,0.0503265,99
197009,2.38545,0.0503588,99
197010,2.38554,0.0502248,99
197011,2.38551,0.0503231,99
197012,2.386,0.0503394,99
197101,2.38396,0.0502604,99
197102,2.38325,0.0503382,99
197103,2.38345,0.0501877,99
197104,2.38749,0.0501504,99
197105,2.38683,0.0500466,99
197106,2.38685,0.0501441,99
197107,2.38607,0.0501346,99
197108,2.38585,0.0500461,99
197109,2.38511,0.0502288,99
197110,2.38434,0.050387,99
197111,2.38441,0.0504264,99
197112,2.38466,0.0504755,99
197201,2.38335,0.0501972,99
197202,2.38351,0.050076,99
197203,2.38348,0.0501092,99
197204,2.38757,0.0498698,99
197205,2.3873,0.0500976,99
197206,2.38625,0.0502059,99
197207,2.38501,0.0502877,99
197208,2.38532,0.0503766,99
197209,2.3855,0.0503703,99
197210,2.38488,0.0502921,99
197211,2.38484,0.050116,99
197212,2.38447,0.0504132,99
197301,2.38264,0.0503113,99
197302,2.38399,0.0497335,99
197303,2.38401,0.049741,99
197304,2.38704,0.0501403,99
197305,2.38684,0.0502183,99
197306,2.38751,0.0499962,99
197307,2.38625,0.0499791,99
197308,2.38573,0.0503973,99
197309,2.38591,0.0503545,99
197310,2.38535,0.0503743,99
197311,2.38488,0.050278,99
197312,2.38479,0.0502831,99
197401,2.38304,0.0501895,99
197402,2.38296,0.0500983,99
197403,2.38295,0.0501682,99
197404,2.38664,0.050346,99
197405,2.38649,0.0505598,99
197406,2.38624,0.050423,99
197407,2.38497,0.0505413,99
197408,2.3855,0.0502549,99
197409,2.3849,0.050635,100
197410,2.38395,0.0507346,100
197411,2.38406,0.0505852,100
197412,2.38451,0.0505541,100
197501,2.38615,0.0502812,99
197502,2.3866,0.0502183,99
197503,2.38629,0.0500475,99
197504,2.38745,0.0501989,99
197505,2.38759,0.0499708,99
197506,2.38809,0.0499417,99
197507,2.38559,0.0503389,99
197508,2.38496,0.0505272,100
197509,2.38428,0.0506453,100
197510,2.384,0.0506356,100
197511,2.38447,0.0506715,100
197512,2.38466,0.0506807,100
197601,2.38615,0.0503977,99
197602,2.38665,0.0500243,99
197603,2.38625,0.0502124,99
197604,2.38675,0.0504095,99
197605,2.38752,0.050355,99
197606,2.38839,0.0500664,99
197607,2.38627,0.0501024,99
197608,2.38553,0.0500386,99
197609,2.38512,0.050589,100
197610,2.38525,0.050522,100
197611,2.38531,0.0503029,99
197612,2.38581,0.0502412,99
197701,2.38798,0.0498722,99
197702,2.38769,0.0499364,99
197703,2.38673,0.0500832,99
197704,2.38744,0.0502046,99
197705,2.38725,0.0505473,100
197706,2.38803,0.0502165,99
197707,2.38621,0.0502731,99
197708,2.38572,0.0502821,99
197709,2.38483,0.0504014,100
197710,2.38468,0.0504216,99
197711,2.38433,0.0503333,99
197712,2.38427,0.0505261,99
197801,2.38557,0.050236,99
197802,2.38625,0.0500773,99
197803,2.38631,0.050206,99
197804,2.38774,0.0501905,99
197805,2.38773,0.0502376,99
197806,2.38749,0.0502004,99
197807,2.38588,0.0500359,99
197808,2.38621,0.0501278,99
197809,2.38506,0.0505137,100
197810,2.38487,0.0503819,99
197811,2.38463,0.0503868,99
197812,2.3844,0.0504727,99
197901,2.38553,0.0501482,99
197902,2.38524,0.0502643,99
197903,2.38501,0.0504115,99
197904,2.38693,0.050175,99
197905,2.38717,0.0499355,99
197906,2.38723,0.0498271,99
197907,2.38542,0.0500382,99
197908,2.38549,0.0502454,99
197909,2.38545,0.0503736,99
197910,2.38509,0.0503948,99
197911,2.38459,0.0502683,99
197912,2.38462,0.0504326,99
198001,2.38625,0.0504041,99
198002,2.38734,0.0500585,99
198003,2.38744,0.0498051,99
198004,2.38845,0.0500133,99
198005,2.38835,0.0500148,99
198006,2.38758,0.0503301,99
198007,2.38488,0.0501046,99
198008,2.38423,0.0499481,99
198009,2.38436,0.0500909,99
198010,2.38465,0.050343,99
198011,2.3849,0.0503322,99
198012,2.3847,0.0503561,100
198101,2.38589,0.050164,99
198102,2.38636,0.0498265,99
198103,2.38636,0.0498789,99
198104,2.38804,0.0496216,99
198105,2.38775,0.0496918,99
198106,2.38728,0.0498118,99
198107,2.38507,0.0499197,99
198108,2.38517,0.0500417,99
198109,2.38483,0.0501867,99
198110,2.38509,0.0501865,99
198111,2.38507,0.0499838,99
198112,2.38414,0.0501425,99
198201,2.3852,0.0503524,99
198202,2.38615,0.0500847,99
198203,2.38629,0.0502723,99
198204,2.38691,0.0504616,100
198205,2.38661,0.0502185,99
198206,2.38645,0.0497594,99
198207,2.38368,0.0495341,99
198208,2.38365,0.0498366,99
198209,2.38471,0.0500481,99
198210,2.38452,0.0497718,99
198211,2.38414,0.0497917,99
198212,2.38451,0.0496901,99
198301,2.38603,0.0498866,99
198302,2.38601,0.0498707,99
198303,2.38616,0.0498009,99
198304,2.38756,0.0499588,99
198305,2.38739,0.0499385,99
198306,2.38706,0.0500658,99
198307,2.38536,0.0496747,99
198308,2.38539,0.0494451,99
198309,2.3847,0.0495591,99
198310,2.3845,0.0497612,99
198311,2.38459,0.0499291,99
198312,2.38478,0.0498286,99
198401,2.38558,0.0500254,99
198402,2.38607,0.0498054,99
198403,2.38566,0.0500379,99
198404,2.38696,0.0500773,99
198405,2.38685,0.0500008,99
198406,2.38668,0.0500937,99
198407,2.38467,0.0498548,99
198408,2.38424,0.0500017,99
198409,2.38459,0.0501696,99
198410,2.38464,0.0498206,99
198411,2.38429,0.049748,99
198412,2.38396,0.0499895,99
198501,2.38342,0.0500468,99
198502,2.38413,0.0495454,99
198503,2.38455,0.0496177,99
198504,2.38703,0.0493623,99
198505,2.38639,0.0497059,99
198506,2.38535,0.0501883,99
198507,2.38506,0.0499249,99
198508,2.38546,0.0498484,99
198509,2.38537,0.0500756,99
198510,2.38451,0.0502542,99
198511,2.3839,0.0502263,99
198512,2.38356,0.0504809,100
198601,2.38338,0.0502245,99
198602,2.38353,0.0498256,99
198603,2.38347,0.0500128,99
198604,2.38564,0.0498676,99
198605,2.38595,0.0497091,99
198606,2.38594,0.0502605,99
198607,2.3856,0.0497815,99
198608,2.38494,0.0499218,99
198609,2.38442,0.0500487,99
198610,2.3838,0.0500347,99
198611,2.38371,0.0500697,99
198612,2.3836,0.0501724,99
198701,2.38317,0.0500546,99
198702,2.384,0.0497708,99
198703,2.38444,0.0496988,99
198704,2.38621,0.0499949,99
198705,2.3856,0.0500761,99
198706,2.38523,0.0498683,99
198707,2.38462,0.0496356,99
198708,2.38434,0.0501112,99
198709,2.38468,0.0499895,99
198710,2.3839,0.050021,99
198711,2.38366,0.0500824,99
198712,2.38353,0.0500123,99
198801,2.3831,0.0499142,99
198802,2.38333,0.0498133,99
198803,2.38342,0.0499598,99
198804,2.38548,0.0501483,99
198805,2.38532,0.0502668,99
198806,2.38513,0.0502124,99
198807,2.38454,0.0499875,99
198808,2.38427,0.050097,99
198809,2.38397,0.0502285,99
198810,2.38331,0.0499649,99
198811,2.38289,0.0501,99
198812,2.3831,0.0503393,99
198901,2.38317,0.0502012,99
