yyyymm,temperature_volw_mean,temperature_uncert,temperature_uncer_percentVariance
196001,0.479225,0.112398,100
196002,0.478011,0.112735,100
196003,0.47726,0.112889,100
196004,0.490503,0.112824,100
196005,0.491806,0.112231,100
196006,0.494343,0.112044,100
196007,0.496292,0.112338,100
196008,0.496439,0.111857,100
196009,0.49802,0.111902,100
196010,0.495338,0.112273,100
196011,0.49091,0.112756,100
196012,0.487631,0.112636,100
196101,0.476123,0.112235,100
196102,0.477153,0.1124,100
196103,0.476689,0.112674,100
196104,0.490849,0.112501,100
196105,0.493745,0.112306,100
196106,0.495602,0.11206,100
196107,0.497334,0.112585,100
196108,0.498712,0.11247,100
196109,0.499214,0.112167,100
196110,0.495692,0.112569,100
196111,0.49336,0.112885,100
196112,0.490051,0.112634,100
196201,0.478011,0.112768,100
196202,0.477221,0.112804,100
196203,0.475455,0.112777,100
196204,0.487377,0.112583,100
196205,0.489726,0.112514,100
196206,0.490626,0.112213,100
196207,0.489143,0.112246,100
196208,0.490707,0.111739,100
196209,0.49383,0.111872,100
196210,0.490529,0.112247,100
196211,0.489654,0.112405,100
196212,0.490081,0.112432,100
196301,0.476871,0.112259,100
196302,0.474116,0.112536,100
196303,0.473197,0.112239,100
196304,0.486368,0.112311,100
196305,0.487325,0.112026,100
196306,0.487861,0.111739,100
196307,0.487897,0.111976,100
196308,0.489829,0.111789,100
196309,0.492297,0.111988,100
196310,0.488563,0.112207,100
196311,0.486574,0.112445,100
196312,0.484669,0.112276,100
196401,0.47342,0.112227,100
196402,0.476691,0.112462,100
196403,0.479145,0.112202,100
196404,0.491344,0.112468,100
196405,0.492037,0.112504,100
196406,0.494948,0.111432,99
196407,0.496572,0.111846,100
196408,0.496547,0.112042,100
196409,0.49556,0.112312,100
196410,0.49333,0.112528,100
196411,0.493542,0.112794,100
196412,0.491691,0.11284,100
196501,0.47623,0.112943,100
196502,0.476377,0.112702,100
196503,0.475361,0.112188,100
196504,0.486878,0.11142,99
196505,0.494483,0.111689,100
196506,0.496103,0.11172,100
196507,0.492816,0.112048,100
196508,0.493141,0.11182,100
196509,0.49516,0.111628,100
196510,0.493373,0.111752,100
196511,0.491968,0.112249,100
196512,0.489785,0.1123,100
196601,0.476232,0.112199,100
196602,0.474227,0.11212,100
196603,0.474757,0.112173,100
196604,0.486204,0.112191,100
196605,0.487065,0.112,100
196606,0.490234,0.111934,100
196607,0.49015,0.111901,100
196608,0.491667,0.111824,100
196609,0.492664,0.112114,100
196610,0.489627,0.112417,100
196611,0.487797,0.112685,100
196612,0.487082,0.112747,100
196701,0.475444,0.112292,100
196702,0.475234,0.112056,100
196703,0.475338,0.112292,100
196704,0.486303,0.112385,100
196705,0.486023,0.112447,100
196706,0.488552,0.111966,100
196707,0.4907,0.112211,100
196708,0.493498,0.112118,100
196709,0.49405,0.112206,100
196710,0.491119,0.112637,100
196711,0.489085,0.112775,100
