yyyymm,temperature_volw_mean,temperature_uncert,temperature_uncer_percentVariance
196001,0.785632,0.17999,99
196002,0.78339,0.180608,99
196003,0.782104,0.180871,99
196004,0.792114,0.180742,99
196005,0.794517,0.179663,99
196006,0.799128,0.179328,99
196007,0.803892,0.179878,99
196008,0.804138,0.179002,99
196009,0.806942,0.179066,99
196010,0.806627,0.179732,99
196011,0.798633,0.180607,99
196012,0.792694,0.180394,99
196101,0.779974,0.179726,99
196102,0.781901,0.180031,99
196103,0.781223,0.180491,99
196104,0.792775,0.180141,99
196105,0.798008,0.179788,99
196106,0.80132,0.179352,99
196107,0.805576,0.180308,100
196108,0.808084,0.180099,99
196109,0.809051,0.179545,99
196110,0.807267,0.180272,100
196111,0.803027,0.180842,100
196112,0.797013,0.180392,99
196201,0.78352,0.180634,99
196202,0.782202,0.180699,99
196203,0.779076,0.180685,99
196204,0.786615,0.180332,99
196205,0.790783,0.180178,99
196206,0.792405,0.179636,99
196207,0.79088,0.179755,99
196208,0.793673,0.178888,99
196209,0.799246,0.179069,99
196210,0.797828,0.179775,99
196211,0.79624,0.180035,99
196212,0.796966,0.180056,99
196301,0.781352,0.179756,99
196302,0.776377,0.180261,99
196303,0.77464,0.179724,99
196304,0.784467,0.17986,99
196305,0.786256,0.179373,99
196306,0.787268,0.178846,99
196307,0.788568,0.179258,99
196308,0.792005,0.17892,99
196309,0.796288,0.179265,99
196310,0.793716,0.179683,99
196311,0.789889,0.180136,99
196312,0.786816,0.179802,99
196401,0.775099,0.179747,99
196402,0.780944,0.180159,99
196403,0.785049,0.179689,99
196404,0.793068,0.180179,99
196405,0.794188,0.18022,99
196406,0.799275,0.178315,99
196407,0.803742,0.179021,99
196408,0.804065,0.17938,99
196409,0.802212,0.179858,99
196410,0.802792,0.180248,99
196411,0.803291,0.18071,99
196412,0.800043,0.180768,100
196501,0.780338,0.180953,100
196502,0.780592,0.180524,99
196503,0.778609,0.179635,99
196504,0.78524,0.178321,99
196505,0.799081,0.178764,99
196506,0.802176,0.178776,99
196507,0.797349,0.179409,99
196508,0.797883,0.179008,99
196509,0.801564,0.178623,99
196510,0.802943,0.178858,99
196511,0.800446,0.179741,99
196512,0.796335,0.179841,99
196601,0.779942,0.179677,99
196602,0.776426,0.179566,99
196603,0.777393,0.179694,99
196604,0.784126,0.179707,99
196605,0.785906,0.179302,99
196606,0.791662,0.179146,99
196607,0.792598,0.179109,99
196608,0.795259,0.179013,99
196609,0.79715,0.179479,99
196610,0.796301,0.180001,99
196611,0.793008,0.180483,100
196612,0.791711,0.1806,99
196701,0.778825,0.17985,99
196702,0.778424,0.17944,99
196703,0.778618,0.179857,99
196704,0.784553,0.179988,99
196705,0.784082,0.180075,99
196706,0.788654,0.1792,99
196707,0.793736,0.179635,99
196708,0.798776,0.179465,99
196709,0.799729,0.179621,99
196710,0.798984,0.180394,100
196711,0.795323,0.180642,100
196712,0.791238,0.180689,99
196801,0.776362,0.180812,99
196802,0.774768,0.179943,99
196803,0.770952,0.179959,99
196804,0.773264,0.179276,99
196805,0.777072,0.17876,99
196806,0.783987,0.178702,99
196807,0.785184,0.178949,99
196808,0.790201,0.17916,99
196809,0.792265,0.179193,99
196810,0.793116,0.17924,99
196811,0.793384,0.179323,99
196812,0.786023,0.179666,99
196901,0.766371,0.178572,99
196902,0.771253,0.178321,99
