year,0-6000m_allLat,0-6000m_allLat_se
1960,0,37.00604958
1961,4.691079145,35.25399506
1962,1.070691178,34.37530436
1963,4.359890772,32.55265325
1964,5.671033783,31.11434024
1965,10.28045004,29.86714576
1966,3.643072102,28.62534832
1967,-7.304291512,26.19849373
1968,-1.810193983,27.12250995
1969,1.3429008,25.72167105
1970,5.389750507,22.65028914
1971,5.367066372,22.84076157
1972,16.9042175,23.33309369
1973,8.96930703,25.13558907
1974,39.18457502,26.96998839
1975,34.15323385,26.50142735
1976,43.08624627,25.31628304
1977,33.6405724,23.48589027
1978,33.84019279,21.96033888
1979,44.19776889,21.26373433
1980,30.89125522,22.08619828
1981,12.28119076,20.25518685
1982,13.56057598,19.34594362
1983,12.04527575,20.73157331
1984,-4.554974334,19.44975696
1985,-13.00708308,19.17024895
1986,-17.82973021,16.53808645
1987,-14.72654053,18.45755065
1988,-5.988611674,19.72016329
1989,-14.32276292,18.23016554
1990,-4.636637221,19.17021402
1991,0.38109347,18.37422682
1992,-3.665756237,16.12588658
1993,-4.11943894,16.25524749
1994,9.236979825,15.6145442
1995,50.70811567,16.63407733
1996,67.56242807,16.12210235
1997,82.0031485,16.11500454
1998,100.7357073,17.11986754
1999,83.90861585,18.22889528
2000,78.47349707,19.74605707
2001,78.55969678,19.49961428
2002,78.73663304,14.34489471
2003,90.91347677,9.646808318
2004,135.6828859,6.647592781
2005,132.6704327,5.285247757
2006,127.6254811,4.539749311
2007,136.8715345,4.127110669
2008,135.8280643,3.773279353
2009,130.7513549,3.832904796
2010,139.5028942,3.825275262
2011,140.3104494,3.569962498
2012,154.642286,3.226301026
2013,163.6342772,3.23346365
2014,176.3056351,2.899157844
2015,167.0958762,2.871651505
2016,189.0223612,2.7016094
2017,197.6877008,2.674206349
2018,214.4512767,2.921708807
2019,225.2217041,3.088940362
2020,243.6412218,3.84567594
2021,260.4501659,3.672469258
2022,268.5801599,3.742024547
2023,299.4351205,3.655377143
