year,0-2000m_polarLat,0-2000m_polarLat_se,0-6000m_polarLat,0-6000m_polarLat_se,2000-6000m_allLat,2000-6000m_allLat_se,700-6000m_allLat,700-6000m_allLat_se
1960,0,3.439717105,0,3.441783511,0,3.867248173,0,4.305387549
1961,-1.308004595,3.543149122,-1.313362546,3.544982847,0.374902986,3.700366276,1.685949392,4.139004527
1962,-2.2019041,3.817442406,-2.147935232,3.819079401,0.90542608,3.618832545,0.921652334,4.055156143
1963,-0.370231663,3.565879125,-0.302050958,3.567327096,0.641343473,3.451358061,3.840218059,3.89009954
1964,-0.736338326,3.661665972,-0.711721393,3.663012998,0.582396463,3.318381726,4.851787694,3.75552131
1965,-1.7904397,3.741070198,-1.76981864,3.743015992,0.327745378,3.206082445,4.818068707,3.642306899
1966,-1.627165655,3.962024684,-1.63095681,3.964161563,0.348966302,3.094173815,4.346002877,3.532705496
1967,-2.910644625,3.541901335,-2.906878369,3.542974287,0.268798367,2.888190942,2.195480764,3.326525821
1968,-1.630358647,3.500139384,-1.636252124,3.501237721,0.139114945,2.970395407,3.840218059,3.407860644
1969,-1.970576191,3.290954297,-1.96231889,3.291769982,0.636627712,2.848400345,4.994156754,3.286212398
1970,-1.682240441,3.717431709,-1.665937033,3.718973014,0.532880974,2.580350135,6.384128364,3.017194702
1971,-0.4772918,3.711442422,-0.47284042,3.712607184,0.728585049,2.59471355,6.088150582,3.032721663
1972,-1.372606577,3.509661279,-1.365879605,3.510321069,1.01860434,2.636166649,7.384458336,3.074089543
1973,-1.083166225,3.692144426,-1.06999613,3.693111585,0.386692388,2.804041527,4.113716516,3.241933601
1974,-1.971956944,3.778161103,-1.30071609,3.779837058,0.05894701,2.968635759,9.328919968,3.407086677
1975,-2.420753453,3.726352101,-1.757203333,3.727575005,-0.080167934,2.929350826,11.15349187,3.365783037
1976,-3.429169162,3.338149259,-2.80617395,3.338666413,-0.377260867,2.825051089,11.21343673,3.263279769
1977,-4.267355282,3.142873219,-3.636292342,3.143352286,-0.499870648,2.656855499,10.08197736,3.093495837
1978,-3.807719862,3.329295826,-3.153951505,3.330007667,-0.16740951,2.519643843,8.444733176,2.956277311
1979,-2.902222031,3.490225112,-2.238921191,3.490884716,-0.688501081,2.463816974,10.45288623,2.900059809
1980,-4.686344786,3.542839058,-4.033658958,3.543156938,0.049515489,2.540606268,9.673602955,2.976342987
1981,-4.32415601,3.709429515,-3.696472031,3.710141375,-0.518733692,2.376122404,6.590188845,2.810546304
1982,-3.855701029,3.596752035,-3.227182587,3.597491248,0.05423125,2.298132184,9.104126716,2.733385438
1983,-3.977897671,3.683514936,-3.337044785,3.684017086,-0.740374451,2.420933516,7.103466771,2.857748191
1984,-3.024591268,3.583906428,-2.799290042,3.584568019,-2.83181438,2.305349472,5.057848176,2.743833438
1985,-3.670731903,3.359849149,-3.468399729,3.359634091,-3.086465464,2.28943957,3.278234929,2.725466479
1986,-3.193457362,3.222508197,-3.023655624,3.22248738,-2.942634759,2.054977877,3.053441676,2.489655764
1987,-3.100152977,3.373194198,-2.891521957,3.373297744,-3.069960302,2.23308212,0.985343756,2.667330012
1988,-2.341153042,3.534939698,-2.087350606,3.535495812,-2.992150248,2.332293316,2.705012135,2.766935369
1989,-1.3901594,3.689861225,-1.141389427,3.690793677,-2.999223889,2.211820238,1.153938695,2.64645338
1990,-1.521382715,3.793363872,-1.298411071,3.794673665,-3.341116549,2.29745445,-2.304130836,2.728734899
1991,-1.695478411,3.661682372,-1.475990994,3.662612948,-3.086465464,2.231272691,2.603855172,2.661382353
1992,-2.314659843,3.308772181,-2.078815805,3.308188416,-3.308106224,2.031954985,0.929145443,2.458054339
