year,0-6000m_allLat,0-6000m_allLat_se
1900,0,147.435156
1901,4.123320014,146.504877
1902,12.36996004,139.379284
1903,24.73992008,144.362159
1904,25.25533509,139.180602
1905,4.638735016,133.219105
1906,-9.27747003,144.020797
1907,-6.70039502,135.862161
1908,-6.70039502,135.645943
1909,-12.885375,134.906518
1910,-16.4932801,128.858807
1911,-22.6782601,139.258035
1912,-2.57707501,128.318012
1913,-11.33913,139.985015
1914,-3.60790501,143.632798
1915,-2.06166001,146.242399
1916,-3.09249001,152.45332
1917,-0.515415,149.322029
1918,5.66956502,143.825472
1919,-19.0703551,138.988811
1920,-6.70039502,137.27714
1921,-7.21581002,128.449337
1922,24.22450508,118.740285
1923,19.07035507,116.001308
1924,-8.24664003,107.940777
1925,-6.70039502,103.663949
1926,-36.5944651,105.229549
1927,-12.36996,101.510859
1928,-3.09249001,96.0001563
1929,-15.9778651,96.5990375
1930,-1.03083,98.6628526
1931,-54.6339902,94.0206109
1932,-31.9557301,96.12583
1933,-15.4624501,89.7480356
1934,-6.18498002,88.5569779
1935,-18.0395251,85.4407513
1936,-22.6782601,86.9190322
1937,-20.6166001,84.7944288
1938,-37.6252951,89.265609
1939,-42.7794451,97.1436122
1940,-43.2948601,88.0963463
1941,-21.6474301,82.0039845
1942,-7.73122503,73.1723792
1943,-8.76205503,53.9227248
1944,-25.2553351,59.1618578
1945,-21.1320151,74.4234634
1946,-35.0482201,67.1077456
1947,-39.1715401,68.9173694
1948,-35.5636351,68.9076997
1949,-27.8324101,61.2028842
1950,-4.12332001,57.9974929
1951,-47.4181802,54.0626682
1952,-38.1407101,54.5686898
1953,-24.7399201,51.790962
1954,-61.3343852,49.2311825
1955,-74.7351753,47.1339313
1956,-88.6513803,39.4959206
1957,-61.8498002,38.8075066
1958,-80.4047403,41.0390093
1959,-73.1889303,39.3417104
1960,-79.8893253,37.7915639
1961,-56.6956502,36.0293362
1962,-47.4181802,35.1366773
1963,-65.9731202,33.2994869
1964,-84.5280603,31.8427026
1965,-64.4268752,30.5764938
1966,-59.2727252,29.3233297
1967,-70.0964402,26.8460795
1968,-81.9509853,27.7819617
1969,-89.1667953,26.3573107
1970,-36.5944651,23.2305068
1971,-44.8411052,23.4300407
1972,-43.8102752,23.9327623
1973,-35.5636351,25.7520246
1974,-12.885375,27.6133582
1975,-3.09249001,27.1298312
1976,7.215810025,25.9294956
1977,-4.12332001,24.0752354
1978,8.76205503,22.5287904
1979,55.14940519,21.8124601
1980,11.85454504,22.6411801
1981,-13.916205,20.7818032
1982,-45.8719352,19.8568768
1983,-32.4711451,21.2675607
1984,-4.63873502,19.9724595
1985,-41.2332001,19.6708908
1986,-70.6118552,16.9964855
1987,-30.9249001,18.9337912
1988,-13.40079,20.2341213
1989,-27.3169951,18.7052869
1990,6.184980021,19.6489793
1991,0.515415002,18.8320308
1992,13.91620505,16.5397053
1993,11.85454504,16.6764481
1994,-26.8015801,16.0233333
1995,-26.8015801,17.065556
1996,-20.1011851,16.533776
1997,10.82371504,16.5192914
1998,29.8940701,17.5278948
1999,30.4094851,18.6610945
2000,1.546245005,20.2022565
2001,14.94703505,19.9649404
2002,58.7573102,14.7026733
2003,81.43557028,9.88040692
2004,86.0743053,6.77226547
2005,112.3604704,5.36232603
2006,97.92885034,4.59428902
2007,105.6600754,4.1637643
2008,109.7833954,3.80022278
2009,120.0916954,3.86068265
2010,135.5541455,3.85649729
2011,144.8316155,3.59126716
2012,175.2411006,3.24086426
2013,185.0339856,3.24169483
2014,208.2276607,2.89384014
2015,197.4039457,2.86135944
2016,230.3905058,2.68795487
2017,235.0292408,2.65623196
2018,247.3992008,2.91435415
2019,261.8308209,3.08931012
2020,282.447421,3.86385584
2021,302.548606,3.68761271
2022,316.4648111,3.7583664
2023,329.3501861,3.83732903
2024,362.0422234,3.38181686
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
