yyyymm,temperature_volw_mean,salinity_volw_mean,temperature_uncert,salinity_uncert,temperature_obs_wt,salinity_obs_wt
190001,276.572,34.7237,0.385523,0.0544303,0.00601738,0
190002,276.573,34.7239,0.385488,0.0544303,0.00592542,0
190003,276.574,34.7242,0.38547,0.0544303,0.00589221,0
190004,276.573,34.7246,0.385304,0.0544197,0.00906224,0.00237731
190005,276.57,34.7245,0.385252,0.0544091,0.00836618,0.00565059
190006,276.564,34.7242,0.385242,0.0543931,0.00893477,0.00614437
190007,276.56,34.7242,0.384961,0.0543583,0.0167791,0.0151893
190008,276.559,34.724,0.384709,0.0543233,0.0164237,0.0151037
190009,276.561,34.7236,0.384741,0.0543198,0.014642,0.00889937
190010,276.564,34.7236,0.384952,0.0543538,0.00942592,0.0049201
190011,276.566,34.7235,0.385102,0.0543612,0.00760031,0.0061354
190012,276.568,34.7235,0.385192,0.0543743,0.00723838,0.00511621
190101,276.572,34.7237,0.385309,0.05438,0.00587677,0.00613719
190102,276.573,34.7239,0.385188,0.0543437,0.0102023,0.00871796
190103,276.574,34.7242,0.385105,0.0543412,0.00990117,0.00798028
190104,276.573,34.7247,0.385038,0.0543473,0.0120018,0.00693668
190105,276.569,34.7245,0.384866,0.0543082,0.0137038,0.0131564
190106,276.562,34.7242,0.384811,0.0543192,0.0141434,0.0108269
190107,276.559,34.7243,0.384385,0.0542906,0.030949,0.0188818
190108,276.558,34.724,0.384547,0.0542999,0.0163211,0.0113646
190109,276.561,34.7236,0.384871,0.0543341,0.0116686,0.00749127
190110,276.565,34.7234,0.384893,0.0543427,0.0185848,0.0114861
190111,276.566,34.7231,0.385164,0.0543742,0.0089848,0.00544012
190112,276.569,34.723,0.385127,0.0543763,0.00564439,0.00249103
190201,276.572,34.7233,0.385206,0.0543892,0.00661448,0.00393983
190202,276.574,34.7231,0.384986,0.0543365,0.0109076,0.0107435
190203,276.575,34.7236,0.385207,0.0543712,0.00324771,0
190204,276.574,34.7241,0.385155,0.0543814,0.00997591,0.00423264
190205,276.57,34.724,0.385064,0.0543439,0.0101398,0.00969442
190206,276.564,34.7237,0.384904,0.0543013,0.0163934,0.0141964
190207,276.56,34.7237,0.385019,0.0543183,0.0129819,0.0106166
190208,276.559,34.7233,0.384913,0.0543102,0.0268578,0.0210878
190209,276.562,34.7229,0.385114,0.0543439,0.022956,0.00947653
190210,276.565,34.7231,0.385144,0.0543491,0.0103352,0.00977754
190211,276.566,34.7231,0.385003,0.0543335,0.0141475,0.0102185
190212,276.568,34.7231,0.384794,0.0543407,0.0193975,0.00969487
190301,276.571,34.7233,0.385066,0.0543643,0.00928849,0.00483705
190302,276.572,34.7235,0.384759,0.054287,0.0210563,0.019246
190303,276.573,34.7239,0.384896,0.0543281,0.0120792,0.0132556
190304,276.572,34.724,0.384353,0.0542614,0.0208844,0.015439
190305,276.571,34.7236,0.384129,0.0542192,0.0348022,0.0263447
190306,276.566,34.7234,0.384401,0.0542682,0.0149151,0.0146779
190307,276.562,34.7234,0.384675,0.0543163,0.0150443,0.0160357
190308,276.561,34.723,0.384532,0.0542764,0.0237906,0.0223254
190309,276.566,34.7227,0.384418,0.0542817,0.0253089,0.0245019
190310,276.569,34.7229,0.38476,0.0543168,0.0107003,0.00758923
190311,276.57,34.7229,0.384753,0.0542807,0.0161641,0.0151712
190312,276.572,34.7229,0.385001,0.0543386,0.0106778,0.00320166
190401,276.575,34.7232,0.38519,0.0543627,0.00659537,0.00612012
190402,276.577,34.7232,0.385083,0.0543286,0.0143255,0.0160164
190403,276.577,34.7237,0.385062,0.054363,0.0133235,0.0110279
190404,276.576,34.7241,0.385048,0.0543666,0.0155937,0.0148979
190405,276.572,34.7241,0.384803,0.054316,0.0193148,0.0182675
190406,276.567,34.7239,0.384802,0.0543127,0.015774,0.0162052
190407,276.562,34.7239,0.384867,0.0543456,0.0138939,0.012501
190408,276.564,34.7241,0.384776,0.0543113,0.0281421,0.0260999
190409,276.567,34.7237,0.385044,0.0543601,0.0188255,0.0151207
