yyyymm,temperature_volw_mean,salinity_volw_mean,temperature_uncert,salinity_uncert,temperature_obs_wt,salinity_obs_wt
190001,273.892,34.6231,0.31894,0.0645998,0.0330965,0
190002,273.89,34.6255,0.318639,0.0645998,0.0323253,0
190003,273.892,34.6273,0.318475,0.0645998,0.0320632,0
190004,273.883,34.6286,0.316824,0.0645424,0.0583074,0.0109021
190005,273.879,34.6274,0.316321,0.0644345,0.0517866,0.0414931
190006,273.87,34.6226,0.316272,0.0643216,0.0544747,0.0370532
190007,273.873,34.6203,0.313333,0.0639926,0.11565,0.109027
190008,273.871,34.6191,0.310646,0.063588,0.11514,0.115811
190009,273.863,34.6192,0.310992,0.0635022,0.083095,0.0753941
190010,273.858,34.621,0.313615,0.0638626,0.0449387,0.0351497
190011,273.858,34.6215,0.31504,0.0639665,0.0454344,0.0436562
190012,273.872,34.6217,0.315843,0.0640894,0.0419241,0.0369145
190101,273.876,34.6234,0.316997,0.0641408,0.03086,0.0437261
190102,273.881,34.626,0.315674,0.063774,0.0636055,0.0604952
190103,273.881,34.6283,0.314795,0.0637209,0.0570653,0.0535847
190104,273.879,34.6296,0.314971,0.0637624,0.0596386,0.0576457
190105,273.861,34.6279,0.31291,0.0634574,0.0903314,0.0928454
190106,273.836,34.6226,0.312364,0.0635223,0.0836776,0.0770561
190107,273.843,34.6181,0.310682,0.0633149,0.105145,0.0993188
190108,273.853,34.6169,0.311104,0.0633346,0.0966413,0.0910303
190109,273.859,34.6171,0.313968,0.0637024,0.0594169,0.0549002
190110,273.853,34.6191,0.315758,0.0639887,0.0481279,0.0164561
190111,273.852,34.62,0.317224,0.0642117,0.0144666,0.00964016
190112,273.864,34.6201,0.318123,0.0643633,0.0125045,0.000699734
190201,273.878,34.6229,0.31781,0.0643793,0.0323849,0.0273319
190202,273.881,34.6226,0.316971,0.0641825,0.0479976,0.0437246
190203,273.885,34.6246,0.318019,0.0643403,0.00843218,0
190204,273.881,34.6263,0.31851,0.0644316,0.0169743,0.00449197
190205,273.876,34.6254,0.316436,0.0640019,0.058538,0.0626767
190206,273.862,34.6221,0.315175,0.0637163,0.0715924,0.0768536
190207,273.858,34.6187,0.31555,0.0637904,0.0641776,0.0632536
190208,273.891,34.616,0.312698,0.0635053,0.111687,0.110849
190209,273.889,34.6155,0.314654,0.0638202,0.0681798,0.0598979
190210,273.878,34.6195,0.314872,0.0638357,0.0648462,0.061385
190211,273.874,34.6199,0.314298,0.0638737,0.0708938,0.0485478
190212,273.869,34.6198,0.313647,0.0639113,0.0839102,0.0570305
190301,273.873,34.6221,0.315687,0.0641031,0.0525723,0.0276489
190302,273.865,34.6234,0.312956,0.0634927,0.108253,0.100062
190303,273.866,34.6243,0.313938,0.0638262,0.0715951,0.0819509
190304,273.886,34.6275,0.314038,0.0638075,0.0600992,0.0593829
190305,273.88,34.6278,0.311826,0.0635161,0.106938,0.0933349
190306,273.875,34.6244,0.312025,0.0636693,0.0913124,0.0947663
190307,273.871,34.6196,0.314031,0.0640383,0.0740828,0.0749418
190308,273.881,34.6162,0.312258,0.0636867,0.0979015,0.098315
190309,273.884,34.6167,0.313722,0.0639734,0.078794,0.0728725
190310,273.878,34.6194,0.314585,0.0640283,0.046944,0.037794
190311,273.876,34.6203,0.314409,0.063779,0.0692222,0.0692393
190312,273.886,34.6204,0.316277,0.0640894,0.0364541,0.0270519
190401,273.889,34.6226,0.317368,0.0642132,0.0349807,0.031259
190402,273.891,34.6217,0.316391,0.0640541,0.0642611,0.075422
190403,273.891,34.6247,0.315601,0.0642663,0.0747149,0.0554326
190404,273.892,34.6262,0.315411,0.0642804,0.0759202,0.0725147
190405,273.876,34.626,0.313208,0.0639205,0.0941382,0.0958713
190406,273.881,34.6234,0.312842,0.0637896,0.0941748,0.095042
190407,273.885,34.6193,0.313222,0.0640003,0.0886029,0.0883824
190408,273.903,34.6171,0.311786,0.0636715,0.119816,0.123619
190409,273.901,34.6171,0.314669,0.0639769,0.0680679,0.0705101
190410,273.892,34.6199,0.316189,0.0641393,0.0433303,0.0415164
190411,273.891,34.6205,0.316559,0.0640906,0.0505206,0.0526226
190412,273.898,34.6206,0.317421,0.0642,0.0440653,0.0439708
190501,273.899,34.6227,0.317997,0.0642566,0.0390413,0.0415062
190502,273.899,34.6254,0.318313,0.0642816,0.0385243,0.0415737
190503,273.898,34.6268,0.317587,0.0641533,0.0483612,0.0514667
190504,273.895,34.6284,0.318058,0.0642049,0.0377814,0.0383174
190505,273.881,34.6274,0.316119,0.0640549,0.0647047,0.0621646
190506,273.876,34.6236,0.316045,0.0639921,0.0843598,0.0816576
190507,273.879,34.621,0.312754,0.0636147,0.114959,0.117038
190508,273.892,34.6189,0.312238,0.0636934,0.103349,0.108588
190509,273.896,34.6195,0.314607,0.0639166,0.0505308,0.0528793
190510,273.886,34.6218,0.316378,0.0641272,0.0265,0.0231698
190511,273.874,34.6223,0.315573,0.0638029,0.064717,0.066521
190512,273.885,34.6223,0.316621,0.0640329,0.0388471,0.034919
190601,273.888,34.6245,0.317661,0.0641832,0.0225316,0.02413
190602,273.887,34.6267,0.317413,0.0641186,0.0473678,0.0490891
190603,273.887,34.6278,0.316719,0.0639775,0.0562803,0.0585901
190604,273.888,34.6292,0.316197,0.0638963,0.0624732,0.0618422
190605,273.879,34.6269,0.315233,0.0637601,0.067823,0.0691965
190606,273.86,34.6231,0.315659,0.0638395,0.0618317,0.0625034
190607,273.849,34.6186,0.312424,0.0634849,0.118593,0.112431
190608,273.875,34.6133,0.311118,0.0633143,0.117222,0.119618
190609,273.879,34.6145,0.312816,0.0635048,0.0920964,0.102803
190610,273.871,34.6164,0.314808,0.0638065,0.0455495,0.0452457
190611,273.864,34.6173,0.315446,0.0638309,0.0561613,0.0599565
190612,273.875,34.6178,0.317011,0.0641143,0.0200897,0.0132625
190701,273.88,34.6207,0.317987,0.0642727,0.0155581,0.0142806
190702,273.881,34.623,0.31846,0.0643208,0.0177564,0.0203571
190703,273.884,34.6248,0.318893,0.064416,0.0131303,0.00939187
190704,273.882,34.6267,0.319007,0.0644255,0.0216461,0.0173912
190705,273.872,34.6231,0.318132,0.0641973,0.0572223,0.0619782
190706,273.862,34.6189,0.317772,0.0641347,0.0609184,0.0602882
190707,273.865,34.6156,0.317274,0.06406,0.0810796,0.0834036
190708,273.877,34.6124,0.316769,0.0639509,0.0890851,0.101915
190709,273.878,34.6128,0.31701,0.0640464,0.0855378,0.0870187
190710,273.872,34.6156,0.317995,0.0642526,0.0200485,0.0135526
190711,273.869,34.6169,0.318367,0.0642987,0.0258312,0.0209823
190712,273.88,34.6174,0.318833,0.0644043,0.0182168,0.0100058
190801,273.884,34.62,0.319071,0.0644461,0.0197861,0.014425
190802,273.886,34.6225,0.319195,0.0644496,0.0156635,0.0162834
190803,273.888,34.6248,0.319001,0.0643803,0.0229183,0.0227604
190804,273.884,34.6267,0.318811,0.0643986,0.0305583,0.0239503
190805,273.872,34.6241,0.316985,0.064297,0.0855497,0.0753658
190806,273.852,34.6194,0.314848,0.0640739,0.12002,0.105215
190807,273.865,34.6144,0.312494,0.0638227,0.126084,0.126567
190808,273.871,34.6111,0.313459,0.0638692,0.0999309,0.0972232
190809,273.877,34.6119,0.31415,0.0638684,0.0907746,0.0957928
190810,273.87,34.6149,0.315843,0.0641656,0.0447966,0.0384185
190811,273.867,34.6163,0.316882,0.0642808,0.0321875,0.0264709
190812,273.885,34.6181,0.317103,0.0643133,0.0442701,0.0389176
190901,273.881,34.6179,0.316797,0.0643155,0.0471062,0.0494845
190902,273.883,34.6209,0.317634,0.0643287,0.0215605,0.0236374
190903,273.885,34.6231,0.318189,0.0644021,0.0272562,0.014029
190904,273.886,34.6257,0.317687,0.0644039,0.0465997,0.0433009
190905,273.884,34.6258,0.316305,0.0641166,0.0623385,0.065697
190906,273.862,34.6192,0.315661,0.0640192,0.0936463,0.0923704
190907,273.869,34.6122,0.315452,0.0639145,0.0721024,0.0739224
190908,273.875,34.6098,0.315775,0.0640007,0.0702167,0.0541436
190909,273.882,34.6113,0.316082,0.0641296,0.0808451,0.0745117
190910,273.876,34.6144,0.317385,0.0643179,0.0264439,0.0176854
190911,273.878,34.6165,0.317349,0.0642873,0.0737974,0.0658175
190912,273.886,34.6171,0.31746,0.0643511,0.0401455,0.028308
191001,273.887,34.6191,0.316946,0.0643863,0.0503816,0.0345455
191002,273.887,34.6217,0.317953,0.0644075,0.0162027,0.0179179
191003,273.89,34.624,0.318355,0.0644039,0.0256204,0.0204995
191004,273.887,34.6251,0.318731,0.0643929,0.0223378,0.0227657
191005,273.866,34.6233,0.317245,0.0641894,0.0529118,0.0473089
191006,273.85,34.6196,0.315099,0.0639013,0.0846212,0.0858599
191007,273.857,34.6161,0.312911,0.0636507,0.113441,0.110199
191008,273.873,34.6145,0.313117,0.063613,0.0948561,0.0925316
191009,273.879,34.6137,0.313712,0.0636125,0.0970401,0.099832
191010,273.872,34.6161,0.316003,0.0639441,0.0206616,0.0190393
191011,273.869,34.6172,0.317373,0.0641896,0.0194436,0.00839415
191012,273.88,34.6177,0.318173,0.0643074,0.0190472,0.0140209
191101,273.884,34.62,0.318597,0.0643231,0.0198399,0.021079
191102,273.885,34.6227,0.318775,0.0643176,0.023453,0.025802
191103,273.888,34.6245,0.318945,0.0643427,0.0236231,0.0225777
191104,273.884,34.6262,0.318985,0.0643412,0.0282976,0.0262792
191105,273.869,34.6252,0.317497,0.064173,0.0513726,0.0466379
191106,273.86,34.6212,0.318,0.0642594,0.0412557,0.0258893
191107,273.865,34.6173,0.31822,0.0642403,0.0456441,0.0474485
191108,273.876,34.6152,0.317959,0.0641867,0.0672985,0.0592809
191109,273.878,34.6154,0.31847,0.0642719,0.0301536,0.0268133
191110,273.872,34.6178,0.318623,0.0642763,0.0329712,0.0307872
191111,273.867,34.6186,0.318814,0.0643459,0.0327092,0.0278956
191112,273.878,34.6187,0.318822,0.0644211,0.0288611,0.0264595
191201,273.883,34.6215,0.318441,0.0646102,0.0480713,0.0436864
