Year,EN.4.2.2.c14 (10ZJ),EN.4.2.2.c14 uncertainty
1950,-14.82,5.590
1951,-4.57,5.318
1952,-11.86,5.812
1953,-11.63,6.469
1954,-8.86,6.129
1955,-12.08,5.450
1956,0.91,6.085
1957,-7.51,5.127
1958,-1.77,4.002
1959,-6.07,4.738
1960,-5.71,4.026
1961,-2.81,4.250
1962,0.44,3.860
1963,-4.74,3.467
1964,-5.01,3.280
1965,-4.14,3.213
1966,-2.10,3.055
1967,-5.68,2.971
1968,-9.80,2.728
1969,-11.01,2.311
1970,-9.14,2.366
1971,-9.34,2.298
1972,-7.26,2.198
1973,-10.86,2.299
1974,-12.66,2.259
1975,-2.38,2.314
1976,-5.62,2.265
1977,-4.17,2.139
1978,-6.38,2.153
1979,-7.89,2.043
1980,-0.10,2.266
1981,0.22,2.175
1982,-4.06,2.106
1983,-2.84,1.954
1984,-7.91,1.889
1985,-6.11,1.758
1986,-4.48,1.809
1987,-6.59,1.822
1988,-4.45,1.870
1989,-1.17,1.844
1990,-5.54,1.680
1991,-1.89,1.653
1992,-1.68,1.602
1993,-3.48,1.486
1994,-2.43,1.465
1995,-4.69,1.405
1996,-1.60,1.646
1997,-3.08,1.525
1998,-0.55,1.425
1999,3.37,1.444
2000,2.42,1.420
2001,1.74,1.370
2002,4.47,1.306
2003,6.27,1.189
2004,6.20,1.019
2005,5.18,0.884
2006,6.13,0.845
2007,5.21,0.782
2008,6.66,0.732
2009,7.14,0.736
2010,7.54,0.731
2011,7.75,0.723
2012,7.49,0.695
2013,9.81,0.663
2014,9.67,0.652
2015,10.79,0.631
2016,9.92,0.635
2017,11.81,0.659
2018,12.83,0.650
2019,13.93,0.659
2020,14.71,0.707
2021,15.46,0.718
2022,16.44,0.720
2023,17.80,0.720
2024,19.81,0.719
