yyyymm,temperature_volw_mean,salinity_volw_mean,temperature_uncert,salinity_uncert,temperature_obs_wt,salinity_obs_wt
190001,275.231,34.7156,0.180315,0.0230874,0.00601738,0
190002,275.232,34.7157,0.180315,0.0230874,0.00592542,0
190003,275.23,34.716,0.180315,0.0230874,0.00589221,0
190004,275.228,34.7164,0.180315,0.0230874,0.00906224,0.00237731
190005,275.226,34.7167,0.180315,0.0230874,0.00836618,0.00565059
190006,275.226,34.7167,0.180315,0.0230874,0.00893477,0.00614437
190007,275.226,34.7166,0.180331,0.0230772,0.0167791,0.0151893
190008,275.226,34.7163,0.180357,0.0230716,0.0164237,0.0151037
190009,275.226,34.7159,0.180388,0.0230721,0.014642,0.00889937
190010,275.227,34.7156,0.180297,0.0230777,0.00942592,0.0049201
190011,275.228,34.7155,0.180319,0.0230812,0.00760031,0.0061354
190012,275.229,34.7155,0.180328,0.0230834,0.00723838,0.00511621
190101,275.231,34.7156,0.18033,0.0230848,0.00587677,0.00613719
190102,275.232,34.7157,0.180335,0.023083,0.0102023,0.00871796
190103,275.23,34.716,0.180338,0.0230845,0.00990117,0.00798028
190104,275.228,34.7164,0.180309,0.0230855,0.0120018,0.00693668
190105,275.226,34.7167,0.180297,0.0230829,0.0137038,0.0131564
190106,275.225,34.7167,0.180339,0.0230781,0.0141434,0.0108269
190107,275.226,34.7167,0.180383,0.023093,0.030949,0.0188818
190108,275.226,34.7164,0.180373,0.0230925,0.0163211,0.0113646
190109,275.227,34.716,0.180361,0.0230915,0.0116686,0.00749127
190110,275.228,34.7155,0.180395,0.0230843,0.0185848,0.0114861
190111,275.229,34.7152,0.180419,0.0230834,0.0089848,0.00544012
190112,275.231,34.7152,0.180389,0.023085,0.00564439,0.00249103
190201,275.233,34.7153,0.180366,0.0230858,0.00661448,0.00393983
190202,275.233,34.7154,0.180232,0.0230699,0.0109076,0.0107435
190203,275.232,34.7157,0.180266,0.0230765,0.00324771,0
190204,275.23,34.7161,0.180277,0.0230804,0.00997591,0.00423264
190205,275.228,34.7164,0.180328,0.0230777,0.0101398,0.00969442
190206,275.227,34.7164,0.180331,0.0230734,0.0163934,0.0141964
190207,275.227,34.7163,0.180328,0.0230782,0.0129819,0.0106166
190208,275.227,34.7159,0.180669,0.0230885,0.0268578,0.0210878
190209,275.228,34.7155,0.18076,0.0230887,0.022956,0.00947653
190210,275.228,34.7153,0.180621,0.0230885,0.0103352,0.00977754
190211,275.229,34.7152,0.180483,0.0230882,0.0141475,0.0102185
190212,275.23,34.7153,0.180393,0.0230861,0.0193975,0.00969487
190301,275.232,34.7154,0.18037,0.0230866,0.00928849,0.00483705
190302,275.232,34.7155,0.180333,0.0230861,0.0210563,0.019246
190303,275.231,34.7158,0.180336,0.0230933,0.0120792,0.0132556
190304,275.23,34.7162,0.179973,0.0230825,0.0208844,0.015439
190305,275.229,34.7161,0.180099,0.0230516,0.0348022,0.0263447
190306,275.228,34.7161,0.180169,0.0230659,0.0149151,0.0146779
190307,275.229,34.7161,0.180172,0.0230595,0.0150443,0.0160357
190308,275.229,34.7157,0.180204,0.0230509,0.0237906,0.0223254
190309,275.231,34.7153,0.18018,0.0230485,0.0253089,0.0245019
190310,275.232,34.7151,0.180326,0.0230675,0.0107003,0.00758923
190311,275.232,34.715,0.180324,0.0230745,0.0161641,0.0151712
190312,275.233,34.7151,0.180332,0.0230792,0.0106778,0.00320166
190401,275.235,34.7152,0.180328,0.0230822,0.00659537,0.00612012
190402,275.235,34.7153,0.180332,0.0230885,0.0143255,0.0160164
190403,275.233,34.7156,0.180299,0.0230908,0.0133235,0.0110279
190404,275.231,34.7161,0.180309,0.0230899,0.0155937,0.0148979
190405,275.229,34.7164,0.180273,0.0230761,0.0193148,0.0182675
190406,275.228,34.7164,0.180349,0.0230766,0.015774,0.0162052
190407,275.228,34.7163,0.180302,0.0230761,0.0138939,0.012501
190408,275.23,34.7166,0.180717,0.0231011,0.0281421,0.0260999
190409,275.232,34.7162,0.180771,0.0231025,0.0188255,0.0151207
190410,275.232,34.7159,0.180634,0.023098,0.0102225,0.0111136
190411,275.232,34.7158,0.180534,0.0230947,0.0127449,0.0131144
190412,275.233,34.7158,0.180464,0.0230923,0.0094475,0.00890065
190501,275.235,34.7158,0.180415,0.0230907,0.010991,0.011913
190502,275.235,34.716,0.180382,0.0230895,0.0123349,0.0128512
190503,275.233,34.7162,0.18036,0.0230888,0.0132174,0.0142502
190504,275.23,34.7166,0.180345,0.0230883,0.00960919,0.00954405
190505,275.228,34.7169,0.180332,0.0230779,0.0161538,0.0157445
190506,275.228,34.7169,0.180257,0.0230657,0.0177606,0.0167085
190507,275.228,34.7169,0.18029,0.0230593,0.0292491,0.0205808
190508,275.231,34.7169,0.180766,0.0230839,0.0292461,0.0257203
190509,275.231,34.7167,0.180883,0.0231016,0.0261015,0.0171061
190510,275.232,34.7163,0.180722,0.0230977,0.0138118,0.00694994
190511,275.233,34.7162,0.18049,0.0230937,0.0237994,0.0160873
190512,275.234,34.7161,0.180341,0.0230918,0.0141985,0.00822721
190601,275.236,34.7161,0.180334,0.0230777,0.0101839,0.0102322
190602,275.235,34.7159,0.180287,0.0230751,0.024924,0.0237503
190603,275.233,34.716,0.180148,0.023077,0.0316599,0.0278742
190604,275.231,34.7164,0.180484,0.0230828,0.0243517,0.0194059
190605,275.228,34.7166,0.180296,0.0230203,0.0237618,0.0216268
190606,275.227,34.7165,0.180195,0.0230281,0.0278368,0.0291523
190607,275.227,34.7164,0.180197,0.0230459,0.025191,0.0321646
190608,275.228,34.7161,0.180241,0.0230447,0.0250155,0.0267282
190609,275.229,34.7158,0.180241,0.0230437,0.0275612,0.0269766
190610,275.23,34.7155,0.180259,0.0230591,0.0157913,0.0209147
190611,275.229,34.7154,0.180188,0.0230657,0.0190784,0.0150779
190612,275.23,34.7154,0.180161,0.0230736,0.012636,0.00584333
190701,275.233,34.7155,0.180175,0.0230773,0.0116064,0.0156989
190702,275.233,34.7157,0.180156,0.023077,0.0148176,0.0163927
190703,275.231,34.716,0.180204,0.0230796,0.0105912,0.0102945
190704,275.228,34.7163,0.180048,0.0230791,0.0218108,0.02015
190705,275.226,34.7166,0.18011,0.0230782,0.0146854,0.0151012
190706,275.225,34.7166,0.180184,0.0230816,0.0121665,0.0121422
190707,275.225,34.7165,0.180231,0.0230811,0.0185889,0.0188996
190708,275.226,34.7161,0.180187,0.0230717,0.0221694,0.0234124
190709,275.227,34.7158,0.180196,0.0230702,0.0223207,0.0208643
190710,275.227,34.7155,0.180241,0.0230767,0.00671716,0.00589743
190711,275.228,34.7154,0.180369,0.0230783,0.0146288,0.0095538
190712,275.229,34.7154,0.180495,0.0230816,0.0103512,0.007245
190801,275.231,34.7155,0.180443,0.0230837,0.0147315,0.0117113
190802,275.232,34.7156,0.180242,0.0230824,0.0157933,0.010724
190803,275.23,34.716,0.180174,0.0230842,0.0131468,0.00880754
190804,275.228,34.7163,0.180238,0.0230814,0.0107346,0.00901485
190805,275.226,34.7166,0.180162,0.0230783,0.0271033,0.0220489
190806,275.226,34.7166,0.18019,0.0230884,0.0285459,0.0284629
190807,275.226,34.7165,0.180262,0.023087,0.0305888,0.0319077
190808,275.226,34.7163,0.180229,0.0230742,0.0269045,0.0257207
190809,275.227,34.7159,0.180261,0.0230809,0.024131,0.0243318
190810,275.227,34.7156,0.180284,0.0230835,0.0207307,0.0163753
190811,275.228,34.7155,0.180294,0.0230813,0.0150566,0.0141194
190812,275.229,34.7155,0.180284,0.0230558,0.0166624,0.0156426
190901,275.231,34.7155,0.180384,0.0230218,0.0201174,0.0142509
190902,275.232,34.7157,0.180297,0.0229706,0.0182515,0.0159024
190903,275.231,34.716,0.180282,0.0230046,0.0159002,0.0113365
