year,0-6000m_allLat,0-6000m_allLat_se
1900,0,147.4351563
1901,4.123320014,146.504877
1902,12.36996004,139.3792842
1903,24.73992008,144.3621593
1904,25.25533509,139.1806017
1905,4.638735016,133.2191055
1906,-9.277470032,144.0207965
1907,-6.700395023,135.8621606
1908,-6.700395023,135.6459429
1909,-12.88537504,134.9065182
1910,-16.49328006,128.8588066
1911,-22.67826008,139.2580347
1912,-2.577075009,128.318012
1913,-11.33913004,139.9850145
1914,-3.607905012,143.6327982
1915,-2.061660007,146.2423991
1916,-3.092490011,152.4533204
1917,-0.515415002,149.3220294
1918,5.66956502,143.8254721
1919,-19.07035507,138.9888106
1920,-6.700395023,137.2771396
1921,-7.215810025,128.4493371
1922,24.22450508,118.7402854
1923,19.07035507,116.0013084
1924,-8.246640029,107.9407775
1925,-6.700395023,103.6639486
1926,-36.59446513,105.2295485
1927,-12.36996004,101.5108588
1928,-3.092490011,96.00015633
1929,-15.97786506,96.59903754
1930,-1.030830004,98.66285255
1931,-54.63399019,94.0206109
1932,-31.95573011,96.12583001
1933,-15.46245005,89.74803563
1934,-6.184980021,88.55697793
1935,-18.03952506,85.4407513
1936,-22.67826008,86.91903216
1937,-20.61660007,84.79442883
1938,-37.62529513,89.26560905
1939,-42.26403015,97.14361222
1940,-42.26403015,88.09634635
1941,-15.97786505,82.0039845
1942,0.515415002,73.17237918
1943,6.184980021,53.92272481
1944,-9.792885034,59.16185778
1945,-8.246640028,74.42346345
1946,-20.61660007,67.10774559
1947,-32.98656011,68.91736944
1948,-35.04822012,68.90769975
1949,-25.25533509,61.20288422
1950,-2.061660007,57.99749292
1951,-48.96442517,54.06266821
1952,-38.65612513,54.56868979
1953,-18.55494006,51.79096201
1954,-52.05691518,49.23118255
1955,-64.42687522,47.13393132
1956,-77.82766527,39.49592058
1957,-57.2110652,38.80750657
1958,-80.40474028,41.03900928
1959,-69.58102524,39.34171036
1960,-79.37391027,37.7915639
1961,-54.11857519,36.02933615
1962,-49.99525517,35.13667729
1963,-71.12727024,33.29948688
1964,-78.34308027,31.84270262
1965,-46.90276516,30.57649381
1966,-48.44901017,29.3233297
1967,-77.31225027,26.84607946
1968,-104.6292454,27.78196168
1969,-119.0608654,26.35731072
1970,-70.61185524,23.2305068
1971,-86.5897203,23.4300407
1972,-87.1051353,23.93276229
1973,-71.64268525,25.75202458
1974,-45.87193516,27.61335825
1975,-37.10988013,27.1298312
1976,-37.10988013,25.92949558
1977,-48.96442517,24.07523543
1978,-40.20237014,22.52879041
1979,3.092490011,21.81246007
1980,-35.04822012,22.64118015
1981,-63.91146022,20.78180322
1982,-92.25928532,19.85687676
1983,-75.76600526,21.26756066
1984,-45.87193516,19.97245954
1985,-64.94229022,19.67089084
1986,-94.32094532,16.99648546
1987,-65.45770522,18.93379118
1988,-64.94229022,20.23412132
1989,-91.74387032,18.7052869
1990,-63.91146022,19.64897928
1991,-79.37391027,18.83203076
1992,-62.88063022,16.53970533
1993,-64.94229022,16.67644815
1994,-93.80553032,16.02333329
1995,-84.01264529,17.06555602
1996,-70.61185524,16.53377603
1997,-29.8940701,16.51929137
1998,-9.792885034,17.52789484
1999,-12.36996004,18.66109451
2000,-22.16284508,20.20225654
2001,1.546245005,19.96494043
2002,52.05691518,14.70267327
2003,74.73517526,9.880406922
2004,71.64268525,6.772265474
2005,97.41343533,5.362326028
2006,86.5897203,4.594289024
2007,96.89802033,4.163764301
2008,103.5984154,3.800222785
2009,116.4837904,3.860682653
2010,130.3999954,3.856497289
2011,139.6774655,3.591267164
2012,170.0869506,3.240864262
2013,179.8798356,3.241694829
2014,203.0735107,2.893840137
2015,193.2806257,2.861359436
2016,226.2671858,2.68795487
2017,231.4213358,2.656231957
2018,243.2758808,2.914354146
2019,259.7691609,3.089310118
2020,279.870346,3.863855844
2021,298.940701,3.687612713
2022,313.3723211,3.758366404
2023,326.2576961,3.83732903
2024,360.2750862,3.381816858
