year,0-6000m_allLat,0-6000m_allLat_se
1900,0,147.4351563
1901,4.123320014,146.504877
1902,12.36996004,139.3792842
1903,24.73992008,144.3621593
1904,25.25533509,139.1806017
1905,4.638735016,133.2191055
1906,-9.277470032,144.0207965
1907,-6.700395023,135.8621606
1908,-6.700395023,135.6459429
1909,-12.88537504,134.9065182
1910,-16.49328006,128.8588066
1911,-22.67826008,139.2580347
1912,-2.577075009,128.318012
1913,-11.33913004,139.9850145
1914,-3.607905012,143.6327982
1915,-2.061660007,146.2423991
1916,-3.092490011,152.4533204
1917,-0.515415002,149.3220294
1918,5.66956502,143.8254721
1919,-19.07035507,138.9888106
1920,-6.700395023,137.2771396
1921,-7.215810025,128.4493371
1922,24.22450508,118.7402854
1923,19.07035507,116.0013084
1924,-8.246640029,107.9407775
1925,-6.700395023,103.6639486
1926,-36.59446513,105.2295485
1927,-12.36996004,101.5108588
1928,-3.092490011,96.00015633
1929,-15.97786506,96.59903754
1930,-1.030830004,98.66285255
1931,-54.63399019,94.0206109
1932,-31.95573011,96.12583001
1933,-15.46245005,89.74803563
1934,-6.184980021,88.55697793
1935,-18.03952506,85.4407513
1936,-22.67826008,86.91903216
1937,-20.61660007,84.79442883
1938,-37.62529513,89.26560905
1939,-42.77944515,97.14361222
1940,-43.29486015,88.09634635
1941,-21.64743007,82.0039845
1942,-7.731225027,73.17237918
1943,-8.76205503,53.92272481
1944,-25.25533509,59.16185778
1945,-21.13201507,74.42346345
1946,-35.04822012,67.10774559
1947,-39.17154013,68.91736944
1948,-35.56363512,68.90769975
1949,-27.8324101,61.20288422
1950,-4.123320014,57.99749292
1951,-47.41818016,54.06266821
1952,-38.14071013,54.56868979
1953,-24.73992009,51.79096201
1954,-61.33438521,49.23118255
1955,-74.73517526,47.13393132
1956,-88.65138031,39.49592058
1957,-61.84980021,38.80750657
1958,-80.40474028,41.03900928
1959,-73.18893025,39.34171036
1960,-79.88932527,37.7915639
1961,-56.69565019,36.02933615
1962,-47.41818016,35.13667729
1963,-65.97312023,33.29948688
1964,-84.52806029,31.84270262
1965,-64.94229022,30.57649381
1966,-65.45770522,29.3233297
1967,-80.40474028,26.84607946
1968,-94.32094532,27.78196168
1969,-103.5984154,26.35731072
1970,-53.60316018,23.2305068
1971,-71.12727024,23.4300407
1972,-75.76600526,23.93276229
1973,-61.33438521,25.75202458
1974,-30.92490011,27.61335825
1975,-21.64743007,27.1298312
1976,-18.03952506,25.92949558
1977,-31.95573011,24.07523543
1978,-25.77075009,22.52879041
1979,21.13201507,21.81246007
1980,-26.28616509,22.64118015
1981,-52.57233018,20.78180322
1982,-73.70434525,19.85687676
1983,-48.44901017,21.26756066
1984,-9.792885034,19.97245954
1985,-36.59446513,19.67089084
1986,-69.58102524,16.99648546
1987,-31.44031511,18.93379118
1988,-19.07035507,20.23412132
1989,-36.07905012,18.7052869
1990,-2.061660008,19.64897928
1991,-17.52411006,18.83203076
1992,-17.52411006,16.53970533
1993,-10.82371504,16.67644815
1994,-28.3478251,16.02333329
1995,-7.731225027,17.06555602
1996,-6.700395023,16.53377603
1997,32.98656011,16.51929137
1998,53.08774518,17.52789484
1999,43.29486015,18.66109451
2000,17.52411006,20.20225654
2001,19.07035507,19.96494043
2002,71.12727024,14.70267327
2003,96.89802033,9.880406922
2004,92.25928532,6.772265474
2005,114.9375454,5.362326028
2006,97.92885034,4.594289024
2007,106.6909054,4.163764301
2008,114.9375454,3.800222785
2009,127.3075054,3.860682653
2010,141.2237105,3.856497289
2011,145.3470305,3.591267164
2012,173.1794406,3.240864262
2013,182.4569106,3.241694829
2014,203.5889257,2.893840137
2015,193.7960407,2.861359436
2016,227.2980158,2.68795487
2017,233.4829958,2.656231957
2018,246.3683708,2.914354146
2019,260.7999909,3.089310118
2020,280.901176,3.863855844
2021,300.486946,3.687612713
2022,313.8877361,3.758366404
2023,327.2885261,3.83732903
2024,362.0422234,3.381816858
