year,0-2000m_polarLat,0-2000m_polarLat_se,0-6000m_polarLat,0-6000m_polarLat_se,2000-6000m_allLat,2000-6000m_allLat_se,700-6000m_allLat,700-6000m_allLat_se
1900,0,9.49363838,0,9.502255875,0,14.80605989,0,15.26084594
1901,3.75439151,9.592560448,3.935434072,9.601519902,3.40363632,14.71249965,5.573610371,15.16743818
1902,3.733987209,8.80019116,4.938583933,8.808594343,5.95636356,14.00237669,12.43343852,14.45688144
1903,7.182314194,8.9552822,8.372443074,8.964047878,5.95636356,14.49843736,16.72083111,14.95342594
1904,6.570185143,9.537960871,6.906300969,9.547009035,7.090909,13.98123127,16.72083111,14.43627243
1905,3.346305477,9.293005944,3.472441828,9.301816292,9.9272726,13.38697226,10.28974222,13.84151834
1906,3.346305477,10.61468366,3.395276454,10.6243202,3.11999996,14.46475338,-0.428739259,14.91921506
1907,3.325901175,9.445482661,3.511024515,9.454665761,1.93474E-10,13.64924811,-1.286217777,14.10380039
1908,4.264499052,9.768969841,4.514174377,9.778248553,1.93474E-10,13.62779804,-1.286217777,14.08226225
1909,3.244283968,9.994757463,3.433859141,10.00388651,-1.98545452,13.55274942,-7.288567407,14.00850275
1910,3.427922683,11.14783213,3.626772576,11.15759525,-1.70181816,12.95069521,-9.003524445,13.40576314
1911,1.979217264,10.28214467,1.890551662,10.29171245,-2.55272724,13.98882133,-6.859828148,14.44365471
1912,2.06083447,10.45702118,2.160630471,10.4664699,1.13454544,12.89317399,3.429914075,13.34912655
1913,4.040051734,12.07256312,4.244095568,12.08245658,0.85090908,14.05674105,8.574785186,14.51269827
1914,5.20309693,13.20989565,5.440158864,13.21995576,-0.85090908,14.42032867,0.428739259,14.87537779
1915,5.32552274,12.01904685,5.555906925,12.02910033,-1.13454544,14.68232977,-1.286217777,15.13701707
1916,5.529565757,13.51706729,5.787403047,13.5271589,-1.70181816,15.30328001,-1.286217777,15.7579677
1917,5.672395869,11.99785004,5.864568421,12.00783483,-1.70181816,14.99019464,-1.286217777,15.44488601
1918,5.611182964,12.25733062,5.825985734,12.26731283,-1.70181816,14.43926615,-1.286217777,14.89402698
1919,6.815036763,10.2918287,7.02204903,10.30143,-1.70181816,13.9555639,-3.429914074,14.41103283
1920,6.937462573,10.57285776,7.176379778,10.58236534,-1.4181818,13.78675699,-1.714957037,14.24152616
1921,6.937462573,9.864305764,6.944883656,9.873883489,2.26909088,12.90518733,3.858653334,13.36218264
1922,7.427165814,7.966019876,7.446458587,7.974699833,3.68727268,11.93966754,15.43461333,12.39534831
1923,3.75439151,7.659293999,3.858268698,7.667727002,0.85090908,11.66883358,6.859828149,12.1242637
1924,4.162477544,8.374369712,4.359843629,8.38288027,1.93474E-10,10.8691296,-0.428739259,11.32447359
1925,6.815036763,8.005538123,6.906300969,8.013916734,1.98545452,10.4479892,4.287392593,10.90331883
1926,3.550348493,8.092012179,3.70393795,8.100177157,-1.13454544,10.59907711,-5.144871111,11.05419878
1927,5.386735645,7.098452684,5.594489612,7.105884408,-0.28363636,10.23613215,5.144871112,10.69174852
1928,4.529754974,7.048552229,4.822835872,7.055788865,5.95636356,9.691327055,19.72200593,10.14584946
1929,4.468542069,6.13252561,4.244095568,6.1386873,5.38909084,9.749211749,14.57713482,10.20467001
1930,0.775363464,6.571678142,-1.003149861,6.577837621,0.56727272,9.944727179,7.288567408,10.40116668
1931,2.815793633,6.31352568,1.157480609,6.32018626,-4.2545454,9.480111159,-19.72200593,9.937531523
1932,6.060077601,6.66320432,5.247245429,6.669754802,-0.85090908,9.691206662,-12.43343852,10.14804619
1933,4.142073242,5.912374317,2.700788089,5.918703025,1.98545452,9.056907345,2.572435556,9.513499139
1934,6.549780841,6.297108754,5.980316482,6.303919071,-0.28363636,8.948659542,-4.287392592,9.405559018
1935,6.223312014,6.001083944,5.36299349,6.00796156,-1.98545452,8.641324421,-15.43461333,9.098011662
1936,8.937084139,6.005379904,8.411025761,6.012300635,-2.55272724,8.783812476,-16.72083111,9.240938155
1937,8.10050777,5.382615174,6.751970221,5.388978588,-6.23999992,8.566126493,-17.14957037,9.024787676
1938,11.01832291,6.08481246,10.10866399,6.09184358,-5.38909084,9.007345235,-21.0082237,9.466116803
1939,6.957866875,7.470308316,6.751970221,7.478599116,-3.40363632,9.789146941,-18.00704889,10.24553329
1940,3.672774304,8.086118179,3.858268698,8.095112825,-1.98545452,8.902683568,-10.71848148,9.357034089
1941,3.87681732,7.924601956,4.051182133,7.933896296,-1.70181816,8.283735404,-5.57361037,8.737921025
1942,4.366520561,8.067553434,4.552757064,8.076884109,-1.70181816,7.402470826,-1.714957037,7.856914273
1943,5.672395869,7.487346823,5.864568421,7.496489481,-1.70181816,5.522471691,-0.428739259,5.977153756
1944,6.753823858,7.37791168,6.983466343,7.386750853,-1.70181816,6.040845761,-1.714957037,6.495607366
1945,8.855466932,6.34153649,9.105514127,6.349613852,-1.98545452,7.542390743,-4.716131852,7.997518813
1946,7.978081959,5.14625856,8.218112327,5.15299616,-3.11999996,6.822313241,-5.57361037,7.278543031
1947,6.794632462,5.564170711,6.173229917,5.570664444,-10.21090896,6.999003507,-18.00704889,7.454232262
1948,8.753445423,6.03290324,8.526773822,6.039893481,-6.52363628,6.993041555,-15.86335259,7.452107032
1949,8.182124976,5.273141966,8.333860388,5.27932818,-3.68727268,6.239174628,-9.003524445,6.695959838
1950,7.100696987,5.205531072,7.137797091,5.211094907,-0.85090908,5.927632273,-9.003524444,6.384118143
1951,5.284714137,5.104834535,5.401576177,5.110178685,-2.26909088,5.557447364,-18.43578815,6.014212011
1952,6.019268998,4.936062836,6.13464723,4.941558765,-3.11999996,5.596837861,-18.00704889,6.054450672
1953,7.365952909,4.584229113,7.485041274,4.588954214,-2.8363636,5.327907661,-15.86335259,5.784957875
1954,1.469109721,3.990088084,0.231496122,3.994251153,-3.97090904,5.084450425,-16.72083111,5.542521462
1955,2.774985029,4.055016324,1.851968975,4.058438751,-6.80727264,4.90492075,-21.43696296,5.360883598
1956,4.346116259,3.770758325,3.588189889,3.773677901,-14.181818,4.166051719,-34.72788,4.625906384
1957,0.938597878,3.766133392,-0.848819114,3.767828067,-14.74909072,4.118079157,-33.44166222,4.577487624
1958,4.71339369,3.715604191,3.858268698,3.71754351,-13.89818164,4.306869186,-39.44401185,4.768995776
1959,8.733041122,3.848025761,7.485041274,3.850984417,-19.28727248,4.148997636,-44.58888296,4.609894077
1960,0.183638715,3.440184985,-2.314961219,3.44288947,-16.45090888,4.018214027,-41.15896889,4.476027045
