year,0-2000m_allLat,0-2000m_allLat_se,0-6000m_allLat,0-6000m_allLat_se
1940.5,-348.2666667,78.93448365,NaN,NaN
1941.5,-355.9,72.77976911,NaN,NaN
1942.5,-324.95,74.22205422,NaN,NaN
1943.5,-311.0083333,78.43425192,NaN,NaN
1944.5,-314.1166667,78.20879506,NaN,NaN
1945.5,-312.975,78.81109006,NaN,NaN
1946.5,-297.425,72.27091825,NaN,NaN
1947.5,-278.625,65.89019433,NaN,NaN
1948.5,-310.3166667,63.90732711,NaN,NaN
1949.5,-309.825,60.10736921,NaN,NaN
1950.5,-314.8583333,55.02419165,NaN,NaN
1951.5,-273.9166667,51.56024793,NaN,NaN
1952.5,-287.7666667,52.43938366,NaN,NaN
1953.5,-277.8166667,54.9780316,NaN,NaN
1954.5,-263.6166667,54.0865356,NaN,NaN
1955.5,-296.5583333,48.29468785,NaN,NaN
1956.5,-295.8166667,39.74143251,NaN,NaN
1957.5,-284.6416667,36.01126849,NaN,NaN
1958.5,-254.8,41.08945779,NaN,NaN
1959.5,-269.1583333,40.10717673,NaN,NaN
1960.5,-250.8666667,38.62636459,NaN,NaN
1961.5,-262.925,38.43403982,NaN,NaN
1962.5,-218.575,35.01812626,NaN,NaN
1963.5,-233.7916667,32.24874675,NaN,NaN
1964.5,-249.3833333,32.42751211,NaN,NaN
1965.5,-260.5,30.59885959,NaN,NaN
1966.5,-238.5583333,29.08164155,NaN,NaN
1967.5,-245.7333333,26.17223401,NaN,NaN
1968.5,-259.1583333,24.41234319,NaN,NaN
1969.5,-264.7,23.9710937,NaN,NaN
1970.5,-250.7333333,27.69064598,NaN,NaN
1971.5,-235.1,25.97773887,NaN,NaN
1972.5,-235.975,26.13414912,NaN,NaN
1973.5,-234.6083333,26.52558513,NaN,NaN
1974.5,-220.2333333,27.48337755,NaN,NaN
1975.5,-205.2,27.62447209,NaN,NaN
1976.5,-201.8416667,27.14811611,NaN,NaN
1977.5,-181.475,25.41179598,NaN,NaN
1978.5,-190.075,22.97813272,NaN,NaN
1979.5,-203.325,20.54739947,NaN,NaN
1980.5,-176.95,21.04422427,NaN,NaN
1981.5,-192.3666667,21.64813791,NaN,NaN
1982.5,-203.4916667,19.32249876,NaN,NaN
1983.5,-203.2833333,18.49105076,NaN,NaN
1984.5,-193.55,18.84510325,NaN,NaN
1985.5,-174.675,17.92164078,NaN,NaN
1986.5,-174.425,16.97226291,NaN,NaN
1987.5,-184.45,15.6575461,NaN,NaN
1988.5,-185.625,15.54022335,NaN,NaN
1989.5,-181.85,15.40507898,NaN,NaN
1990.5,-188.0416667,15.30941295,NaN,NaN
1991.5,-175.1916667,17.30489454,NaN,NaN
1992.5,-184.1916667,16.70354877,-200.625,16.95485017
1993.5,-188.05,14.72158987,-205.6416667,14.96864315
1994.5,-164.9,13.90040467,-180.9916667,14.16498765
1995.5,-164.2583333,13.55019219,-178.85,13.83984535
1996.5,-142.7583333,13.94849156,-155.0166667,14.27362138
1997.5,-147.125,14.06356848,-165.0083333,14.64204847
1998.5,-130.575,13.19975536,-147.55,13.82432438
1999.5,-109.5166667,13.84210064,-126.425,14.3912354
2000.5,-111.025,13.47405686,-127.6083333,13.95859266
2001.5,-106.8166667,12.6984169,-122.8083333,13.13606478
2002.5,-76.33333333,11.65293239,-91.19166667,12.04758217
2003.5,-47.325,10.16969559,-59.84166667,10.55589373
2004.5,-53.625,7.752822067,-62.825,8.18516188
2005.5,-50.31666667,6.161473038,-58.39166667,6.612393666
2006.5,-30.85833333,6.585179066,-37.93333333,6.863115991
2007.5,-38.20833333,5.418794454,-45.04166667,5.684213031
2008.5,-21.94166667,4.672548377,-25.53333333,4.907413609
2009.5,-15.83333333,4.154315026,-18.78333333,4.332341633
2010.5,-15.85833333,3.249551251,-17.65833333,3.37411511
2011.5,0.466666667,2.430406345,0.85,2.507419546
2012.5,12.975,1.950587518,15.23333333,2.006608007
2013.5,23.7,1.861898673,28.20833333,1.907045599
2014.5,33.74166667,2.772108103,40.11666667,2.841691104
2015.5,51.68333333,2.34027242,60.38333333,2.415962541
2016.5,48.04166667,2.287830122,59.06666667,2.393745467
2017.5,74.20833333,2.244855229,88.70833333,2.361599623
2018.5,75.25,2.373771612,92.45833333,2.495791597
2019.5,94.08333333,2.396177512,115.4583333,2.520967627
2020.5,102.7333333,1.897201887,127.6833333,1.983635306
2021.5,118.0166667,1.904052695,145.15,1.985402457
2022.5,136.975,2.252961015,166.05,2.314271094
2023.5,152.2,2.840004401,185.0333333,2.907963205
2024.5,168.3583333,3.067232738,200.4833333,3.160589014
