year,700-6000m_allLat,700-6000m_allLat_se,2000-6000m_allLat,2000-6000m_allLat_se
1992.5,-66.5,13.35822416,-16.43333333,0
1993.5,-68.58333333,11.88423617,-17.59166667,0
1994.5,-61.11666667,11.33888038,-16.09166667,0
1995.5,-64.8,11.37903164,-14.59166667,0
1996.5,-57.45,11.92013426,-12.25833333,0
1997.5,-60.70833333,12.78724136,-17.88333333,0
1998.5,-58.29166667,12.22132983,-16.975,0
1999.5,-53.04166667,12.22144418,-16.90833333,0
2000.5,-52.50833333,11.59303026,-16.58333333,0
2001.5,-51.525,10.20591893,-15.99166667,0
2002.5,-45.825,8.891198051,-14.85833333,0
2003.5,-37.28333333,7.868000637,-12.51666667,0
2004.5,-32.83333333,6.759514899,-9.2,0
2005.5,-31.275,5.660259859,-8.075,0
2006.5,-22.19166667,5.728189311,-7.075,0
2007.5,-19.51666667,4.699342448,-6.833333333,0
2008.5,-12.775,4.071649952,-3.591666667,0
2009.5,-11.06666667,3.441931487,-2.95,0
2010.5,-7.391666667,2.59226949,-1.8,0
2011.5,0.158333333,1.622391068,0.383333333,0.191666667
2012.5,8.641666667,1.269110855,2.258333333,1.129166667
2013.5,15,1.04340688,4.508333333,2.254166667
2014.5,21.09166667,1.866480645,6.375,3.1875
2015.5,28.11666667,1.647599264,8.7,4.35
2016.5,32.04166667,1.816881677,11.025,5.5125
2017.5,42.55,1.893427961,14.5,7.25
2018.5,42.20833333,2.035010408,17.20833333,8.604166667
2019.5,51.6,1.937154987,21.375,10.6875
2020.5,58.075,1.285016483,24.95,12.475
2021.5,65.95,1.371719572,27.13333333,13.56666667
2022.5,70.7,1.495136792,29.075,14.5375
2023.5,73.95,1.917789526,32.83333333,16.41666667
2024.5,76.80833333,2.267053429,32.125,16.0625
