Default Dataset,,,,
X,Y,,Y,uncertainty
1960.5,-2.059632426,,-1.531236753,0.528395672
1961.5,-2.050140288,,-1.493268202,0.556872086
1962.5,-1.901430129,,-1.357214227,0.544215902
1963.5,-1.910922266,,-1.408540401,0.502381866
1964.5,-2.110257161,,-1.623438162,0.486818998
1965.5,-2.145061666,,-1.658944107,0.486117559
1966.5,-1.929906542,,-1.458463697,0.471442845
1967.5,-1.911623706,,-1.509088432,0.402535274
1968.5,-2.154553804,,-1.749555923,0.404997881
1969.5,-2.217834723,,-1.793852567,0.423982156
1970.5,-2.312054662,,-1.926399346,0.385655316
1971.5,-1.990023415,,-1.638814315,0.3512091
1972.5,-2.097600977,,-1.727407602,0.370193375
1973.5,-2.116585253,,-1.674592762,0.441992491
1974.5,-2.037484104,,-1.574559456,0.462924648
1975.5,-1.82232898,,-1.357214227,0.465114753
1976.5,-1.724243556,,-1.246472619,0.477770937
1977.5,-1.654634545,,-1.211668113,0.442966432
1978.5,-1.686275005,,-1.293933308,0.392341697
1979.5,-1.754566924,,-1.376026927,0.378539997
1980.5,-1.405992007,,-1.028239236,0.37775277
1981.5,-1.593902021,,-1.221160251,0.372741769
1982.5,-1.77556973,,-1.422786177,0.352783553
1983.5,-2.046976242,,-1.677141156,0.369835086
1984.5,-1.872953715,,-1.50276034,0.370193375
1985.5,-1.638814315,,-1.3002614,0.338552916
1986.5,-1.73689974,,-1.420394219,0.316505521
1987.5,-1.904952464,,-1.592055066,0.312897398
1988.5,-1.755884015,,-1.4455035,0.310380515
1989.5,-1.726176298,,-1.407838962,0.318337337
1990.5,-1.83814921,,-1.503391131,0.334758079
1991.5,-1.504693082,,-1.203974977,0.300718105
1992.5,-1.616050342,,-1.322323934,0.293726408
1993.5,-1.536949194,,-1.280045821,0.256903373
1994.5,-1.505308734,,-1.254733453,0.250575281
1995.5,-1.686275005,,-1.448355907,0.237919097
1996.5,-1.505308734,,-1.276881775,0.228426959
1997.5,-1.48694011,,-1.258684726,0.228255384
1998.5,-1.407838962,,-1.202175975,0.205662986
1999.5,-1.265456894,,-1.085106276,0.180350619
2000.5,-1.27433338,,-1.094598413,0.179734967
2001.5,-1.361967865,,-1.188132052,0.173835813
2002.5,-1.183176561,,-1.013206233,0.169970328
2003.57772,-0.800351933,,-0.722815446,0.077536487
2004.57772,-0.625713754,,-0.540976161,0.084737593
2005.5,-0.651631982,,-0.569366787,0.082265194
2006.5,-0.563038695,,-0.495362427,0.067676268
2007.5,-0.544755859,,-0.488075533,0.056680325
2008.5,-0.454759694,,-0.400970913,0.053788781
2009.5,-0.359308452,,-0.319407158,0.039901294
2010.5,-0.382688077,,-0.347454634,0.035233443
2011.5,-0.249798147,,-0.216840597,0.03295755
2012.5,-0.151541148,,-0.056791345,0.094749803
2013.5,0.064587917,,0.072934539,0.008346622
2014.5,0.183676147,,0.234300882,0.050624735
2015.5,0.326502291,,0.352516098,0.026013807
2016.5,0.23368523,,0.284567328,0.050882098
2017.5,0.462026402,,0.531105549,0.069079147
2018.5,0.587271149,,0.657667387,0.070396237
2019.5,0.723940776,,0.765603238,0.041662461
2020.5,0.742686803,,0.789684302,0.046997499
