Default Dataset,
X,Y
1960,-0.6395190682107093
1961,-0.6353241037704906
1962,-0.5839517887657344
1963,-0.5985655627828843
1964,-0.6400038343996615
1965,-0.6598398741541187
1966,-0.6190223927209431
1967,-0.6319364974016606
1968,-0.6833668108135933
1969,-0.684834123504436
1970,-0.6774507150459328
1971,-0.6043130574593762
1972,-0.6198789932503337
1973,-0.6127150766714011
1974,-0.5968080831984235
1975,-0.5385156166391931
1976,-0.5232810486080084
1977,-0.5042494069035783
1978,-0.5152452497320323
1979,-0.520407208730431
1980,-0.44986060149063856
1981,-0.47725655880222795
1982,-0.5250450344750182
1983,-0.5699538937445208
1984,-0.5243237673262084
1985,-0.4730024226671199
1986,-0.49099121442165883
1987,-0.5364630648654853
1988,-0.4934077172674316
1989,-0.4808853089147609
1990,-0.4973416982504373
1991,-0.435518411531332
1992,-0.43774592406813895
1993,-0.42728963984534496
1994,-0.4168072802812002
1995,-0.4477079951335343
1996,-0.41389542636668164
1997,-0.406451379361336
1998,-0.39258042703637286
1999,-0.34868018134560286
2000,-0.3423830370226951
2001,-0.34546790617536827
2002,-0.29813512181342827
2003,-0.22206771662906022
2004,-0.17993300011373692
2005,-0.15750254218623705
2006,-0.14116001462810512
2007,-0.14105871584148044
2008,-0.11805060973746462
2009,-0.10190159917702013
2010,-0.10184088830831273
2011,-0.07642707809717075
2012,-0.05031606991622306
2013,-0.008773201068188907
2014,0.036666194157370824
2015,0.07847881896292008
2016,0.06688214919860214
2017,0.11177274013131677
2018,0.14729044856227885
2019,0.18432509589170587
2020,0.19470158850781616
2021,0.22564095181666444
2022,0.2670093837776975
2023,0.3206587541237012
