year,0-6000m_allLat,0-6000m_allLat_se
1960.5,-205.9632426,52.83956723
1961.5,-205.0140288,55.68720857
1962.5,-190.1430129,54.4215902
1963.5,-191.0922266,50.23818655
1964.5,-211.0257161,48.68189984
1965.5,-214.5061666,48.61175592
1966.5,-192.9906542,47.14428453
1967.5,-191.1623706,40.25352738
1968.5,-215.4553804,40.49978805
1969.5,-221.7834723,42.39821562
1970.5,-231.2054662,38.56553158
1971.5,-199.0023415,35.12090995
1972.5,-209.7600977,37.01933752
1973.5,-211.6585253,44.19924911
1974.5,-203.7484104,46.29246483
1975.5,-182.232898,46.51147534
1976.5,-172.4243556,47.77709372
1977.5,-165.4634545,44.29664318
1978.5,-168.6275005,39.23416968
1979.5,-175.4566924,37.85399972
1980.5,-140.5992007,37.77527704
1981.5,-159.3902021,37.27417694
1982.5,-177.556973,35.2783553
1983.5,-204.6976242,36.98350861
1984.5,-187.2953715,37.01933752
1985.5,-163.8814315,33.85529158
1986.5,-173.689974,31.65055207
1987.5,-190.4952464,31.28973981
1988.5,-175.5884015,31.03805153
1989.5,-172.6176298,31.83373368
1990.5,-183.814921,33.47580792
1991.5,-150.4693082,30.07181052
1992.5,-161.6050342,29.37264084
1993.5,-153.6949194,25.6903373
1994.5,-150.5308734,25.05752811
1995.5,-168.6275005,23.79190973
1996.5,-150.5308734,22.84269595
1997.5,-148.694011,22.82553844
1998.5,-140.7838962,20.56629862
1999.5,-126.5456894,18.03506187
2000.5,-127.433338,17.9734967
2001.5,-136.1967865,17.38358128
2002.5,-118.3176561,16.99703276
2003.5,-80.03519328,7.753648702
2004.5,-62.57137543,8.473759318
2005.5,-65.16319816,8.226519449
2006.5,-56.30386952,6.767626814
2007.5,-54.47558588,5.668032539
2008.5,-45.4759694,5.378878101
2009.5,-35.93084516,3.990129388
2010.5,-38.26880765,3.523344301
2011.5,-24.9798147,3.295755031
2012.5,-15.15411477,9.474980319
2013.5,6.458791708,0.834662199
2014.5,18.3676147,5.062473507
2015.5,32.6502291,2.601380675
2016.5,23.36852304,5.088209766
2017.5,46.20264024,6.907914657
2018.5,58.72711491,7.039623746
2019.5,72.39407763,4.16624614
2020.5,74.26868027,4.699749922
2021.5,84.71453167,4.66819381
2022.5,98.68148014,4.902442531
2023.5,116.7947601,3.209714006
