year,0-700m_allLat,0-700m_allLat_se,0-2000m_allLat,0-2000m_allLat_se
1955.5,-32.01,17,NaN,NaN
1956.5,-26.08,7.19,NaN,NaN
1957.5,-46.13,3.96,NaN,NaN
1958.5,-15.33,6.87,NaN,NaN
1959.5,-21.89,8.63,NaN,NaN
1960.5,-14.42,4.99,NaN,NaN
1961.5,-21.15,4.21,NaN,NaN
1962.5,-10.75,9.47,NaN,NaN
1963.5,-22.72,6.5,NaN,NaN
1964.5,-31.21,9.22,NaN,NaN
1965.5,-30.6,3.07,NaN,NaN
1966.5,-39.44,4.56,NaN,NaN
1967.5,-43.61,3.72,NaN,NaN
1968.5,-57.28,8.58,NaN,NaN
1969.5,-44.81,5.33,NaN,NaN
1970.5,-52.98,8.62,NaN,NaN
1971.5,-37.67,5.1,NaN,NaN
1972.5,-52.39,11.54,NaN,NaN
1973.5,-35.19,12.56,NaN,NaN
1974.5,-27.75,7.29,NaN,NaN
1975.5,-15.51,4.67,NaN,NaN
1976.5,-26.03,6.16,NaN,NaN
1977.5,0.32,7.17,NaN,NaN
1978.5,0.52,4.32,NaN,NaN
1979.5,-9.6,5,NaN,NaN
1980.5,10.91,4.22,NaN,NaN
1981.5,1.22,5.49,NaN,NaN
1982.5,-23.06,9.16,NaN,NaN
1983.5,-27.63,18.71,NaN,NaN
1984.5,-4.59,12.62,NaN,NaN
1985.5,1.1,12.27,NaN,NaN
1986.5,-10.37,11.09,NaN,NaN
1987.5,-8.93,5.31,NaN,NaN
1988.5,10.88,4.22,NaN,NaN
1989.5,9.03,5.21,NaN,NaN
1990.5,1.77,9.06,NaN,NaN
1991.5,26.46,2.81,NaN,NaN
1992.5,5.72,3.58,NaN,NaN
1993.5,6.84,4.39,NaN,NaN
1994.5,15.1,7.46,NaN,NaN
1995.5,22.64,6.49,NaN,NaN
1996.5,45.44,10.65,NaN,NaN
1997.5,32.45,5.39,NaN,NaN
1998.5,43.04,5.57,NaN,NaN
1999.5,59.43,2.69,NaN,NaN
2000.5,56.72,5.32,NaN,NaN
2001.5,41.17,11.15,NaN,NaN
2002.5,67.89,5.23,NaN,NaN
2003.5,99.52,6.22,NaN,NaN
2004.5,102.4,2.83,NaN,NaN
2005.5,84.12,3.17,101.71,8.35
2006.5,104.3,1.99,126.38,3.27
2007.5,94.78,2.33,123.94,4.34
2008.5,100.52,4.64,132.57,5.19
2009.5,101.26,3.57,134.31,6.36
2010.5,103.67,3.66,145.37,5.27
2011.5,108.69,4.45,153.94,5.07
2012.5,109.41,3.61,161.87,4.73
2013.5,126.01,6.02,186.5,10.59
2014.5,132.61,4.78,201.1,5.89
2015.5,151.22,2.64,224.01,3.85
2016.5,139.72,5.7,207.99,8.32
2017.5,158.78,3.52,235.89,5.63
2018.5,167.22,5.49,240.59,8.28
2019.5,177.26,2.28,254.36,2.87
2020.5,175.24,6.82,255.25,9.24
2021.5,187.35,3.67,272.8,3.68
2022.5,196.87,3.2,281.92,2.5
2023.5,207.32,4.14,292.2,5.46
2024.5,214.69,1.95,303.16,1.89
