year,0-6000m_allLat,0-6000m_allLat_se
1850,0,59.09772753
1851,0,59.09772753
1852,0,59.09772753
1853,0,59.09772753
1854,0,59.09772753
1855,0,59.09772753
1856,0,59.09772753
1857,0,59.09772753
1858,0,59.09772753
1859,0,59.09772753
1860,0,59.09772753
1861,0,59.09772753
1862,0,59.09772753
1863,0,59.09772753
1864,0,59.09772753
1865,0,59.09772753
1866,0,59.09772753
1867,0,59.09772753
1868,0,59.09772753
1869,0,59.09772753
1870,0,47.87771439
1871,1.152174325,47.29613171
1872,3.055447592,49.16249302
1873,1.713526111,52.02675224
1874,1.62463628,52.08469525
1875,0.01676695,56.09772753
1876,3.470358412,49.57799592
1877,9.072875128,49.73491472
1878,13.96043309,49.31890581
1879,17.40788783,50.90597848
1880,21.63698301,50.94296463
1881,19.12576796,48.38426552
1882,16.52745492,51.583947
1883,15.61773299,47.44689061
1884,14.75710069,48.13417234
1885,14.92219727,50.27192332
1886,16.21265436,53.83224617
1887,17.68304914,49.34167202
1888,18.08582885,50.63870213
1889,17.17181816,49.72812568
1890,16.53589794,51.95731704
1891,15.3800507,50.06609391
1892,13.84870026,54.55312145
1893,12.51243589,49.3358904
1894,15.25081392,51.1539112
1895,19.17438833,48.51511753
1896,22.76541077,58.4110889
1897,25.36951297,51.21110126
1898,30.66179845,48.89753892
1899,32.82690882,47.4106513
1900,29.9063029,55.61086095
1901,24.75011904,50.77974532
1902,16.52973957,48.62329719
1903,6.202032481,50.85157235
1904,-2.972809414,53.64717739
1905,-10.43531591,46.2053085
1906,-17.45548998,54.43485146
1907,-21.52015431,47.73111842
1908,-26.00301374,52.42680613
1909,-32.25426482,51.18377573
1910,-37.90870618,49.50587069
1911,-40.69937274,51.73389268
1912,-42.46896695,48.4633936
1913,-39.55838075,47.80164787
1914,-33.40556544,53.26148659
1915,-29.3320033,51.31743468
1916,-25.89811556,49.73198528
1917,-23.09330272,50.70968173
1918,-22.86268906,50.5931365
1919,-25.09434692,49.81327073
1920,-25.85248557,48.28988161
1921,-28.2462016,38.33255549
1922,-29.84814581,36.77541885
1923,-32.92457424,35.37760933
1924,-32.58819176,40.94399725
1925,-28.76491076,41.31503026
1926,-23.7086125,38.72661444
1927,-19.77463748,39.9269029
1928,-15.22684362,39.68572041
1929,-11.34996035,37.05084457
1930,-8.957785833,36.78100708
1931,-5.661382194,37.91269909
1932,-1.364167668,38.05542245
1933,2.793184585,37.68017987
1934,5.869317638,41.30284072
1935,11.23453931,35.01891362
1936,19.85390908,38.77501571
1937,30.03324259,35.837446
1938,39.92642731,40.31908029
1939,49.8249189,38.96368499
1940,59.74327777,36.41863339
1941,67.51743137,38.57985226
1942,77.93809026,37.24467327
1943,92.96155262,37.65989112
1944,105.0925763,36.08114972
1945,107.7788223,34.40025916
1946,108.8597254,40.17864214
1947,107.2128938,37.14704646
1948,101.6968675,37.9501923
1949,99.01398187,36.54962542
1950,105.4759427,37.30527449
1951,115.275858,37.81752911
1952,122.903325,38.38417702
1953,126.504701,40.47396544
1954,128.3354883,37.59539969
1955,129.669369,34.22522636
1956,133.2320911,36.87438785
1957,138.8705533,39.49229883
1958,147.9947133,41.30568877
1959,158.0493112,37.91510562
1960,166.6793871,38.64311429
1961,170.1512402,38.40393194
1962,170.215616,38.86745055
1963,166.1266372,39.01626391
1964,163.1683263,39.95017404
1965,160.953045,36.97656222
1966,159.3075353,40.12858922
1967,161.726911,40.47525305
1968,170.2650958,39.26627941
1969,173.8568793,39.49407596
1970,174.0096481,25.00108234
1971,176.929665,25.24061802
1972,177.0097708,25.88051176
1973,172.9857415,26.16375776
1974,171.9707309,26.12928832
1975,175.8085023,25.30786294
1976,180.623556,24.08027441
1977,187.5197511,24.3973521
1978,200.0289195,26.4786775
1979,214.2282284,24.964443
1980,224.4204551,26.39354897
1981,229.0734587,26.34393039
1982,234.3984754,26.26953884
1983,235.2614289,25.63973663
1984,235.1050039,25.28362654
1985,238.0126405,25.71642339
1986,246.14991,25.47130546
1987,252.451152,24.14594545
1988,260.9396759,24.55696799
1989,270.2861414,26.40566578
1990,275.882842,24.1626342
1991,276.5882155,25.43307109
1992,279.074233,28.73178125
1993,282.2006906,23.85037644
1994,286.9327261,23.98163098
1995,296.3912704,25.69791542
1996,312.1035243,25.63669344
1997,325.8034406,25.64636903
1998,334.2724938,26.81063358
1999,341.2504876,23.97216797
2000,348.0334523,25.69983067
2001,351.2577233,24.63842142
2002,357.0379294,24.00378749
2003,367.8901349,25.47021073
2004,378.3255937,26.0167231
2005,385.5096145,25.43593322
2006,389.3855677,25.60441615
2007,391.9798158,23.58346417
2008,395.5844243,26.33885288
2009,399.4076711,25.86128542
2010,403.1055516,26.67722728
2011,409.9760231,26.21613085
2012,417.5156986,23.72323683
2013,425.1517442,24.55742503
2014,433.9585252,26.02900993
2015,444.1680775,24.02663696
2016,453.1594755,24.02668759
2017,460.3036492,26.53246922
2018,463.9900303,24.11020822
