method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50,Edyrs2,Edyrs6
cent30y,42/1_Run_Means,r,0.6614382144837047,0.036567576145266296,0,0,0.6158523678242539,0.6158523678242539,2.0266359798717857,0.02829079926243763,0.003217934200970026,447.88655155166464,173.0736451385213,10.451123616955757,11.676364821506011,0.0020551885877336776,0,0
raw1y,42/1_Run_Means,c,32.3323485542374,0.11818706207558811,0,0,0.6030509945820809,0.9300493621068652,0.7871322180824978,0.10827485302008301,-0.0018666240818056708,181.827542377057,76.91222632464763,3.5625827532326246,3.1244299447464625,0.006263607740402221,0,0
raw1y,42/1_Run_Means,r,32.3323485542374,0.11818706207558811,0,0,0.6030509945820809,0.9300493621068652,0.7871322180824978,0.10827485302008301,-0.0018666240818056708,181.827542377057,76.91222632464763,3.5625827532326246,3.1244299447464625,0.006263607740402221,0,0
cent21y,42/1_Run_Means,r,1.5209932423611274,0.03654227816519702,0,0,0.9999085670134379,0.9999085670134379,2.4204579272191875,0.004456001581734926,0.00020859668331696485,559.1257811876324,198.92935632856444,13.27673785863009,13.634155872295485,-6.747841835021972e-05,0,0
lag5y,42/1_Run_Means,c,5.917568145770812,0.046473971521290486,126,40,7.675081508769801e-08,0.0023633806357676894,0.6103447041523353,0.07167965550145738,-0.032036566685782385,140.98962665918947,52.70975535352761,5.594874083994971,2.4375909447120447,-0.06551526784896851,0,0
cent20y,42/1_Run_Means,r,1.0,0.036583279857360276,0,0,1.0,1.0,2.424871902409938,0.0,0.0,560.1454094566957,200.53304361755968,12.950777341693993,15.532459979280944,0.0,0,0
lag10y,42/1_Run_Means,c,3.0106784965223556,0.03972112534365143,177,130,3.928276537538708e-08,3.4424041537926327e-06,-1.0317865545465905,0.10171228252508799,-0.06891306795359255,-238.3426941002624,-310.02586279170737,3.9576860096308297,1.9949696374430796,-0.15547268092632294,0,0
EBMKF_ta3,43/2_Kalman,c,1.7692176712983065,0.051739528384215874,6,5,0.01788186034145971,0.06860627342207871,1.6501806423351335,0.04777162189069843,-0.02267546080493581,381.19172837941585,205.02432544937875,5.4552458301714735,2.4161861678296814,-0.007640548478734388,0,0
EBMKF_ta3,43/2_Kalman,r,0.6116841109821216,0.04863056850539252,23,11,0.002423914889772308,0.006712711863077293,1.6875912452034985,0.03976319777904225,-0.017485911722741606,389.83357764200815,201.4485618645055,5.575802979384271,0.02420550046926204,-0.00016730508569224868,0,0
EBMKF_ta2,43/2_Kalman,c,1.8069422303821752,0.03591042592904018,114,73,0.00030077919912825326,0.0006885276915269769,0.6585395736076586,0.06120786099195928,-0.04226804101661651,152.12264150336912,190.8420728049299,1.7319804963523888,0.8755752618081158,-0.016696483030135312,0,0
EBMKF_ta2,43/2_Kalman,r,0.6097766362549171,0.030439166882572827,140,97,1.9468357806645315e-07,3.321964494356573e-06,0.04353484469730634,0.05198743335693866,-0.031899212449440766,10.056549125077765,197.54815015184818,1.1549038845069026,0.026631898438196563,0.005854690205553936,0,0
EBMKF_ta,43/2_Kalman,c,0.3638625287804502,0.03669664100878821,193,171,6.041861360675128e-17,1.028660316150701e-16,-7.252115530449716,0.13910731982300512,0.016030347840210447,-1675.2386875338843,-1394.4143887841044,0.5003244686541917,3.2438854055717132,0.23492703664525721,0,0
EBMKF_ta,43/2_Kalman,r,1.8791949147693392,0.03035973777972507,191,165,1.661635304595162e-30,3.793560958091358e-28,-10.398755806536888,0.10721352246104991,0.02653902731358965,-2402.1125913100213,-2237.4950870599937,8.517440155248638,19.122193047675836,0.19666324706783628,0,0
