method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,Mdyrs15,Mdyrs20,Fdyrs15,Fdyrs20,EdyrsA,RMSyrsA,ncEdyrs,e100log-l,e100RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eMdyrs15,eMdyrs20,eFdyrs15,eFdyrs20,eEdyrsA,eRMSyrsA,nceEdyrs
lag10y,42/1_Run_Means,c,2.919226917724306,0.038089192260681935,122,60,1.4096691725510826e-07,2.4894082829084187e-05,0.2271128247373078,0.07448183941374584,-0.041975243609884506,52.23594968958079,-136.64351252017704,0.10438490866697207,-0.07787463584642733,0.0004311413127549159,0.0033536366434197802,-0.07641944885253908,5.250000000138016,3.5000000001687113,5.250000000138016,3.5000000001687113,5.250000000138016,3.5000000001687113,4.336309523975599,5.280253439968056,16.0,-40.72333924496313,0.1345730499852401,-0.08539954739116014,2.684355880714927,0.004555735256327909,-0.11691633637745191,3.3333333334749113,8.666666666826131,3.3333333334749113,8.666666666826131,3.3333333334749113,8.666666666826131,4.971153846309335,4.971153846309335,15.0
lag5y,42/1_Run_Means,c,5.891518047380674,0.04469727017403175,117,34,3.442254481736771e-09,0.00013308111995101059,0.6425690936638869,0.0761402171802822,-0.019520927097486422,147.790891542694,18.764292212155294,0.09789774690423979,-0.03235478776224546,0.007768246133391376,0.5030500736737513,-0.041993331909179726,1.6666666668081689,1.5833333335035604,1.6666666668081689,1.5833333335035604,1.6666666668081689,1.5833333335035604,1.5456349208022533,4.628856416958181,19.0,0.3921860050350894,0.13318661265818887,-0.03987969930697825,10.74654167657907,2.4837441457314368e-05,-0.08249021943409254,-0.2499999998549356,6.750000000160981,-0.2499999998549356,6.750000000160981,-0.2499999998549356,6.750000000160981,2.2029914531487624,2.2029914531487624,18.0
raw1y,42/1_Run_Means,c,32.07239325447249,0.13106107435697562,3,2,1.9044427001951108e-10,0.998407721854024,0.6595405389964694,0.12303990335250177,-0.0013379702360733728,151.69432396918796,41.124017608063525,0.14747363275642675,0.0017999370446365758,3.1036960763740975,3.171912465198273,-0.020419387817382832,8.944444444579327,-9.249999999819693,23.33333333345513,-18.333333333144765,1.4301804185379297e-10,-18.333333333144765,-0.07837301570458961,5.670608018906371,38.3,18.348950412581083,0.1721714592809793,-0.005724974500096222,2.40924256971549,2.4729511309481427,-0.060916275342295656,7.027777777916223,-4.0833333331622725,21.416666666792025,-13.166666666487345,-1.9166666665200864,-13.166666666487345,0.5267094018679979,0.5267094018679979,35.3
raw1y,42/1_Run_Means,r,32.07239325447249,0.13106107435697562,3,2,1.9044427001951108e-10,0.998407721854024,0.6595405389964694,0.12303990335250177,-0.0013379702360733728,151.69432396918796,41.124017608063525,0.14747363275642675,0.0017999370446365758,3.1036960763740975,3.171912465198273,-0.020419387817382832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.348950412581083,0.1721714592809793,-0.005724974500096222,2.40924256971549,2.4729511309481427,-0.060916275342295656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cent20y,42/1_Run_Means,r,1.0,0.032489623543299755,0,0,1.0,1.0,2.5565987642725996,0.0,0.0,588.0177157826979,213.53398979668054,0.0,0.0,10.471962961203978,7.178991780703413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.94507846329567,0.07075441999879488,-0.007524911544732798,4.75272288659796,0.41790126994962695,-0.040496887524912824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cent21y,42/1_Run_Means,r,1.4782631942066715,0.03216577651255498,0,0,0.9993347349248966,0.9993347349248966,2.557246071762862,0.004839661210235016,0.00010519529228131335,588.1665965054583,212.410457619115,0.00606556705246099,-0.00017472497277747968,10.294822726117461,6.563159773723379,0.0009356507800874159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.17533915602922,0.06890158753617472,-0.007699636517510278,5.699360385362866,0.5941982718147667,-0.03956123674482541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cent30y,42/1_Run_Means,r,0.7323403289410872,0.030835587047458788,0,0,0.9989824055197617,0.9989824055197617,2.3054222747162743,0.028591033361355694,0.0011215117483428028,507.19290043758036,163.4475382575733,0.03948181144033354,-0.002618390037899926,9.777600049673527,6.043246292885564,0.006854800269717266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.58111783297988,0.054436815547172425,-0.014255777540651179,5.334630002149819,1.9655163454175155,-0.04822231183732271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLS_refit,42/2_LT_Fits,c,0.7530060411942049,0.028931649291316943,133,108,6.41232858514633e-33,4.6862110270996547e-32,-24.18345444042869,0.2165550151450723,-0.16454007366525292,-3385.683621660017,-3318.641930343289,0.26692428943978475,-0.25936384116880695,3.6458401503429984e-31,2.379148214560083e-14,-0.25077047728723845,16.333333333461496,13.416666666826131,16.333333333461496,13.416666666826131,16.333333333461496,13.416666666826131,16.113095238234855,16.6376085975594,13.0,-3349.969653257446,0.27405372855203225,-0.2668887527135398,1.6084421715829745e-22,2.566927018375079e-24,-0.29126736481215126,14.416666666798392,18.58333333348355,14.416666666798392,18.58333333348355,14.416666666798392,18.58333333348355,16.17307692322498,16.17307692322498,13.0
OLS_refit,42/2_LT_Fits,r,1.2468142115699059e-13,0.022735076456610305,176,156,1.7880530093023485e-91,7.372455056174762e-86,-41.09264467163566,0.1917793150928179,0.006729274929381383,-7766.50984293914,-1866.1824733562012,0.14129951801986554,-0.0075111820362436235,20.80032834495883,0.048239028312610926,-0.10916259088308373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2193.5642882081224,0.14761635584507554,-0.015036093580976424,11.944209371629094,4.1045188388760834e-08,-0.14965947840799654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLS_AR5all,42/2_LT_Fits,r,1.309154922148401e-13,0.04020141828355901,166,135,1.002060847915087e-67,6.606298072722051e-67,-35.30961848431501,0.42053392589907523,-0.250306945477842,-6673.517893535537,-6663.976085450749,0.6072750005540832,-0.5404520978361206,8.836933813581064e-27,5.385047059747139e-47,-0.7772968074253608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6924.821966856672,0.6175388649941885,-0.5479770093808535,8.066934550467439e-25,9.227341034976265e-55,-0.8177936949502737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
