method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,75RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,Mdyrs15,Mdyrs20,Fdyrs15,Fdyrs20,EdyrsA,RMSyrsA,ncEdyrs,e100log-l,e100RMS,e75RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eMdyrs15,eMdyrs20,eFdyrs15,eFdyrs20,eEdyrsA,eRMSyrsA,nceEdyrs
lag10y,42/1_Run_Means,c,2.9296481706840334,0.03443550608708944,135,77,1.9383295966485236e-08,7.244546555686613e-07,-0.10233758958719166,0.06691673671232339,-0.041747476328974194,-23.53764560505408,-186.81952989627007,0.08747800901838296,0.08348279207217495,-0.07705146789550782,1.4857191719783738e-08,8.208665974068308e-05,-0.047574825286865255,4.916666666805895,5.833333333493556,4.916666666805895,5.833333333493556,4.916666666805895,5.833333333493556,4.368589743745518,4.518495348567321,14,-118.15764907197689,0.08032567155009893,0.06457087117874961,-0.06309095877186102,6.412786579277502e-07,1.06237580760668,-0.02615812714892492,4.333333333474002,4.000000000163709,4.333333333474002,4.000000000163709,4.333333333474002,4.000000000163709,3.0416666668249595,3.0416666668249595,14
lag5y,42/1_Run_Means,c,6.092463493759188,0.041143144294014035,87,36,8.646373696712456e-10,1.0861657677144262e-06,0.46741199272303874,0.06075302336707337,-0.01877024774966033,107.50475832629891,-4.583387525001267,0.05793014775138803,0.062205032297988766,-0.031374588012695326,0.00011915189217449017,1.9300554942590963e-05,-0.02068883895874026,2.916666666807714,3.0833333334958297,2.916666666807714,3.0833333334958297,2.916666666807714,3.0833333334958297,2.0352564104135373,2.292890116445116,18,28.36434766588527,0.0593874195162927,0.06131508279954818,-0.01741407888904853,0.002890597948838401,6.989238864490056,0.0007278591792000743,2.333333333475821,1.2500000001659828,2.333333333475821,1.2500000001659828,2.333333333475821,1.2500000001659828,0.7083333334929788,0.7083333334929788,18
raw1y,42/1_Run_Means,c,33.441639488693475,0.10975740865252472,0,0,0.9726519560310363,0.9726519560310363,0.8692255205452282,0.1001022483774801,-0.0005607804008152221,199.92186972540247,86.30737138082657,0.09187659570461912,0.09773938659695641,0.002510435316297732,3.28271383655903,2.365999296092242,-0.005376033782958994,1.5833333334755935,-0.33333333316765373,1.5833333334755935,-9.666666666492347,1.5833333334755935,-9.666666666492347,0.49711538477329853,2.4483890630713354,40,79.58831088229016,0.09991587259123534,0.10840313764585884,0.016470944439944537,3.4894542597754907,1.1637382367178648,0.01604066435498134,1.0000000001437002,-2.1666666664975005,1.0000000001437002,-11.499999999822194,1.0000000001437002,-11.499999999822194,-0.8298076921472598,0.8298076921472598,40
raw1y,42/1_Run_Means,r,33.441639488693475,0.10975740865252472,0,0,0.9726519560310363,0.9726519560310363,0.8692255205452282,0.1001022483774801,-0.0005607804008152221,199.92186972540247,86.30737138082657,0.09187659570461912,0.09773938659695641,0.002510435316297732,3.28271383655903,2.365999296092242,-0.005376033782958994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,79.58831088229016,0.09991587259123534,0.10840313764585884,0.016470944439944537,3.4894542597754907,1.1637382367178648,0.01604066435498134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cent10y,42/1_Run_Means,r,1.843161246290566,0.0345132492566771,2,0,0.30022097890969096,0.9761207413044928,2.0188787085381916,0.030281449772849404,1.9989013671873324e-05,464.3421029637841,185.8152039379874,0.02789426627582249,0.030747331705858052,0.002423833211263017,10.580444561114772,9.751058199215912,-0.0006480598449706998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,143.710324304815,0.04435894602030439,0.05150767580161953,0.016384342334909822,10.951623664049704,10.772043534960769,0.020768638292969634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cent20y,42/1_Run_Means,r,1.0,0.02939937078762324,0,0,1.0,1.0,2.620717069366142,0.0,0.0,602.7649259542127,228.9846382049356,0.0,0.0,0.0,11.86395630303124,14.322613965405003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,179.8856906516063,0.032661980638835124,0.036136314110157226,0.013960509123646804,11.19489013035649,7.904311665649722,0.02141669813794033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cent21y,42/1_Run_Means,r,1.3825486692293751,0.029147323294374836,0,0,0.9993252290869281,0.9993252290869281,2.6220213595282944,0.0036718185062463615,-1.0124506664090637e-05,603.0649126915077,228.3517919717069,0.0033029720146861437,0.003655504521522739,-0.0002821329914073159,12.117008606917944,13.412304325960676,-0.0002006158374605327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,181.45211059938566,0.032041816099940244,0.03521053284506735,0.013678376132239487,11.775922102897944,8.127570346455247,0.021216082300479798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cent30y,42/1_Run_Means,r,0.6208145224038712,0.028269922251764716,0,0,0.9941301222994786,0.9941301222994786,2.3683708837220907,0.02065767171527369,-0.00023349415172230857,521.04159441886,195.79408395481389,0.018157359031575008,0.020082057486736592,-0.004404335769952527,8.723461707244903,12.461443211418894,-0.008216472807384674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,185.04549950706783,0.026802235026032777,0.02860628085047157,0.01206171387319255,7.6714222600939515,5.742592234801025,0.02035027930852197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
offset11y,42/1_Run_Means,c,2.861216055006745,0.0335502566856111,161,119,1.0963166774731329e-05,3.460306625515954e-05,-0.5578935675395307,0.08425615336308279,0.06367490263324481,-128.31552053409206,138.837644851294,0.04955189100751428,0.057627434440668535,0.02393683308302754,12.946837582569167,12.475288481359447,0.05638802094893016,1.1666666668095331,-3.4999999998312887,1.1666666668095331,-3.4999999998312887,1.1666666668095331,-3.4999999998312887,-1.224358974200833,2.9126345755044087,13,86.76457937031171,0.06281567210938145,0.0717975212830707,0.037897342206674345,20.200425789285735,6.818231713289036,0.07780471908687049,0.5833333334776398,-5.333333333161136,0.5833333334776398,-5.333333333161136,0.5833333334776398,-5.333333333161136,-2.551282051121391,2.551282051121391,13
FaIR_anthro,43/1_ERF_FaIR,c,1.904785221506039,0.0962847587278228,79,23,0.09685321385256793,0.09685321385256793,-0.06028443312861,0.1482656209652681,-0.12713632101645414,-9.6455093005776,88.998435979627,0.08414168404638593,0.08620884747663252,-0.07410571406158574,3.1096772377507507,2.3569889507170827,-0.09316793702098598,1.9166666668086236,7.333333333492192,1.9166666668086236,7.333333333492192,1.9166666668086236,7.333333333492192,4.557692307848968,5.7522292224168865,13,93.04755068687044,0.07168881113431468,0.06153153912749834,-0.060145204937938936,3.1318309664561954,3.016602825206303,-0.07175123888304565,1.3333333334767303,5.500000000162345,1.3333333334767303,5.500000000162345,1.3333333334767303,5.500000000162345,3.2307692309284097,3.2307692309284097,13
