method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50,Edyrs2,Edyrs6
30y_etrend,42/3_ST_Fits,c,2.889,0.03996397090445752,8,0,0.15511757673200854,0.3139237685574591,1.6036126795991932,0.047431662832878835,-0.0011762096373525192,339.96588807502894,156.31011477313425,3.6868270958876006,8.46137435516275,0.02791923919031707,0,0
15y_etrend,42/3_ST_Fits,c,5.733,0.054137617485432166,0,0,0.6594920883703425,0.7625637665646737,1.558113667275529,0.05140479421028853,-2.491773590280098e-05,353.6918024715451,150.53198966358255,6.136747026996674,6.31367315148753,0.010069141387939596,0,0
lowess1dg20wnc,42/3_ST_Fits,c,3.232,0.10284336213202726,0,0,0.999871010414154,0.999871010414154,1.3186416417378708,0.04427026057042867,-0.00154008209239723,304.6062192414482,82.9841310752175,4.312314660313841,4.259535148011042,0.02945008873939514,0,0
30y_etrend3CS,42/3_ST_Fits,c,3.428,0.03996397090445752,99,22,0.012281081355471131,0.012281081355471131,1.134149120779582,0.0647119568873595,-0.016206518841920273,240.43961360527138,62.852408861216084,3.6868270958876006,0.052992136122528566,0.02791923919031707,0,0
lowess1dt30wnc,42/3_ST_Fits,c,4.429,0.13842899793939245,0,0,0.5145964222037644,0.8132045196024018,1.1213255331671508,0.04491415440767246,-0.0006922564674138587,259.02619816161183,53.39715730942955,4.1127928357249655,3.152490209237913,0.013472476601600647,0,0
lag5y,42/1_Run_Means,c,5.505,0.04439099582578062,39,22,3.993017048231383e-09,0.000937833573739022,1.0611507903133455,0.05366259878887424,-0.01361674708475508,245.12583256238278,67.76470174327173,11.647682988757943,9.700966901144394,0.007625666260719299,0,0
lowess1dt20wAR,42/3_ST_Fits,c,6.272,0.1257369696935475,12,8,0.006494555338612473,0.03480992288396773,0.9590557586724401,0.0568308884564436,-0.0004222181336389798,221.54188025333366,59.04965750916594,4.29414441264464,3.36581728840558,0.008596876263618469,0,0
lowess1dt20wARMA,42/3_ST_Fits,c,6.215,0.1442353821600079,10,7,0.019597818064926647,0.08455328493849606,0.9083451693869887,0.057614877850407115,0.00022111053544062156,196.20255658758956,52.61136818012691,4.038676618675594,3.13654191780476,0.008596876263618469,0,0
butterworth,42/2_LT_Fits,c,7.757,0.11678932780431953,4,4,1.5492861007301616e-07,0.9972285746815142,0.886768599570222,0.0487129424986739,-0.014919012118862679,125.92114113897152,110.47359494501123,3.25877378628014,3.0888381118841153,0.002220899986484365,0,0
lag10y,42/1_Run_Means,c,2.622,0.03570910914176818,95,28,5.7188779751607735e-11,0.0001880253103351287,0.8655691317946494,0.054559744684525346,-0.030074282386037824,199.94646944456403,14.684202713240168,1.161188304863926,0.9760116973827136,0.008848726749420166,0,0
