method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,75RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,Mdyrs15,Mdyrs20,Fdyrs15,Fdyrs20,EdyrsA,RMSyrsA,ncEdyrs,e100log-l,e100RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eMdyrs15,eMdyrs20,eFdyrs15,eFdyrs20,eEdyrsA,eRMSyrsA,nceEdyrs
Kal_flexLin,42/5_Kalman,c,4.831,0.051925582581174703,16,2,0.05267171291058935,0.13532967421017078,1.4648249859578168,0.055130630194751076,-0.011166249623977591,338.3745717562557,158.13189646901748,0.04038744052579043,0.038573889782149186,-0.012625899137450814,4.068820159821496,7.769980564231681,-0.014324306302871537,2.0000000001427907,-0.33333333317341385,2.0000000001427907,-0.33333333317341385,2.0000000001427907,-0.33333333317341385,0.4340277779626452,1.1618202912015851,25.0,141.27815803674082,0.05031936691552252,-0.023443764681346124,4.749360754701166,3.762451311435351,-0.012490029030647143,3.4166666668072594,0.7500000001582521,3.4166666668072594,0.7500000001582521,3.4166666668072594,0.7500000001582521,0.8079710146733246,0.8079710146733246,24.0
EBMKF_ta4,43/2_Kalman,c,3.696,0.08009349434432252,0,0,0.9941781452606591,0.9941781452606591,1.5521612192863194,0.04047226724748924,-0.0006154314687557229,358.5492416551398,147.92486990702247,0.034083263035670906,0.03295574154454099,0.016820961534132584,5.732008330883117,4.245395259869433,0.019627639283764608,0.5000000001441549,-0.8333333331729591,0.5000000001441549,-0.8333333331729591,0.5000000001441549,-0.8333333331729591,-0.4409722220373264,0.9569736730630996,24.0,146.64021301419177,0.03601102592460068,0.006003095990237277,4.738513407490482,5.607782300741132,0.021461916555989002,1.9166666668086236,0.2500000001587068,1.9166666668086236,0.2500000001587068,1.9166666668086236,0.2500000001587068,-0.0760869563410858,0.0760869563410858,23.0
etrend30y,42/3_ST_Fits,c,3.108,0.04793054505928348,20,0,0.11993248297774392,0.11993248297774392,1.3993278623087981,0.056910113045505556,-0.016116488230206987,296.6575068094652,144.36242364336914,0.04961176041968147,0.04349740811050211,-0.02192605891108054,2.5440638702615956,7.322037083149775,-0.01761682827626494,2.4166666668093058,1.596163201611489e-10,2.4166666668093058,1.596163201611489e-10,2.4166666668093058,1.596163201611489e-10,0.6423611112957607,1.307585596742002,24.0,129.736540977067,0.05839070675504756,-0.03274392445497585,1.8692906924982677,2.8027076864907006,-0.015782551004040545,3.8333333334737745,1.0833333334912822,3.8333333334737745,1.0833333334912822,3.8333333334737745,1.0833333334912822,1.0217391306150998,1.0217391306150998,23.0
GAM_AR0,42/4_GAM_AR1,c,5.308,0.05757485596803075,27,0,0.10376956772295544,0.10376956772295544,1.2185834173134982,0.07177009880704788,-0.013354876941356944,258.33968447046163,140.0649511648223,0.05272891845814969,0.04749380048347968,-0.01938987027331176,2.4235387600735097,7.3379808283652315,-0.02668797216634113,2.4166666668093058,0.3333333334926465,2.4166666668093058,0.3333333334926465,2.4166666668093058,0.3333333334926465,0.8055555557401419,1.5961197887076506,26.0,118.76178650414384,0.06339858066037421,-0.03020773581720707,2.504664244476948,1.7998305187714962,-0.024853694894116735,3.8333333334737745,1.4166666668243124,3.8333333334737745,1.4166666668243124,3.8333333334737745,1.4166666668243124,1.1920289856874977,1.1920289856874977,25.0
etrend30y_3CS,42/3_ST_Fits,c,3.266,0.04793054505928348,33,0,0.16440723451028902,0.16440723451028902,1.3696032935557332,0.060182379820062075,-0.022383681968516953,290.3558982338154,134.13853553559997,0.05978492834678641,0.04349740811050211,-0.03764195856740379,2.5440638702615956,7.322037083149775,-0.01761682827626494,2.4166666668093058,1.596163201611489e-10,2.4166666668093058,1.596163201611489e-10,2.4166666668093058,1.596163201611489e-10,0.8090277779622758,1.3273520355140183,24.0,118.00831544548707,0.06850332737529519,-0.0484598241112991,1.8692906924982677,2.8027076864907006,-0.015782551004040545,3.8333333334737745,1.0833333334912822,3.8333333334737745,1.0833333334912822,3.8333333334737745,1.0833333334912822,1.1956521740932025,1.1956521740932025,23.0
Kal_flexLin_ocn,42/5_Kalman,c,5.163,0.04783952300212699,53,4,0.03899675585549165,0.10880918367196564,1.3258092825933712,0.058927990813734614,0.0038331149279105547,306.26194427906876,131.1411711032993,0.05413013109416665,0.05526984636350794,0.027856040315073254,7.770273136013571,3.748319671128762,0.04870277610343219,1.4166666668102152,-0.8333333331729591,1.4166666668102152,-0.8333333331729591,1.4166666668102152,-0.8333333331729591,-1.1128472220378665,1.6837879266542435,27.0,117.29387238805315,0.05957284684899685,0.017038174771177944,8.392030210813997,7.736668503827011,0.05053705337565658,2.833333333474684,0.2500000001587068,2.833333333474684,0.2500000001587068,2.833333333474684,0.2500000001587068,-0.7300724635879602,0.7300724635879602,26.0
FaIR_all_unB,43/1_ERF_FaIR,c,3.221,0.08052760379316691,12,0,0.47214517664470873,0.47214517664470873,0.991712785431094,0.08558201258245622,-0.008867709406640726,159.66575845440613,124.80799043806576,0.04897181436030629,0.0454969032582978,0.03048920506215263,3.309846377081056,4.000599573441266,0.0023461965238386062,-2.999999999852662,-1.5833333331720496,-2.999999999852662,-1.5833333331720496,-2.999999999852662,-1.5833333331720496,-0.7951388887030456,1.626690715828915,24.0,130.90233747784112,0.03459467708101417,0.019671339518257322,4.227188761008232,4.520812635032896,0.004180473796063,-1.5833333331881931,-0.4999999998403837,-1.5833333331881931,-0.4999999998403837,-1.5833333331881931,-0.4999999998403837,-0.4456521737314016,0.4456521737314016,23.0
GAM_AR1,42/4_GAM_AR1,c,7.189,0.06112952913247186,0,0,0.5950111311286308,0.5950111311286308,1.314898634191086,0.06215746264421963,-0.0330571777332307,278.7585104485102,124.08659102663951,0.05930164018046625,0.05670243304188682,-0.04757465659247558,4.02538142713631,5.827877624487775,-0.040490268096773384,2.0833333334762756,0.1666666668261314,2.0833333334762756,0.1666666668261314,2.0833333334762756,0.1666666668261314,1.324652777962162,1.6428638825422073,29.0,106.0775833791921,0.07205766443417348,-0.05839252213637089,2.141731859717426,1.681984932165658,-0.03865599082454899,3.5000000001407443,1.2500000001577973,3.5000000001407443,1.2500000001577973,3.5000000001407443,1.2500000001577973,1.7445652175713844,1.7445652175713844,28.0
FaIR_comb_unB,43/1_ERF_FaIR,c,2.336,0.07854840740274796,16,0,0.45945303210463734,0.45945303210463734,1.0717197895822876,0.0811353605320075,-0.01674565238600332,172.5468861227483,123.79838850890934,0.05142626120817502,0.04887711799180234,0.029749117718825987,2.972680726326908,4.053789631483463,-0.0035344214392185047,-3.416666666518722,-1.4166666665055345,-3.416666666518722,-1.4166666665055345,-3.416666666518722,-1.4166666665055345,-0.7812499998139989,1.7545410658204683,24.0,131.67445909638406,0.0356915705514655,0.01893125217493068,3.9381716202385424,4.659939030518358,-0.0017001441669941108,-1.9999999998542535,-0.3333333331738686,-1.9999999998542535,-0.3333333331738686,-1.9999999998542535,-0.3333333331738686,-0.4384057969196558,0.4384057969196558,23.0
CGWL10y_sUKCP,44/44_EarthModel_CGWL,c,3.185,0.058153774504634465,1,0,0.2963566477267289,0.9103448275862069,1.4064607125235367,0.05389795188933641,0.015599610872397368,309.42135675517807,122.72474827720667,0.0547376120812776,0.05521315700148415,0.038792754438790406,4.574709558751104,5.884495339580218,0.06244903489163047,0.5000000001441549,-0.5833333331729591,0.5000000001441549,-0.5833333331729591,0.5000000001441549,-0.5833333331729591,-1.3819444442596496,1.7219981931570991,27.0,117.48079729442398,0.05891217446898982,0.027179676632989525,4.2323625841164,4.935580136372993,0.06310767023186932,1.9166666668086236,0.5000000001587068,1.9166666668086236,0.5000000001587068,1.9166666668086236,0.5000000001587068,-1.00362318822517,1.00362318822517,26.0
