method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,EdyrsA,ncEdyrs,e100log-l,e100RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eEdyrsA,nceEdyrs
EBMKF_ta3,43/2_Kalman,c,1.723,0.05598449616995607,0,0,0.9276781741878904,0.9276781741878904,1.7308613838063531,0.04313133873413606,-0.012856937859168176,399.8289796592676,181.54304966304568,0.03186914081089127,-0.003114565584591178,11.018152888241113,10.852222231546914,-0.023278295293577854,0.12500000015347723,0.2916666668347716,0.7735507246821706,23.0,129.3363193347517,0.04912401881289318,-0.038970634164920206,5.4950605086041024,9.141437253461707,-0.05036583241681036,1.4583333334846884,0.7916666668343169,1.1648550726276583,23.0
GAM_AR0,42/4_GAM_AR1,c,4.655,0.04207082629630293,35,13,0.011302201024367397,0.04612108600195082,1.404554557667846,0.05433329728612735,-0.01510995797366305,297.76556622558337,166.55588545791528,0.0375476650447693,-0.02037257218660158,6.1282210456632615,6.742559815958589,-0.019477576889792896,2.1250000001516582,0.9583333335008319,1.0380434783556252,23.0,85.6470509170338,0.06736703703700908,-0.0562286407669306,2.502598366432072,4.4626433217009716,-0.046565114013025405,3.4583333334828694,1.4583333335003772,1.6105072465317058,23.0
EBMKF_ta2,43/2_Kalman,c,1.722,0.0359108808956342,139,37,0.011994502517060723,0.011994502517060723,1.1194002139295123,0.05325354629361129,-0.012303626655142744,258.58144941771735,159.9370186982634,0.03834558331454529,0.03047244038865801,11.364491100947754,8.364093112839567,0.03259147565614029,0.7083333331790982,1.041666666497349,1.143115941851677,23.0,176.51027348468074,0.03365415731893656,-0.005383628191671018,10.29942078308108,11.881393756932617,0.005503938532907782,0.625000000152113,0.5416666664978038,0.4692028984760703,23.0
etrend30y,42/3_ST_Fits,c,2.894,0.04317161071894114,5,0,0.2052705195331373,0.3165769238938814,1.7467341156636753,0.04156575300538206,-0.015391360936019926,370.30763252069914,158.65412904497015,0.03809726839891486,-0.01763131041680571,6.544616680285075,6.428210471392883,-0.014694982574830994,1.5416666668190828,0.9583333335008319,1.012681159489118,23.0,101.40031154468997,0.06746506594708798,-0.05348737899713474,3.637261751071089,5.131811498034081,-0.0417825196980635,2.875000000150294,1.4583333335003772,1.5126811595728709,23.0
etrend30y_3CS,42/3_ST_Fits,c,3.032,0.04317161071894114,5,0,0.2052705195331373,0.3165769238938814,1.75047462697575,0.04182877218504203,-0.015878465348358208,371.100620918859,156.85512476217497,0.04018990508483674,-0.019948915696912678,6.544616680285075,6.428210471392883,-0.014694982574830994,1.5416666668190828,0.9583333335008319,1.019927536300686,23.0,100.55041047800577,0.06943857110349648,-0.055804984277241704,3.637261751071089,5.131811498034081,-0.0417825196980635,2.875000000150294,1.4583333335003772,1.527173913196046,23.0
GAM_AR1,42/4_GAM_AR1,c,6.15,0.04899231606859598,25,6,5.6929598541138227e-11,0.0006867422145606208,1.1333223518755633,0.05663786227195716,-0.02473146083487448,240.2643385976194,149.27600718085256,0.0434328932282814,-0.024467464364350447,5.816948910436777,5.803317381384564,-0.021516864395735393,1.9583333334851432,0.9583333335008319,1.0996376812729027,25.0,96.28310988202786,0.0746124743742691,-0.06032353294467947,2.4982974471631842,3.911275119742192,-0.0486044015189679,3.2916666668163543,1.4583333335003772,1.7228260871283174,25.0
CGWL10y_sUKCP,44/44_EarthModel_CGWL,c,3.486,0.0571813973158727,0,0,0.9537777777777777,0.9537777777777777,1.6054444754883046,0.04634016126359372,0.006949381880264998,356.4086735584036,140.67942778501057,0.04913390733790873,0.014762440654966567,6.786933997002362,7.321856371627853,0.0481936514377594,2.7916666668177186,0.5416666668343169,1.4039855071637546,23.0,126.51994009246927,0.05636635567857339,-0.02109362792536246,4.029649477669773,5.201670266554036,0.021106114314526893,4.12500000014893,1.041666666833862,1.349637681130735,23.0
offset11y,42/3_ST_Fits,c,2.371,0.04034269053728272,173,114,6.589178281494488e-05,6.613225172682069e-05,-0.5292409530651724,0.08121969770730444,0.03734003041328628,-122.25466015805483,136.34470127919417,0.052892372704567175,-0.03703553676605224,9.276854270714239,4.335960405646289,-0.06247471868991852,1.875000000152113,1.6250000001668923,1.5996376813261775,23.0,57.77367554075852,0.08111273074787466,-0.07289160534638127,4.271125928861128,2.303356581457572,-0.08956225581315103,3.208333333483324,2.1250000001664375,2.3496376813361226,23.0
CGWL10y_sfUKCP,44/44_EarthModel_CGWL,c,6.448,0.055879675061542754,0,0,0.9751401869158878,0.9751401869158878,1.6055341455539243,0.04664295741101442,0.006560937234049512,356.4285803129712,135.3190987075684,0.05245388344163648,0.01445816093020969,5.6811197699335985,6.693589885703003,0.04232703447341919,2.3750000001516582,0.2083333335012867,1.2572463767484272,29.0,121.8629964587793,0.05857972295309908,-0.021397907650119338,2.7629382936359077,5.4972073125466645,0.015239497350186681,3.7083333334828694,0.7083333335008319,1.2644927536287904,29.0
cubic_spline,42/4_GAM_AR1,c,8.114,0.07639917923734235,0,0,0.5875220572079033,0.5875220572079033,1.1375625420729374,0.07843622920430082,-0.0029740842812952142,240.02569637738978,124.92260874059357,0.05713015688586972,0.004301769593692686,2.164741371592834,5.370068870483578,0.024496532149949922,2.8750000001512035,0.12500000016825652,1.2771739130164999,25.0,117.05599415143564,0.06546724243283425,-0.031554298986636344,1.028624334286892,5.333314530867055,-0.002591004973282585,4.208333333482415,0.6250000001678018,1.559782608753771,25.0
