method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,75RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,Mdyrs15,Mdyrs20,Fdyrs15,Fdyrs20,EdyrsA,RMSyrsA,ncEdyrs,e100log-l,e100RMS,e75RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eMdyrs15,eMdyrs20,eFdyrs15,eFdyrs20,eEdyrsA,eRMSyrsA,nceEdyrs
offset11y,42/1_Run_Means,c,2.744,0.042204088415540505,176,68,8.449022102998263e-10,1.3345943811759812e-06,-0.3104844209853583,0.0812684133019356,0.03872251841899822,-71.72190124761777,140.79911653881618,0.04895178233611242,0.05303520435099729,-0.033015742406740295,4.699498799508786,6.884112490673517,-0.059328007698059085,1.2500000001425633,0.6666666668261314,1.2500000001425633,0.6666666668261314,1.2500000001425633,0.6666666668261314,1.1666666668487304,1.9371152416436304,23.0,69.76509036482179,0.07083873663563309,0.07838332360433765,-0.055090825872106876,3.805042210224574,3.767856123815909,-0.08899857008457188,1.4166666668090784,1.5833333334908275,1.4166666668090784,1.5833333334908275,1.4166666668090784,1.5833333334908275,1.8913043480077882,1.8913043480077882,23.0
FaIR_comb_unB,43/1_ERF_FaIR,c,1.983,0.07158339261567197,0,0,0.9827931418050707,0.9827931418050707,1.412518225208535,0.05325098989074651,0.009547441758034583,221.76536135774,132.4419938443047,0.048848720408468896,0.0377309303144635,0.011573740418056267,4.988443467646698,5.501816432172732,-0.022787419654786888,-0.7499999998556177,0.16666666682658615,-0.7499999998556177,0.16666666682658615,-0.7499999998556177,0.16666666682658615,-0.30434782590466214,1.9241347889204874,23.0,132.20800395943448,0.05003803268100731,0.04899541083389389,-0.010501343047310317,5.097663709269577,5.40877779703815,-0.05245798204129968,-0.5833333331891026,1.0833333334912822,-0.5833333331891026,1.0833333334912822,-0.5833333331891026,1.0833333334912822,0.42028985525439566,0.42028985525439566,23.0
FaIR_nonat_unB,43/1_ERF_FaIR,c,1.908,0.08120500799296161,0,0,0.9930885850178359,0.9930885850178359,1.339518846500256,0.053273641412681094,0.005656494904706122,215.66253428654124,128.1759196083296,0.04402442626967421,0.034120985826868025,0.010686585808608227,4.541970621988844,4.735453959178416,-0.01594030001460508,-0.6666666665221328,-0.0833333331729591,-0.6666666665221328,-0.0833333331729591,-0.6666666665221328,-0.0833333331729591,-0.35144927518016944,1.758948824182931,23.0,128.63435554946776,0.04460687997194683,0.04328528809686357,-0.011388497656758357,4.639376391883894,4.910168563102352,-0.04561086240111787,-0.4999999998556177,0.833333333491737,-0.4999999998556177,0.833333333491737,-0.4999999998556177,0.833333333491737,0.37318840597888836,0.37318840597888836,23.0
FaIR_anthro_unB,43/1_ERF_FaIR,c,1.597,0.08453606487568725,0,0,0.9571938168846611,0.9571938168846611,1.1597311947170257,0.06715260447675839,-0.008602653303609743,186.71672234944114,122.3777371372918,0.04848956220605651,0.038800708072943134,0.014499978390775398,4.099506462616333,4.350886740743936,-0.01814867438882025,-0.8333333331886479,0.08333333349355598,-0.8333333331886479,0.08333333349355598,-0.8333333331886479,0.08333333349355598,-0.43840579691920106,1.8824930791695915,23.0,122.7884836590775,0.04781259896045326,0.04677310025847765,-0.007575105074591185,4.140084406077444,4.414655520993049,-0.04781923677533304,-0.6666666665221328,1.000000000158252,-0.6666666665221328,1.000000000158252,-0.6666666665221328,1.000000000158252,0.2862318842398568,0.2862318842398568,23.0
FaIR_anthro,43/1_ERF_FaIR,c,1.591,0.08454555285665763,0,0,0.620002265262204,0.620002265262204,1.02179026379335,0.07593411093855139,-0.03649395566490316,164.50823247072935,121.97262266096423,0.04819493246954861,0.048094384241745475,-0.013408125575811336,4.139223125232708,3.954550883699216,-0.04605434709807375,-0.16666666652258755,1.4166666668256767,-0.16666666652258755,1.4166666668256767,-0.16666666652258755,1.4166666668256767,0.5434782610514048,1.706233244396508,23.0,115.64930540345796,0.05907483280211674,0.06516366723472755,-0.03548320904117792,4.100308701001377,3.5888751987159053,-0.07572490948458654,1.439275365555659e-10,2.3333333334903728,1.439275365555659e-10,2.3333333334903728,1.439275365555659e-10,2.3333333334903728,1.2681159422104626,1.2681159422104626,23.0
FaIR_all_unB,43/1_ERF_FaIR,c,3.202,0.08390732659083751,0,0,0.9998712482107289,0.9998712482107289,1.2290985872983013,0.06572790531734257,0.006382754499328527,197.8848725550265,118.96137560009586,0.055716610756978015,0.0384975802289805,0.016262161559017812,4.543358045907761,4.691493474995944,-0.022506328059207235,-0.5833333331891026,0.16666666682658615,-0.5833333331891026,0.16666666682658615,-0.5833333331891026,0.16666666682658615,-0.3949275360495567,2.0972002270138974,24.0,120.20117314033857,0.05454985002127142,0.049413884372719596,-0.005812921906348771,4.66120391101576,4.723668888255938,-0.05217689044572003,-0.41666666652258755,1.0833333334912822,-0.41666666652258755,1.0833333334912822,-0.41666666652258755,1.0833333334912822,0.3297101451095011,0.3297101451095011,24.0
FaIR_nonat,43/1_ERF_FaIR,c,1.973,0.10134453943282497,0,0,0.9883026159334125,0.9883026159334125,1.1556690376992613,0.05947747323125146,-0.022518166912117662,186.0627150695811,112.21202198370759,0.04503100733333473,0.044165661103518605,-0.01427500084572183,3.7291983602991463,3.7871518848634667,-0.04093551392068615,0.0833333334769577,1.1666666668256767,0.0833333334769577,1.1666666668256767,0.0833333334769577,1.1666666668256767,0.4492753625006868,1.6070872623444006,23.0,107.91766724642522,0.056404136517441875,0.061477618270985704,-0.03635008431108842,3.672706796577484,3.784101046566109,-0.07060607630719894,0.2500000001434728,2.0833333334903728,0.2500000001434728,2.0833333334903728,0.2500000001434728,2.0833333334903728,1.1739130436597447,1.1739130436597447,23.0
raw1y,42/1_Run_Means,c,28.095,0.13233830506438288,2,0,0.2067159562404721,0.8875020795287679,0.6531862292818116,0.1244730538882626,-0.0013791242489909746,150.88601896409847,66.91399139755913,0.1151578992823997,0.10876855496961346,-0.0008571187218466958,2.4258076617490376,3.0014452915707808,-0.005936872959136963,2.9166666668078656,-0.2777777776173025,6.750000000137561,-3.416666666503261,-0.8333333331886479,-3.416666666503261,-0.6545289853246239,2.2859583604743077,55.3,64.90146772128297,0.11814881332192423,0.1127478793042138,-0.02293220218721328,2.509356257936962,2.8924636943098547,-0.03560743534564975,3.0833333334743807,0.6388888890473936,6.916666666804076,3.2500000001559783,-0.6666666665221328,-2.4999999998385647,0.07010869583443395,0.07010869583443395,55.3
lag5y,42/1_Run_Means,c,5.195,0.050929636514870064,116,26,5.691320677616839e-19,0.006480830507778792,0.5550131330485107,0.07290092175130425,-0.029901987199094024,128.20803373420597,25.968258570743544,0.07565319782645549,0.07652657563730014,-0.05747641115398197,4.68997007397428,8.546841556443399,-0.07001569867134094,1.3333333334760482,-0.24999999983947419,1.3333333334760482,-0.24999999983947419,1.3333333334760482,-0.24999999983947419,1.889492753804827,2.2544407333103704,24.0,-87.50237485920022,0.09563216872194118,0.09940545249733429,-0.07955149461934856,3.7335267539830923,5.785244205534929,-0.09968626105785373,1.5000000001425633,0.6666666668252219,1.5000000001425633,0.6666666668252219,1.5000000001425633,0.6666666668252219,2.6141304349638848,2.6141304349638848,24.0
lag10y,42/1_Run_Means,c,2.782,0.04322929211358682,141,83,3.067689667743583e-11,7.126195182180129e-06,-0.42909288087269754,0.09244881882428983,-0.0644232903481703,-99.12045548159313,-328.7327303219737,0.13352519434630808,0.14517715474968926,-0.12882406960476886,0.011168467635060617,0.6346075150040651,-0.15286666452884673,4.08333333347332,4.083333333489918,4.08333333347332,4.083333333489918,4.08333333347332,4.083333333489918,4.61594202916644,4.656497719977049,24.0,-518.0612345140934,0.15718208578345305,0.16916974929084838,-0.15089915307013543,0.0062330155198570755,0.27184883897927875,-0.1825372269153595,4.250000000139835,5.000000000154614,4.250000000139835,5.000000000154614,4.250000000139835,5.000000000154614,5.340579710325499,5.340579710325499,24.0
FaIR_all,43/1_ERF_FaIR,c,2.866,0.005593549094446426,158,140,5.005723923146539e-37,2.2467297323724616e-30,-1400.5145510850634,0.06508798318722564,0.015366957619011277,-225482.84272469522,-115104.19442910163,0.058844154736695076,0.03799822457374328,0.02491268810075195,1.4300190311019246e-125,2.256904998459256,-0.01385545698847973,-0.7499999998556177,-0.4999999998394742,-0.7499999998556177,-0.4999999998394742,-0.7499999998556177,-0.4999999998394742,-0.6630434780782984,2.306850227224199,23.0,-88698.96600391771,0.05432614914409687,0.044892393305567706,0.002837604635385363,2.1153509595163563e-72,38.291501773942684,-0.04352601937499252,-0.5833333331891026,0.4166666668252219,-0.5833333331891026,0.4166666668252219,-0.5833333331891026,0.4166666668252219,0.06159420308075942,0.06159420308075942,23.0
