method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50,Edyrs2,Edyrs6
15y_etrend,42/3_ST_Fits,c,5.913,0.046543351161658746,50,4,0.04232116458077089,0.18262641187126114,1.3768889448541117,0.057216168906420575,-0.0018343035117014755,311.17690153702927,137.90591722728294,8.765260615328426,8.679058982074094,0.007226874033610014,0,0
30y_etrend,42/3_ST_Fits,c,3.156,0.03560152224544251,71,15,0.0017864557024598428,0.025370876096312958,1.3453450180161632,0.051097034222434994,-0.0036613989401453263,283.86779880141046,160.8745590519162,0.6719114076015396,9.094353012801351,0.021408490621914883,0,0
lowess1dg20wnc,42/3_ST_Fits,c,3.447,0.09569165791375794,0,0,0.6531955083147433,0.6531955083147433,1.2358327726610714,0.048357689226193025,-0.006740802109179248,284.2415377120464,91.78189250325994,3.032767242976916,5.129656132928816,0.021784338602062685,0,0
hinge75meet,42/2_LT_Fits,c,2.008,0.04360350569080101,32,19,5.5490843834201345e-05,0.0004244520582205845,1.162991277093275,0.05315777148154648,0.018346514573291024,180.26364794945763,51.70073968323409,4.841906011826,7.750551542980335,0.07676883009900502,0,0
lowess1dt30wnc,42/3_ST_Fits,c,4.775,0.1303738533094632,3,0,0.4835942498721103,0.5023188004199421,1.1035010866185562,0.05013889577331378,-0.003474613445266052,253.80524992226793,59.9874250062299,4.823311451960116,3.77571916920112,0.012339552882948596,0,0
lag5y,42/1_Run_Means,c,6.366,0.040171346689756006,88,36,5.695774864841158e-06,0.0026032528003012527,1.0185720359422008,0.05686489832831475,-0.022366534088882548,234.2715682667062,67.70883241727515,2.8730057095038113,3.0076897973102725,-0.024203929901123022,0,0
lowess1dt20wAR,42/3_ST_Fits,c,6.783,0.12528435428227036,24,4,0.07394631061806847,0.1367230140468731,0.9534204806202349,0.06026799257565198,-0.0025292012034761058,219.28671054265402,58.99073757559596,5.434922361752887,3.7909199503959834,0.005315964707737414,0,0
raw1y,42/1_Run_Means,c,32.495,0.10577279894996765,0,0,0.9371577572209222,0.991273071321952,0.923843731860105,0.09503894704976582,-0.0019119119876188832,212.48405832782416,88.02620849293407,4.000419555488592,3.5639072941869254,-0.0009235954284668002,0,0
lowess1dt20wARMA,42/3_ST_Fits,c,6.916,0.14067664648389008,22,0,0.16965205515821682,0.22657143595562024,0.9159626358948701,0.06109195949690183,-0.00031476761764734687,196.93196671739707,54.491547012917124,5.172442550295642,3.6057753616420354,0.005315964707737414,0,0
butterworth,42/2_LT_Fits,c,11.78,0.14306228181448927,0,0,0.928036064507256,0.9983926729452517,0.9069117999386509,0.05492256790855092,-0.02734399328010075,127.87456379134977,75.68220470813517,2.7642991819016136,2.100031163157112,-0.02022929891777566,0,0
lowess1dt20wnc,42/3_ST_Fits,c,6.783,0.17044068253091224,0,0,0.517228941271484,0.517228941271484,0.8904644861726015,0.06026799257565198,-0.0025292012034761058,204.80683181969835,32.17971924578654,3.9945167489940023,2.7401350202277115,0.005315964707737414,0,0
30y_etrend3CS,42/3_ST_Fits,c,3.442,0.03560152224544251,102,37,0.001190970468306562,0.002201969669323385,0.8837399127868367,0.06014842287001148,-0.013210108955163178,186.46912159802255,63.47588184852824,0.6719114076015396,0.0034627000721559995,0.021408490621914883,0,0
lowess2dt20wnc,42/3_ST_Fits,c,12.487,0.2243147589402511,1,0,0.18256308446734684,0.7938347424869008,0.6296891160200717,0.08035657112446494,-0.0019157487520023015,144.82849668461648,6.807843320282812,3.006110671244182,1.998625858831179,-0.00044080310779705533,0,0
lowess1dt10wnc,42/3_ST_Fits,c,12.336,0.24546106347639163,2,1,0.04147794207754865,0.9996698118781745,0.5993940346298783,0.0770113990256208,-0.0019701269695663374,137.860627964872,-2.9197374693528104,2.8336217471607426,1.753012062560678,-7.346098004470391e-05,0,0
quartic,42/2_LT_Fits,c,3.175,0.043530712016809886,113,52,2.8203524462951926e-05,0.0005813537793020512,0.10250063076773444,0.09135430171634956,0.010289149513522708,14.350088307482821,14.791706588782167,0.189732918445871,9.369668316705475,0.07753003486018367,0,0
11y_offset,42/3_ST_Fits,c,2.906,0.03262744550768089,131,99,6.609976645596599e-05,0.0002711257312564706,-0.12262307639628936,0.07921725879618009,0.057467249370357076,-28.203307571146553,150.59364641657044,11.672262841954582,12.957209308898134,0.04308491620150474,0,0
OLS_hinge75,42/2_LT_Fits,c,2.357,0.027382299093346423,49,35,5.520324985271387e-13,2.768477181221039e-10,-0.14620285137207725,0.05158744643602101,0.020076383084312407,-22.661441962671972,-151.96441550750592,7.363717002496121,13.112707518151396,0.07318492514713663,0,0
lag10y,42/1_Run_Means,c,3.073,0.03337835093936549,168,94,4.115023705856765e-07,8.593118272252117e-06,-0.1655704570447692,0.07012789687139048,-0.047502968616379274,-38.081205120296914,-161.58482647701402,0.19823358057610987,0.026109594267908636,-0.05925245285034182,0,0
Bayes_seq_CP,42/2_LT_Fits,c,3.018,0.027612776119402986,160,79,3.370384274979508e-09,5.841876520253144e-08,-0.8649787141611281,0.06774366683162315,-0.010309026129677447,-165.2109344047755,-70.07467112868102,0.047101047703497975,7.846948750017222,0.05635798183894554,0,0
TheilSen_h7075,42/2_LT_Fits,c,2.272,0.02927083080455099,83,45,3.4340287027517066e-20,2.796382169825754e-15,-1.2973328939013453,0.060956905521948636,0.015218112681659287,-201.08659855470853,-325.0918717120693,7.0106960503916085,10.96360998084521,0.0720637529538514,0,0
OLS_refit,42/2_LT_Fits,c,0.807,0.029696852099977987,137,133,4.626518554045876e-23,1.4610948054421742e-22,-21.23441852754819,0.20769377253349033,-0.14766872377711693,-2972.8185938567467,-2718.93062220325,0.23631305430321167,5.1277200654953285e-15,-0.20890349586037726,0,0
opt_clim_norm,42/3_ST_Fits,c,19.156,0.04872509436558629,72,39,0.0,2.5798421927450483e-64,-41.50231926713737,0.07367569352321972,-0.007140564222318141,-9545.533431441596,-9166.28480948632,4.965535861186491,4.121376062459323,-0.01972570964268277,0,0
