method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,75RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,Mdyrs15,Mdyrs20,Fdyrs15,Fdyrs20,EdyrsA,RMSyrsA,ncEdyrs,e100log-l,e100RMS,e75RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eMdyrs15,eMdyrs20,eFdyrs15,eFdyrs20,eEdyrsA,eRMSyrsA,nceEdyrs
Kal_flexLin,42/5_Kalman,c,5.464,0.051937104875293474,0,0,0.5926478343160252,0.5926478343160252,1.5440461911745669,0.052338047002123154,0.004908248159618809,355.1306239701504,146.46561448311323,0.04654871372086339,0.04951218845057961,0.011094145628416483,4.934403571798395,7.88526963670552,0.02225889887675848,1.833333333474684,-0.5833333331679569,1.833333333474684,-0.5833333331679569,1.833333333474684,-0.5833333331679569,-0.16666666650267611,1.6964598994319953,14.0,7.997440052787529,0.09824241596692661,0.11207937049189676,0.07008763618327031,8.105855730300094,3.272646989417774,0.10877180367970377,-0.08333333318842051,-3.999999999829015,-0.08333333318842051,-3.999999999829015,-0.08333333318842051,-3.999999999829015,-3.5256410254801094,3.5256410254801094,13.0
GAM_AR1,42/4_GAM_AR1,c,7.378,0.048340370354137935,131,86,6.369232521253494e-34,1.0157528671916167e-25,-6.4147019299692305,0.1550380699519163,-0.09574992855458243,-1353.5021072235077,141.17029169336445,0.04956042609163168,0.0512429827697594,0.008337073389837558,5.621601833908295,5.999930664890337,0.010185793516187874,1.9166666668077141,-1.9166666665000776,1.9166666668077141,-1.9166666665000776,1.9166666668077141,-1.9166666665000776,0.6488095239749977,2.928970646482298,16.0,20.905499650562163,0.09626873414709443,0.10826615661807244,0.06733056394469139,7.744876893153267,3.620089200980187,0.09669869831913316,1.446096575818956e-10,-5.333333333161136,1.446096575818956e-10,-5.333333333161136,1.446096575818956e-10,-5.333333333161136,-3.224358974197545,3.224358974197545,14.0
EBMKF_ta4,43/2_Kalman,c,4.551,0.07912329173319904,0,0,0.9971640822207536,0.9971640822207536,1.4928162806309324,0.048990022623608666,-0.027747540522511077,343.34774454511444,136.9799019524948,0.04685527861488216,0.049163433331221876,-0.016441087140169987,4.137840017017078,5.451461732111277,-0.02917691765360845,1.9166666668077141,1.4166666668302241,1.9166666668077141,1.4166666668302241,1.9166666668077141,1.4166666668302241,2.348214285879164,3.4759127214297116,15.0,118.17923509091489,0.06408764979076936,0.06936370364571842,0.04255240341468384,5.882428397803047,5.660051864119351,0.05733598714933683,1.446096575818956e-10,-1.999999999830834,1.446096575818956e-10,-1.999999999830834,1.446096575818956e-10,-1.999999999830834,-1.4615384613777782,1.4615384613777782,13.0
Kal_flexLin_ocn,42/5_Kalman,c,6.292,0.047851499671358246,134,51,1.9525066794908096e-06,4.8840506772528814e-05,0.343815376303809,0.08901477012146958,0.04966699130295612,79.07753654987607,132.94429826265485,0.05275158082231146,0.05993624599730689,0.03092963930045002,7.408083609505671,5.773518905694463,0.049552887383987325,1.0000000001421085,-1.7499999998335625,1.0000000001421085,-1.7499999998335625,1.0000000001421085,-1.7499999998335625,-0.8749999998355763,1.8261493444527885,14.0,-91.99728717734973,0.11379192608870346,0.13239959293190184,0.08992312985530385,8.114264186077886,0.8722442601595362,0.1360657921869326,-0.9166666665209959,-5.166666666494621,-0.9166666665209959,-5.166666666494621,-0.9166666665209959,-5.166666666494621,-4.2435897434283145,4.2435897434283145,13.0
etrend30y,42/3_ST_Fits,c,3.265,0.03743264933421981,45,13,0.017221136281345507,0.03548011478807563,1.4853159140021075,0.04940497566817001,-0.004940861294358311,313.4016578544447,128.2279258084394,0.0480393370165396,0.05384968640397822,0.01174106107064086,1.3314838822703867,3.6952212557614685,0.031155823123070903,1.833333333474684,-5.083333333163864,1.833333333474684,-5.083333333163864,1.833333333474684,-5.083333333163864,-0.1547619045978276,2.123423785147346,14.0,-205.07089103718704,0.10001721268380959,0.11612446224983701,0.07073455162549468,15.22009689914003,0.5329576068774162,0.1176687279260162,-0.08333333318842051,-8.499999999824922,-0.08333333318842051,-8.499999999824922,-0.08333333318842051,-8.499999999824922,-3.474358974197895,3.474358974197895,13.0
CGWL10y_sfUKCP,44/44_EarthModel_CGWL,c,6.796,0.053366359636526216,18,7,0.024344058989913847,0.0812583942994902,0.6940195492127749,0.06403386462085786,-0.0029950657668398046,152.68430082681047,122.6900278915632,0.057426788492987144,0.06195170922254382,0.037019186162825686,6.544520987935131,4.035254055671847,0.05981602712857349,1.833333333474684,-4.499999999831289,1.833333333474684,-4.499999999831289,1.833333333474684,-4.499999999831289,-1.3184523807880169,2.3350599477993996,16.0,-22.626011980184607,0.11834944245759492,0.13570460834612247,0.09596418987462885,7.440426234698891,1.8040140351754648,0.1469251517279196,-0.08333333318842051,-7.916666666492347,-0.08333333318842051,-7.916666666492347,-0.08333333318842051,-7.916666666492347,-4.637820512658961,4.637820512658961,15.0
CGWL10y_sUKCP,44/44_EarthModel_CGWL,c,3.397,0.05544653437523679,14,6,7.11674514093549e-05,0.08093284286110425,0.5178366050819062,0.06803015673569797,-0.0025388918571757815,113.92405311801936,121.458788002198,0.05927204624946113,0.06310489000276627,0.03910555531424454,4.943054625658607,3.9525267625976137,0.06542239722306843,1.9166666668077141,-5.583333333163409,1.9166666668077141,-5.583333333163409,1.9166666668077141,-5.583333333163409,-1.514880952216767,2.742707683277558,15.0,-3.1478609050874176,0.12088228845971079,0.13797475378719026,0.0980505590260477,8.267170303697116,1.5314688357630795,0.15253152182241456,1.446096575818956e-10,-8.999999999824468,1.446096575818956e-10,-8.999999999824468,1.446096575818956e-10,-8.999999999824468,-4.6923076921460645,4.6923076921460645,13.0
GAM_AR0,42/4_GAM_AR1,c,6.62,0.04610379384363753,166,100,6.4224944237035586e-09,8.600591958068376e-08,-2.1746110933765808,0.15300016798473334,-0.0944581263587797,-458.8429407024586,120.13178570255648,0.05445266796371417,0.05612746328743251,0.0019507825006581582,5.032002425741054,8.230160639463975,-0.006135262125414581,1.750000000141199,-3.749999999831971,1.750000000141199,-5.833333333163409,1.750000000141199,-5.833333333163409,0.6517857144508687,2.7876436898518673,16.0,-55.33276068762764,0.09463646554813422,0.10514487494922402,0.060944273055511984,9.910780376527804,4.053478829884155,0.0803776426775307,-0.16666666652190543,-7.166666666493029,-0.16666666652190543,-9.249999999824468,-0.16666666652190543,-9.249999999824468,-2.817307692145872,2.817307692145872,15.0
offset11y,42/3_ST_Fits,c,3.029,0.03444160417651901,181,111,5.791427106090247e-09,9.186672036185886e-05,-0.554286607589753,0.08397952128488495,0.06324276256938226,-127.4859197456432,119.24846189364283,0.04912722448005676,0.05239829118220026,0.02258079131363119,4.785750344043016,10.818840974723745,0.04282240954312404,2.166666666807714,-1.7499999998335625,2.166666666807714,-1.7499999998335625,2.166666666807714,-1.7499999998335625,-0.24999999983625848,1.4570572647889273,14.0,-301.3908118598114,0.10458087146525602,0.11950948980550888,0.08157428186848502,10.049702550046106,1.142528969324382,0.12933531434606932,0.25000000014460966,-5.166666666494621,0.25000000014460966,-5.166666666494621,0.25000000014460966,-5.166666666494621,-3.519230769069981,3.519230769069981,13.0
Kalman_RW,42/5_Kalman,c,7.107,0.05393872156985289,0,0,0.705566606638714,0.705566606638714,1.4806964062700987,0.05496417244265748,-0.023246472472447186,340.5601734421227,118.12519827752249,0.062303859082487145,0.0631009246645065,-0.03845960034460774,1.8104104141115287,5.474663562796063,-0.025089432501779196,2.4166666668072594,1.8333333334962845,2.4166666668072594,1.8333333334962845,2.4166666668072594,1.8333333334962845,2.729166666830224,3.389061682570616,17.0,96.02440750738458,0.0726257657099213,0.07581169500761839,0.020533890210246077,4.623335309359035,7.101161719247254,0.061423472301166085,0.5000000001441549,-1.5833333331647736,0.5000000001441549,-1.5833333331647736,0.5000000001441549,-1.5833333331647736,-0.43910256394220737,0.43910256394220737,16.0
