method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,75RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,Mdyrs15,Mdyrs20,Fdyrs15,Fdyrs20,EdyrsA,RMSyrsA,ncEdyrs,e100log-l,e100RMS,e75RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eMdyrs15,eMdyrs20,eFdyrs15,eFdyrs20,eEdyrsA,eRMSyrsA,nceEdyrs
GAM_AR0,42/4_GAM_AR1,c,7.136,0.04646467973686918,136,82,2.120441047438151e-10,1.971088183295469e-08,-1.7085317815515966,0.1480145943458075,-0.08868874069549251,-360.5002059073869,168.97815240060493,0.03619189696652814,0.03129612660544153,-0.0011936484074091492,8.81697608851399,2.922118492300886,-4.475251725699625e-05,1.0000000001421085,3.5833333334958297,1.0000000001421085,3.5833333334958297,1.0000000001421085,3.5833333334958297,-0.31089743573901474,1.695464349037109,14.0,136.2028251225726,0.051031974847548914,0.04178144622698979,0.014176718407009153,8.651090968138078,8.917364351312408,0.012978352150393674,-0.33333333318910263,1.5000000001659828,-0.33333333318910263,1.5000000001659828,-0.33333333318910263,1.5000000001659828,-1.5480769229158027,1.5480769229158027,14.0
GWI_tot_CGWL,43/3_Human_Induced,c,2.459,0.05931132276833055,0,0,0.6624146667307883,0.9638113701622125,1.5262318397590913,0.058357069548294546,3.461970351130399e-05,213.67245756627278,165.1268671329858,0.04227722491286935,0.01954744945995292,-0.024133602799585794,6.474591656985502,7.094613057854993,0.0007796392419074982,1.5000000001416538,1.5833333334976487,1.5000000001416538,1.5833333334976487,1.5000000001416538,1.5833333334976487,0.782051282208543,1.466506401561075,13.0,160.50987387374903,0.045063204230764056,0.015255742434736859,-0.00876323598516749,7.344110965465975,7.569698276704025,0.013802743909558168,0.16666666681044262,-0.4999999998321982,0.16666666681044262,-0.4999999998321982,0.16666666681044262,-0.4999999998321982,-0.45512820496824485,0.45512820496824485,13.0
GAM_AR1,42/4_GAM_AR1,c,7.837,0.04838330899581646,92,80,8.286817324517255e-41,1.385044065357883e-34,-7.12821675131886,0.15348243095231254,-0.0900246495015435,-1504.0537345282794,163.49996782438825,0.033569741605535906,0.03240669094837709,0.004679552972011713,6.427500765553791,5.31029595663517,0.01289776345134976,0.9166666668086236,3.0833333334962845,0.9166666668086236,3.0833333334962845,0.9166666668086236,3.0833333334962845,-0.5448717947133795,1.7367477464578716,16.0,143.93538282594088,0.04802032272619742,0.04431077382994911,0.020049919786430014,6.4066502576516555,7.973973202288896,0.025920868119000427,-0.41666666652258755,1.0000000001664375,-0.41666666652258755,1.0000000001664375,-0.41666666652258755,1.0000000001664375,-1.7820512818901675,1.7820512818901675,16.0
GWI_tot,43/3_Human_Induced,c,2.165,0.05475395294515988,0,0,0.6930150817207026,0.7871135092150386,1.5682262498615676,0.05362185730617929,-0.002567953635260805,219.55167498061945,161.55513526273205,0.04543215183488475,0.0216767344426273,-0.025669008601020116,6.056603842208098,7.318562852637756,0.0026759429705052796,1.750000000141199,1.4166666668311336,1.750000000141199,1.4166666668311336,1.750000000141199,1.4166666668311336,0.8012820514392772,1.5171737670735894,13.0,155.73868089610176,0.048302665693320083,0.01609634326390255,-0.010298641786601814,7.414025780634043,7.558177853622287,0.01569904763815595,0.4166666668099879,-0.6666666664987133,0.4166666668099879,-0.6666666664987133,0.4166666668099879,-0.6666666664987133,-0.4358974357375106,0.4358974357375106,13.0
Kal_flexLin,42/5_Kalman,c,5.028,0.051937104875293474,1,0,0.42871684933767984,0.6370037590259038,1.5530611277246005,0.05197955604593078,0.004341852260146143,357.2040593766581,161.1914132469401,0.037024196714511425,0.03677450948524121,0.0033353170399244886,4.583717199281962,4.9873222096723735,0.01609936793458227,1.4166666668081689,2.166666666830224,1.4166666668081689,2.166666666830224,1.4166666668081689,2.166666666830224,-0.8589743588155531,1.9597989604799106,15.0,135.66746698090253,0.05244490651680513,0.049043296871937786,0.01870568385434279,8.13395556918539,8.12805244559108,0.02912247260223294,0.0833333334769577,0.0833333335003772,0.0833333334769577,0.0833333335003772,0.0833333334769577,0.0833333335003772,-2.096153845992341,2.096153845992341,15.0
etrend30y,42/3_ST_Fits,c,3.225,0.03430438683273091,84,8,0.010236974815688834,0.03836779544836642,1.4869412631255237,0.04649923476858167,-0.004885851271939946,313.7446065194855,157.5954489525118,0.04132115138312557,0.03489738507573972,0.004100911646372067,11.033375113919583,10.328823494328015,0.02768054387902628,1.0833333334751387,0.5000000001650733,1.0833333334751387,0.5000000001650733,1.0833333334751387,0.5000000001650733,-1.0576923075345104,2.750388472866931,14.0,101.7493567784683,0.055187123153906906,0.04664705879160269,0.01947127846079037,11.866098609086638,7.874257360403617,0.04070364854667695,-0.24999999985607246,-1.5833333331647736,-0.24999999985607246,-1.5833333331647736,-0.24999999985607246,-1.5833333331647736,-2.294871794711298,2.294871794711298,14.0
GWI_tot_SR15,43/3_Human_Induced,c,1.966,0.05298160622639968,0,0,0.623517619159383,0.623517619159383,1.5931247847957628,0.05200736402755998,-0.004220332646399125,223.03746987140678,156.05445786841497,0.04868647555739738,0.02254750915661175,-0.026826500872838954,5.998902304520575,7.433232633084434,0.0038786440657081755,1.833333333474684,1.3333333334976487,1.833333333474684,1.3333333334976487,1.833333333474684,1.3333333334976487,0.8205128206699416,1.6016151036852282,13.0,154.7646660914472,0.05047849384660175,0.01719749239307622,-0.011456134058420655,7.434444735184672,7.498284839034988,0.016901748733358847,0.5000000001434728,-0.7499999998321982,0.5000000001434728,-0.7499999998321982,0.5000000001434728,-0.7499999998321982,-0.4166666665068463,0.4166666665068463,13.0
GWI_anthro_CGWL,43/3_Human_Induced,c,2.677,0.07839503884532173,0,0,0.8874907329790283,0.8874907329790283,1.3258257466673866,0.09297824070868196,0.0009638696573153986,185.61560453343412,151.17626084967884,0.05293044054999007,0.02473440907710736,-0.032816648921892455,4.768050705484201,6.183897146931099,-0.0012761640805988629,2.000000000141199,2.000000000163709,2.000000000141199,2.000000000163709,2.000000000141199,2.000000000163709,1.1538461540030767,1.7412786343201028,13.0,154.81348128619538,0.053822010180083306,0.013379764009532308,-0.01744628210747415,7.0916953816844535,7.411279420898928,0.011746940587051807,0.6666666668099879,-0.08333333316613789,0.6666666668099879,-0.08333333316613789,0.6666666668099879,-0.08333333316613789,-0.08333333317371118,0.08333333317371118,13.0
GWI_tot_AR6,43/3_Human_Induced,c,1.604,0.045547954474582666,47,17,0.0010513755697073523,0.020376625465869873,1.0568697816149293,0.06447073158653074,0.008368913272900734,147.9617694260901,148.39391007411677,0.04953172244983556,0.03643707394656346,-0.027842799781138485,4.270065554310833,5.941058241527179,0.006358411505166195,2.333333333474229,2.000000000163709,2.333333333474229,2.000000000163709,2.333333333474229,2.000000000163709,1.230769230925559,2.2723251393084563,13.0,166.11100088920267,0.04194797788256528,0.022240564479723526,-0.012472432966720185,8.122037525107364,8.015942363059477,0.019381516172816866,1.000000000143018,-0.08333333316613789,1.000000000143018,-0.08333333316613789,1.000000000143018,-0.08333333316613789,-0.00641025625122893,0.00641025625122893,13.0
GWI_anthro,43/3_Human_Induced,c,2.402,0.07455640932960073,0,0,0.8276575569072624,0.8276575569072624,1.3260795521091169,0.0921413539370629,0.0006393033806568622,185.65113729527636,148.1069542471708,0.055254217703397716,0.027021234869845364,-0.03397786051266238,4.4904630337129285,6.352001306306647,0.0003688398482943056,2.333333333474229,1.9166666668306789,2.333333333474229,1.9166666668306789,2.333333333474229,1.9166666668306789,1.2051282052850814,1.8045526472538707,13.0,151.6231667225418,0.0558247639125248,0.015169417123646162,-0.018607493698244076,6.8542742517492865,7.434352432670167,0.013391944515944975,1.000000000143018,-0.16666666649916806,1.000000000143018,-0.16666666649916806,1.000000000143018,-0.16666666649916806,-0.03205128189170654,0.03205128189170654,13.0
