method_name,method_class,c/r,#q<0.1,#q<0.5,100bias,100log-l,Edyrs15,Edyrs20,EdyrsA,Fdyrs15,Fdyrs20,Mdyrs15,Mdyrs20,RMSyrsA,avg_unc.(1se),bias,bias50,e100bias,e100log-l,eEdyrs15,eEdyrs20,eEdyrsA,eFdyrs15,eFdyrs20,eMdyrs15,eMdyrs20,eRMSyrsA,ebias50,el15,el20,l15,l20,log-likeli,ncEdyrs,nceEdyrs,q_min,q_small5,smooth_r,tlog-l,RMS,100RMS,75RMS,e100RMS,e75RMS
offset11y,42/1_Run_Means,c,81.96,150.28,0.021231483260353796,150.9842019004048,-0.20416666652090495,-0.8591666664984677,-1.1924816848155733,-0.26999999985418066,-0.941666666498395,-0.20666666652090496,-0.941666666498395,2.4059104539932004,0.038004065816966665,0.057742287719969025,0.036628983438014934,0.021231483260353835,87.65282407542736,-0.17416666652085952,-0.8224999998320073,-1.3705952379279853,-0.23999999985413523,-0.9049999998319345,-0.1766666665208595,-0.9049999998319345,1.774642857015345,0.03662898343801496,6.840018035025585,5.881643534062696,8.682325021371183,8.048889202990631,-0.19062656810534448,14.228,14.788,1.265319773223208e-05,6.137135950486825e-05,2.65052,-44.034737232334585,0.07907210564307061,0.04033304717530982,0.041896051951424595,0.058084791084340545,0.05786668101535242
FaIR_comb_unB,43/1_ERF_FaIR,c,0.0,0.0,0.014874707170672706,131.57836626979739,-2.0016666665193132,0.8433333334999498,-0.7426465199788244,-2.0016666665193132,0.8433333334999498,-2.0016666665193132,0.8433333334999498,2.53513056107864,0.07426347647486246,-0.003893659140563759,-0.014982122099595645,0.014874707170672746,125.4512227390232,-1.971666666519268,0.8800000001664102,-0.6251190474508943,-1.971666666519268,0.8800000001664102,-1.971666666519268,0.8800000001664102,1.5999999999446048,-0.014982122099595676,4.197736519692744,4.263015386690101,4.4015838522896455,4.534874691864605,1.4401123256950743,13.7,14.24,0.9892690294236476,0.9892690294236476,2.141,226.09763513412665,0.047619393452268184,0.045007012449694093,0.040584447832785434,0.053532567939360835,0.04746594535990967
FaIR_nonat_unB,43/1_ERF_FaIR,c,0.0,0.0,0.01300956652182071,124.60024741091222,-1.8899999998527346,0.6883333335001225,-0.7133684369507891,-1.8899999998527346,0.6883333335001225,-1.8899999998527346,0.6883333335001225,2.415024210583945,0.0842241640975569,-0.0065601006283864316,-0.01298007986895258,0.01300956652182075,119.75726623211975,-1.859999999852689,0.7250000001665831,-0.5603769839592512,-1.859999999852689,0.7250000001665831,-1.859999999852689,0.7250000001665831,1.5761706348716862,-0.012980079868952608,3.9079973416329388,3.7924844347675424,3.999947184760141,4.070745658143451,1.3407248893356118,13.84,14.34,0.9921430991518865,0.9921430991518865,2.09524,215.8567071830335,0.04945609601517221,0.04257741173389451,0.03911057570061312,0.05152456426275137,0.04644581547777752
FaIR_anthro_unB,43/1_ERF_FaIR,c,0.0,6.12,0.013743451393997743,118.44820784344485,-2.2116666665190814,0.5566666668335529,-0.7192811353634031,-2.2233333331857374,0.5566666668335529,-2.2233333331857374,0.5566666668335529,2.5028382136255956,0.08704269867219158,-0.02150255225042891,-0.01368585630766326,0.013743451393997786,114.9652851737923,-2.181666666519036,0.5933333335000134,-0.5755952379270012,-2.193333333185692,0.5933333335000134,-2.193333333185692,0.5933333335000134,1.529642857080772,-0.013685856307663287,3.472985313348924,3.7881037780166853,3.747119040598578,3.7770933647777465,1.0924474671292088,13.684000000000001,14.164000000000001,0.7274257078600493,0.7274257078600493,1.6887999999999999,175.8840422078026,0.06793812469907798,0.04430630192782587,0.04156694542566527,0.0505091670592347,0.04652133711437797
FaIR_anthro,43/1_ERF_FaIR,c,0.0,4.36,0.017842753953780776,117.82295387170177,-2.509999999852171,0.3433333335004409,-0.9583241756563755,-2.5349999998521433,0.3433333335004409,-2.5349999998521433,0.3433333335004409,2.567323499065863,0.08703920077976131,-0.01740537976822727,-0.009588356347750022,0.017842753953780818,114.35945315930175,-2.4799999998521254,0.3800000001669014,-0.826369047450751,-2.5049999998520978,0.3800000001669014,-2.5049999998520978,0.3800000001669014,1.617083333244296,-0.009588356347750035,3.4243466907447297,3.792837369540298,3.695830871286944,3.7851438913173383,1.1098748559026075,13.687999999999999,14.128,0.7663819619343138,0.7663819619343138,1.68734,178.68985180031981,0.06676245043810976,0.04574623915841175,0.0424092714845909,0.05177693058863659,0.04727596450350273
FaIR_all_unB,43/1_ERF_FaIR,c,0.0,0.02,0.020361019519318305,116.10040459827118,-2.1099999998525436,0.943333333499886,-0.8367032965352249,-2.1099999998525436,0.943333333499886,-2.1099999998525436,0.943333333499886,2.934472863551166,0.08699311039187291,-0.0031858962691110344,-0.020316382912311862,0.020361019519318343,111.18376240453622,-2.079999999852498,0.9800000001663466,-0.5616071426906283,-2.079999999852498,0.9800000001663466,-2.079999999852498,0.9800000001663466,1.7744642856637052,-0.02031638291231189,3.5871584971559627,3.6867822262602767,3.795318095474027,3.956998913924267,1.2083237087860355,13.96,14.32,0.9576423536302106,0.9894475848570576,3.37782,194.54011711455172,0.0647378884814741,0.05494162741355391,0.044044640431881624,0.06281744165487259,0.05121207596483688
FaIR_nonat,43/1_ERF_FaIR,c,0.0,0.0,0.018540168801914593,107.16628418130428,-2.198333333185774,0.39500000016706055,-1.0369536017858754,-2.2183333331857558,0.3833333335004045,-2.2183333331857558,0.3833333335004045,2.4958075125998107,0.10514834842884593,-0.003864231136237198,-0.007447871682205442,0.018540168801914628,104.02137093530246,-2.1683333331857284,0.43166666683352106,-0.9245039680857654,-2.18833333318571,0.420000000166865,-2.18833333318571,0.420000000166865,1.7009325396068933,-0.007447871682205454,3.2464339484221143,3.13194720170079,3.2581810628869157,3.3264882258305852,1.166412074245605,13.904000000000002,14.424000000000001,0.9948449862975126,0.9948449862975126,2.1407,187.7923439535424,0.0513804262048266,0.044583704214152454,0.04024409588078943,0.0531937897603297,0.047403850120150325
raw1y,42/1_Run_Means,c,0.04,0.9,0.004432449157421364,67.19678080434487,-0.23044444429868477,1.221500000166292,-0.1422187988915136,-5.118333333183118,-5.293333333161127,-1.4233333331864833,5.010000000162845,2.5098658435838352,0.12719177191939635,-0.0011682738026530235,0.00463541221618648,0.004432449157421422,61.748864400032446,-0.2004444442986393,1.2581666668327525,-0.2942912413290568,-5.088333333183073,-5.256666666494666,-0.8549999998536078,5.506666666828878,1.388555130344776,0.00463541221618651,2.2944888504422654,2.3055705226512173,2.526441835157878,2.2546285066980434,0.7048186953703953,47.668,49.628,0.6222774334893361,0.8793021069317958,29.13192,162.8131186305613,0.11853365119663475,0.11568884176228732,0.11360491056431102,0.12283365071905826,0.12081437394846935
lag5y,42/1_Run_Means,c,26.36,80.12,-0.03135272859217041,47.2361201986684,2.344166666810129,1.8800000001656858,2.0394627596282247,1.8800000001438821,0.7983333335000043,2.725000000143118,3.003333333497994,2.7023587450774103,0.04765588280965107,-0.02180842483040215,-0.025380273222923227,-0.03135272859217043,-22.569760493890794,2.3741666668101744,1.9166666668321464,2.0282440477848365,1.9100000001439275,0.8350000001664648,2.838333333476421,2.755000000164719,2.1887202382208075,-0.02538027322292324,4.3375363218688605,4.12063006336315,4.125292244063021,5.731245787489033,0.7327629102059794,18.268,18.868,1.849163804061639e-05,0.00266412366460249,5.648,169.26823225758125,0.06673762243488508,0.06262987181252659,0.06126130528973286,0.07512967585746758,0.0735371719030358
lag10y,42/1_Run_Means,c,56.36,146.24,-0.07915969642964034,-73.53417302077301,4.747500000141249,4.0108333334971125,4.403514957429155,4.721666666807941,3.9050000001638727,4.7733333334745565,4.116666666830351,4.6448561980571785,0.039112734590564226,-0.047209333043416575,-0.06501719152927395,-0.07915969642964034,-147.08428502858308,4.777500000141295,4.047500000163573,4.453055555719264,4.751666666807987,3.9416666668303333,4.803333333474602,4.153333333496812,4.453055555719264,-0.06501719152927393,2.1132038226023697,3.043962342089965,0.9352963449708747,1.8720752612514011,0.4116023773037753,14.604000000000001,14.964,0.0003162488833018235,0.0017976906697779152,2.90498,95.08014915717212,0.07022937136661586,0.08649658098142209,0.08474443522595106,0.09646392643332721,0.09411293809315999
