method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50
EBMKF_ta2,43/2_Kalman,c,1.877,0.03888964150861405,0,0,0.858428560244256,0.988218409669184,2.1460580441262467,0.027684838886485184,8.280839573545388e-05,332.6389968395682,183.82757633199213,12.425230955439341,12.720208755196161,-0.005260651948473078
EBMKF_ta,43/2_Kalman,c,1.903,0.03921417296892149,0,0,0.8333207841759667,0.8333207841759667,2.091251309364409,0.029431745871589934,0.006974181410520935,324.14395295148336,175.70378780630062,10.10177380482285,10.21363964910985,0.013324631226638928
FaIR_anthroA2,43/1_ERF_FaIR,c,1.284,0.035791464827291855,3,0,0.12939706943300505,0.9717412620770356,2.04649938614139,0.02586588109509576,-1.1378738280480262e-05,133.02246009919034,133.02246009919034,9.862055505523719,8.007359806769287,-0.007083998566309221
TheilSen_h7075,42/2_LT_Fits,c,2.382,0.03667694691302614,0,0,0.7721308059746872,0.7721308059746872,2.0456236081036545,0.03656899482375818,0.004038279642918425,163.64988864829235,163.64988864829235,3.140145206845319,11.391256152608191,-0.0016523398661770314
CGWL10y_for_halfU,44/44_EarthModel_CGWL,c,3.698,0.03187300438157594,4,0,0.3331279498338506,0.700060857321645,1.9829322466331993,0.033297388365082746,-0.019454808544301365,109.06127356482597,109.06127356482597,6.3579993936116885,17.68108698841553,-0.016622776163619856
OLS_hinge75,42/2_LT_Fits,c,3.775,0.03622793100258031,2,0,0.28315010898129944,0.7375397254162896,1.9818216153148398,0.043013353244560466,0.007432879136182138,158.5457292251872,158.5457292251872,2.785505006108035,11.931176157825101,0.013691691643385628
CGWL10y_forec,44/44_EarthModel_CGWL,c,3.698,0.047347369815370174,0,0,0.9923202583088327,0.9923202583088327,1.9061977776962826,0.033297388365082746,-0.019454808544301365,104.84087777329555,104.84087777329555,6.347303357962135,14.547704253751478,-0.016622776163619856
hinge75meet,42/2_LT_Fits,c,3.251,0.05548977370521575,0,0,0.5663002179625989,0.999870257204311,1.8699874421753724,0.0372138557738085,0.004919180837438851,149.59899537402978,149.59899537402978,2.9130385494398237,7.054988703235687,0.008664295045899054
CGWL10y_sUKCP,44/44_EarthModel_CGWL,c,3.053,0.05203253578755163,0,0,0.8911263295417158,0.8911263295417158,1.711455765225506,0.042950917000723204,0.000325346526430278,249.87254172292387,147.42173198142706,6.482552415863382,7.204014738954495,0.002913643169347681
Kal_flexLin_ocn,42/5_Kalman,c,4.613,0.04913984709009308,0,0,0.7059424080805546,0.7059424080805546,1.6932145906333664,0.04423399860551962,-0.004077390616511595,262.4482615481718,145.327985222493,8.072683832399123,8.657467477076331,-0.03571278801754037
