method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50,Edyrs2,Edyrs6
FaIR_nonat_unB,43/1_ERF_FaIR,c,2.194,0.02799649377976094,0,0,0.7771946369264833,0.7771946369264833,2.2033217629947557,0.027458162821058025,-0.008923914117155632,187.28234985455424,187.28234985455424,11.634037291925301,14.24025850969863,-0.010253852222408367,1.0416666666772016,1.0208333333300363
FaIR_nonat,43/1_ERF_FaIR,c,2.212,0.028038047148111433,0,0,0.7640218464701023,0.7640218464701023,2.1975051512447847,0.027624154413256677,-0.010696987762298571,186.78793785580672,186.78793785580675,11.43487698911583,12.219933002582273,-0.014009817257739917,1.2500000000102318,0.9513888888855414
EBMKF_ta2,43/2_Kalman,c,1.876,0.03888916026377484,0,0,0.8560053952395551,0.9882635340522162,2.145987432870534,0.027687437334943388,4.8622633595904376e-05,332.62805209493274,183.80933486463465,12.43249482375595,12.714985818498066,-0.005326711978962106,0.33333333334439885,0.6388888888877394
EBMKF_ta,43/2_Kalman,c,1.902,0.03921380067182635,0,0,0.8361876348348131,0.8361876348348131,2.091597002913034,0.02942037721998173,0.006941451714367243,324.19753545152025,175.75076278043719,10.114883307057514,10.226901687592592,0.013262659812632433,1.2499999999874944,1.222222222212963
FaIR_anthro_unB,43/1_ERF_FaIR,c,2.002,0.02436652778516649,17,0,0.26952041220768924,0.26952041220768924,2.0889383749744255,0.02937809035311893,-0.011879490590498695,177.55976187282616,177.55976187282616,14.307953142372105,15.362430096058285,-0.007233362390092322,0.791666666677429,1.180555555555164
FaIR_anthro,43/1_ERF_FaIR,c,1.946,0.024367556970809542,29,0,0.28299643281807374,0.28299643281807374,2.0602755590182564,0.030171281401763998,-0.015503244023618655,175.12342251655178,175.12342251655176,14.402658437772345,7.80849370064696,-0.014966806394757726,1.1666666666769743,1.1666666666723131
FaIR_comb_unB,43/1_ERF_FaIR,c,2.644,0.0369455072269856,0,0,0.9546867613139837,0.9546867613139837,2.0480795725433065,0.0291449302137157,-0.0065469916718619795,174.08676366618107,174.08676366618104,6.965311981917478,11.015598052947269,-0.011845830925885117,1.2500000000102318,1.2013888888877773
TheilSen_h7075,42/2_LT_Fits,c,2.381,0.03667694691302614,0,0,0.7721308059746872,0.7721308059746872,2.0455152184325174,0.036571443897569354,0.004036613205418425,163.64121747460138,163.64121747460138,3.140145206845319,11.391256152608191,-0.001655672741177032,3.250000000008413,1.6527777777756683
CGWL10y_for_halfU,44/44_EarthModel_CGWL,c,3.698,0.03187300438157594,0,0,0.6027397260273972,0.6027397260273972,2.0277329907117077,0.0332982706445756,-0.01945723245339227,111.52531448914392,111.52531448914391,6.935405023244095,17.21518220839551,-0.016626109038619857,1.5000000000100044,1.0416666666632939
OLS_hinge75,42/2_LT_Fits,c,3.775,0.03622867421224443,2,0,0.28315010898129944,0.7375397254162896,1.9817336825841345,0.043015155258308735,0.007431212698682138,158.53869460673076,158.53869460673073,2.785505006108035,11.931176157825101,0.013688358768385627,3.1666666666751553,1.680555555553345
EBMKF_ta4,43/2_Kalman,c,2.624,0.04757021689510984,3,0,0.2708113367735621,0.5719856844517731,1.9025893110220595,0.035315901224717595,-0.01338474429203187,294.90134320841923,160.13436634739273,9.609344738301937,8.976430650522401,-0.0065081699080434844,1.2083333333434894,0.8055555555512228
CGWL10y_forec,44/44_EarthModel_CGWL,c,3.698,0.047347369815370174,0,0,0.9562697576396206,0.9562697576396206,1.8812143765504192,0.0332982706445756,-0.01945723245339227,103.46679071027306,103.46679071027306,6.354334223295713,14.17161372231975,-0.016626109038619857,1.583333333343262,1.097222222218875
hinge75meet,42/2_LT_Fits,c,3.251,0.05549107954895954,0,0,0.5663002179625989,0.999870257204311,1.8699649977611124,0.0372154526881579,0.0049175143999388386,149.597199820889,149.597199820889,2.9130385494398245,7.054988703235687,0.00866096217089903,2.500000000009095,1.3611111111092289
CGWL10y_sfUKCP,44/44_EarthModel_CGWL,c,6.258,0.049971170567216415,0,0,0.9521739130434783,0.9521739130434783,1.6990982272812387,0.04113463551575088,0.0014285276431899368,248.06834118306085,150.47904467960194,8.660856201921886,6.240568604468341,0.0038155319950160154,0.8958333333324617,1.1666666666593908
Kal_flexLin_ocn,42/5_Kalman,c,4.614,0.049139847090093065,0,0,0.7059424080805546,0.7059424080805546,1.6931881537095346,0.04423520054822346,-0.004078250713285781,262.44416382497786,145.32388749929905,8.072683832399127,8.657467477076331,-0.03571612089254036,2.0000000000095497,1.2500000000039788
