method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50,Edyrs2,Edyrs6,cross_err0.5,cross_err1.0,#yrs
FaIR_nonat_unB,43/1_ERF_FaIR,c,2.174,0.027999959332391883,0,0,0.7736821018343975,0.7736821018343975,2.2006523967623144,0.02744456598471698,-0.008918409221936544,187.05545372479673,187.05545372479673,11.385310634423897,14.556710128137434,-0.010265549074236716,1.0833333333437167,1.1388888888854656,1985.958333333319,2010.8749999999854,93
FaIR_nonat,43/1_ERF_FaIR,c,2.19,0.028037017041986245,0,0,0.75558777267143,0.75558777267143,2.197415059292819,0.027473031355696575,-0.010697026906171954,186.78028003988962,186.78028003988962,11.356772019422813,12.316924135773569,-0.014010234980472255,1.2916666666769743,1.055555555552208,1985.958333333319,2011.291666666652,93
EBMKF_ta2,43/2_Kalman,c,1.876,0.03888916026377481,0,0,0.8560053952395551,0.9882635340522162,2.145987432870534,0.027687437334943388,4.8622633595904376e-05,332.62805209493274,183.80933486463465,12.43249482375595,12.714985818498066,-0.005326711978962106,0.33333333334439885,0.6388888888877394,1985.1249999999864,2010.2083333333194,174
EBMKF_ta,43/2_Kalman,c,1.902,0.03921380067182637,0,0,0.8361876348348131,0.8361876348348131,2.091597002913034,0.02942037721998173,0.006941451714367243,324.19753545152025,175.75076278043719,10.114883307057514,10.226901687592592,0.013262659812632433,1.2499999999874944,1.222222222212963,1982.9583333333217,2009.2083333333203,174
FaIR_anthro_unB,43/1_ERF_FaIR,c,2.0,0.02438297738993148,18,0,0.22286765861950636,0.22286765861950636,2.0811645612011764,0.02951408278767643,-0.011950498212688865,176.8989877021,176.8989877021,15.537769676729075,15.640606568420772,-0.007250843617551414,0.7500000000106866,1.1666666666662497,1985.1249999999864,2011.041666666652,93
FaIR_comb_unB,43/1_ERF_FaIR,c,2.699,0.03695469446245124,0,0,0.9489498164649013,0.9489498164649013,2.0674389630219077,0.029136371396318996,-0.006508481995270902,175.73231185686217,175.73231185686217,6.029725467250468,10.751630831184801,-0.011843405362514922,1.2083333333434894,1.1736111111100247,1986.2083333333185,2010.8749999999854,93
FaIR_anthro,43/1_ERF_FaIR,c,1.934,0.024452704398090153,23,0,0.255851145721519,0.255851145721519,2.0477730323763517,0.030143441499961083,-0.015511762043275123,174.0607077519899,174.0607077519899,15.462663371816102,7.881416645327038,-0.015002744834846659,1.1666666666769743,1.2638888888944089,1985.1249999999864,2011.8749999999845,93
TheilSen_h7075,42/2_LT_Fits,c,2.381,0.03667694691302614,0,0,0.7721308059746872,0.7721308059746872,2.0455152184325174,0.036571443897569354,0.004036613205418425,163.64121747460138,163.64121747460138,3.140145206845319,11.391256152608191,-0.001655672741177032,3.250000000008413,1.6527777777756683,1980.7083333333235,2012.374999999984,90
EBMKF_ta4,43/2_Kalman,c,2.012,0.04713657046632277,0,0,0.9978762061976088,0.9978762061976088,2.010267456721004,0.031070810076956706,-0.007653291092471153,311.5914557917556,176.2688759424496,10.547301362617302,9.816166184214596,-0.009799506572836703,0.7083333333439441,0.47222222222690863,1985.0416666666529,2011.041666666652,174
CGWL10y_for_halfU,44/44_EarthModel_CGWL,c,3.698,0.03187300438157594,4,0,0.3331279498338506,0.700060857321645,1.9828722289851561,0.0332982706445756,-0.01945723245339227,109.05797259418358,109.05797259418358,6.3579993936116885,17.68108698841553,-0.016626109038619857,1.4166666666540095,1.1388888888778865,1987.5416666666506,2009.8749999999864,64
OLS_hinge75,42/2_LT_Fits,c,3.775,0.03622867421224443,2,0,0.28315010898129944,0.7375397254162896,1.9817336825841345,0.043015155258308735,0.007431212698682138,158.53869460673076,158.53869460673073,2.785505006108035,11.931176157825101,0.013688358768385627,3.1666666666751553,1.680555555553345,1979.5416666666579,2011.041666666652,90
CGWL10y_forec,44/44_EarthModel_CGWL,c,3.698,0.047347369815370174,0,0,0.9923202583088327,0.9923202583088327,1.9061782652893555,0.0332982706445756,-0.01945723245339227,104.83980459091455,104.83980459091455,6.347303357962135,14.547704253751478,-0.016626109038619857,1.4583333333434894,1.1666666666632182,1987.624999999984,2009.9583333333198,64
