method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50,Edyrs2,Edyrs6,cross_err0.5,cross_err1.0,#yrs
lag10y,42/1_Run_Means,c,2.831,0.035301155,97,34,2.53E-10,0.000846105,0.455958808,0.060869234,-0.032630849,70.67361518,-41.48241864,3.355277651,0.025554836,-0.088244971,4.375,4.541666667,1987.625,2015.791667,166
lag5y,42/1_Run_Means,c,6.407,0.043982369,54,11,0.002016215,0.030914295,1.151378446,0.056289359,-0.018023557,178.4636591,91.43967192,7.946809538,2.489500559,-0.044835313,3.791666667,2.553240741,1982.541667,2014.875,171
offset11y,42/1_Run_Means,c,2.799,0.034291899,113,83,4.45E-05,0.000182715,-0.914341084,0.092001054,0.074496336,-141.722868,-4.840219952,7.446388835,13.69193427,0.012823833,1.083333333,0.958333333,1982.625,2009.875,165
raw1y,42/1_Run_Means,c,32.863,0.111578822,0,0,0.75282142,0.9484709,0.885634676,0.097981694,-0.005376724,137.2733748,82.74721509,2.971911889,3.950631491,-0.008891054,3.052083333,3.256944444,1979.458333,2009.541667,175
Bayes_seq_CP,42/2_LT_Fits,c,3.674,0.032037603,94,54,4.38E-08,7.31E-06,-0.625068366,0.076378426,-0.031158887,-72.50793046,-60.21998451,0.686456532,7.942925647,-0.066889794,3.666666667,2.694444444,1989.291667,2012.708333,126
butterworth,42/2_LT_Fits,c,14.526,0.149007885,0,0,0.998392673,0.998392673,0.965717798,0.055866626,-0.034505127,63.73737465,63.73737465,3.167975784,2.768702756,-0.03888982,2.895833333,2.013888889,1982.791667,2013.791667,76
hinge75meet,42/2_LT_Fits,c,3.251,0.05549108,0,0,0.566300218,0.999870257,1.869964998,0.037215453,0.004917514,149.5971998,149.5971998,2.913038549,7.054988703,0.008660962,2.5,1.361111111,1980.208333,2010.375,90
OLS_hinge75,42/2_LT_Fits,c,3.775,0.036228674,2,0,0.283150109,0.737539725,1.981733683,0.043015155,0.007431213,158.5386946,158.5386946,2.785505006,11.93117616,0.013688359,3.166666667,1.680555556,1979.541667,2011.041667,90
OLS_refit,42/2_LT_Fits,c,1.127,0.028295082,60,55,1.06E-19,2.31E-15,-9.295809526,0.134220704,-0.031253101,-604.2276192,-604.2276192,4.807083247,4.69E-13,-0.120934269,8.791666667,9.569444444,1989.708333,2022.541667,75
quartic,42/2_LT_Fits,c,4.078,0.051232869,32,15,0.000314679,0.034393219,0.533437316,0.099062298,-0.065065473,34.67342552,34.67342552,1.396546375,10.18092806,-0.076509752,2.625,2.333333333,1989.541667,2009.458333,75
TheilSen_h7075,42/2_LT_Fits,c,2.381,0.036676947,0,0,0.772130806,0.772130806,2.045515218,0.036571444,0.004036613,163.6412175,163.6412175,3.140145207,11.39125615,-0.001655673,3.25,1.652777778,1980.708333,2012.375,90
etrend15y,42/3_ST_Fits,c,5.859,0.049002719,34,2,0.02827653,0.201758244,1.309468711,0.058839839,-0.006128407,197.7297753,121.2023543,4.754770402,8.50485839,-0.0105344,2.708333333,1.833333333,1982.375,2012.958333,161
etrend30y,42/3_ST_Fits,c,3.233,0.037626816,67,8,0.008985327,0.065604919,1.2122663,0.055893084,-0.011138305,164.8682168,95.42576041,5.230711935,8.739092714,-0.038420625,1.958333333,1.083333333,1987.458333,2011.125,146
