method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50,Edyrs2,Edyrs6,cross_err0.5,cross_err1.0,#yrs,100#q<0.5
GWI_tot_CGWL,43/3_Human_Induced,c,3.071,0.02539652918132422,4,4,-79.57572256335935,1.0,2.2263286078428477,0.026317726855987055,-1.1130650519295917e-05,144.7113595097851,2.226328607842848,12.055470923258376,12.799202892411687,0.002318978185765806,1.1249999999874944,1.527777777766346,1986.374999999985,2009.2916666666538,75,4
FaIR_nonat_unB,43/1_ERF_FaIR,c,2.174,0.025603132206769602,0,0,1.0,1.0,2.21178020651953,0.02744456598471698,-0.008918409221936544,188.00131755416004,2.21178020651953,12.11999030456017,15.934177008191998,-0.010265549074236716,1.0416666666769743,1.027777777774342,1985.8749999999854,2010.8749999999854,93,0
FaIR_nonat,43/1_ERF_FaIR,c,2.19,0.025903824721003818,0,0,1.0,1.0,2.204230015719061,0.027473031355696575,-0.010697026906171954,187.3595513361202,2.204230015719061,12.391980792470266,12.582965276726862,-0.014010234980472255,1.2500000000102318,0.9513888888855414,1985.8749999999854,2011.291666666652,93,0
EBMKF_ta2,43/2_Kalman,c,1.876,0.03886370680701405,0,0,0.8519387767046651,0.9881962062507765,2.146149569146632,0.027687437334943388,4.8622633595904376e-05,332.65318321772793,2.042326371332134,12.439942409590907,12.722992038342879,-0.005326711978962106,0.33333333334439885,0.6388888888877394,1985.1249999999864,2010.2083333333194,174,0
FaIR_comb_unB,43/1_ERF_FaIR,c,2.436,0.028226034842014122,1,1,-81.86612279365664,1.0,2.1324088554334377,0.028536846998740942,-0.014089543778357036,172.72511729010847,2.1324088554334377,8.228684974005876,11.82899976470112,-0.02218534801178007,1.416666666676747,1.229166666666098,1986.2083333333185,2011.291666666652,89,1
FaIR_anthro_unB,43/1_ERF_FaIR,c,2.0,0.028124741599499816,0,0,1.0,1.0,2.118630109121084,0.02951408278767643,-0.011950498212688865,180.08355927529217,2.118630109121084,13.036596871690314,13.848801101846648,-0.007250843617551414,0.7500000000106866,1.1666666666662497,1985.1249999999864,2011.041666666652,93,0
FaIR_anthro,43/1_ERF_FaIR,c,1.934,0.029161706174578597,0,0,1.0,1.0,2.097148437940675,0.030143441499961083,-0.015511762043275123,178.2576172249574,2.097148437940675,12.222009572142438,8.194670583239152,-0.015002744834846659,1.1666666666769743,1.0833333333390556,1985.1249999999864,2011.8749999999845,93,0
EBMKF_ta,43/2_Kalman,c,1.902,0.04222029087822462,0,0,0.9954339370944043,0.9954339370944043,2.07545203759986,0.02942037721998173,0.006941451714367243,321.6950658279783,1.9585223386144508,9.710017731061294,9.801473630568074,0.013262659812632433,1.2499999999874944,1.222222222212963,1982.9583333333217,2009.2083333333203,174,0
EBMKF_ta4,43/2_Kalman,c,1.9,0.048088702245062266,0,0,0.9658933409861683,0.9658933409861683,2.056126270257238,0.030241117182375647,-0.007931585078521803,318.6995718898719,1.9887898882733743,12.357997796127634,13.127119104332005,-0.016026468949821758,1.2500000000102318,0.9444444444442298,1986.291666666652,2010.8749999999854,174,0
TheilSen_h7075,42/2_LT_Fits,c,2.381,0.03483395587907129,0,0,0.6820887022532491,0.6820887022532491,2.048084166111004,0.036571443897569354,0.004036613205418425,163.8467332888803,2.0480841661110043,3.088510626747061,11.88486136802186,-0.001655672741177032,3.250000000008413,1.6527777777756683,1980.7083333333235,2012.374999999984,90,0
